Restaurant Name,Item Name,Quantity,Price,Subtotal,Delivery Fee,Taxes & Other Fees,Total
Burger King,Original Chicken Sandwich,1,$8.05,$26.22,$2.49,$7.70,$36.41
Burger King,French Fries,1,$5.19,$26.22,$2.49,$7.70,$36.41
Burger King,Whopper,1,$9.09,$26.22,$2.49,$7.70,$36.41
Burger King,Coca-Cola,1,$3.89,$26.22,$2.49,$7.70,$36.41
IHOP,Cinnamon Dippers,1,$9.59,$29.13,$1.99,$8.37,$39.49
IHOP,New Caramel Apple Lemonade,1,$6.35,$29.13,$1.99,$8.37,$39.49
IHOP,Original Buttermilk Pancakes - (Full Stack),1,$13.19,$29.13,$1.99,$8.37,$39.49
Insomnia Cookies,Deluxe 4-pack,1,$24.75,$33.50,$3.99,$3.96,$41.45
Insomnia Cookies,Ice Cream in a Cup,1,$8.75,$33.50,$3.99,$3.96,$41.45
KFC,8 pc. Chicken Only,1,$29.51,$40.53,$1.49,$10.03,$52.05
KFC,Spicy Chicken Sandwich,1,$6.59,$40.53,$1.49,$10.03,$52.05
KFC,Pepsi,1,$4.43,$40.53,$1.49,$10.03,$52.05
McDonald's,French Fries,1,$5.69,$24.76,$3.49,$8.52,$36.77
McDonald's,10 pc. Chicken McNuggets®,1,$7.59,$24.76,$3.49,$8.52,$36.77
McDonald's,Iced Coffee,1,$2.99,$24.76,$3.49,$8.52,$36.77
McDonald's,Big Mac®,1,$8.49,$24.76,$3.49,$8.52,$36.77
Panda Express,Plate,1,$16.80,$44.85,$2.49,$12.28,$59.62
Panda Express,Bowl,1,$13.05,$44.85,$2.49,$12.28,$59.62
Panda Express,Honey Sesame Chicken Breast,1,$6.75,$44.85,$2.49,$12.28,$59.62
Panda Express,Super Greens,1,$5.75,$44.85,$2.49,$12.28,$59.62
Panda Express,Veggie Spring Roll,1,$2.50,$44.85,$2.49,$12.28,$59.62
Starbucks,Caffè Latte,1,$5.55,$29.90,$1.99,$8.57,$40.46
Starbucks,Cappuccino,1,$5.55,$29.90,$1.99,$8.57,$40.46
Starbucks,Caramel Macchiato,1,$6.15,$29.90,$1.99,$8.57,$40.46
Starbucks,Chocolate Cake Pop,1,$4.55,$29.90,$1.99,$8.57,$40.46
Starbucks,Double Chocolate Brownie,1,$4.55,$29.90,$1.99,$8.57,$40.46
Starbucks,Hot Chocolate,1,$3.55,$29.90,$1.99,$8.57,$40.46
Subway,Pepsi®,1,$3.90,$25.60,$2.49,$7.56,$35.65
Subway,Double Chocolate,1,$1.90,$25.60,$2.49,$7.56,$35.65
Subway,Steak & Cheese,1,$9.90,$25.60,$2.49,$7.56,$35.65
Subway,Grilled Chicken,1,$9.90,$25.60,$2.49,$7.56,$35.65
Taco Bell,Crunchwrap Supreme®,1,$8.77,$23.11,$1.49,$6.24,$30.84
Taco Bell,Grilled Cheese Burrito,1,$7.30,$23.11,$1.49,$6.24,$30.84
Taco Bell,MTN DEW® Baja Blast®,1,$3.40,$23.11,$1.49,$6.24,$30.84
Taco Bell,Cinnabon Delights® 2 Pack,1,$3.64,$23.11,$1.49,$6.24,$30.84
Wendy's,Parmesan Caesar Salad,1,$10.49,$28.66,$7.49,$10.50,$46.65
Wendy's,French Fries,1,$3.49,$28.66,$7.49,$10.50,$46.65
Wendy's,Dave's Double®,1,$10.49,$28.66,$7.49,$10.50,$46.65
Wendy's,6 PC. Spicy Chicken Nuggets,1,$4.19,$28.66,$7.49,$10.50,$46.65
