Restaurant Name,Item Name,Quantity,Price,Subtotal,Delivery Fee,Taxes & Other Fees,Total
Burger King,Original Chicken Sandwich,1,$6.19,$20.66,$4.49,$5.43,$30.58
Burger King,French Fries,1,$3.59,$20.66,$4.49,$5.43,$30.58
Burger King,Whopper,1,$7.39,$20.66,$4.49,$5.43,$30.58
Burger King,Coca-Cola,1,$3.49,$20.66,$4.49,$5.43,$30.58
IHOP,Cinnamon Dippers,1,$7.19,$23.49,$2.49,$5.96,$31.94
IHOP,New Caramel Apple Lemonade,1,$4.31,$23.49,$2.49,$5.96,$31.94
IHOP,Original Buttermilk Pancakes - (Full Stack),1,$11.99,$23.49,$2.49,$5.96,$31.94
Insomnia Cookies,Deluxe 4-pack,1,$22.75,$30.50,$3.99,$6.15,$40.64
Insomnia Cookies,Ice Cream in a Cup,1,$7.75,$30.50,$3.99,$6.15,$40.64
KFC,8 pc. Chicken Only,1,$27.07,$37.05,$3.49,$8.36,$48.90
KFC,Spicy Chicken Sandwich,1,$6.33,$37.05,$3.49,$8.36,$48.90
KFC,Pepsi,1,$3.65,$37.05,$3.49,$8.36,$48.90
McDonald's,French Fries,1,$3.64,$19.27,$3.49,$4.99,$27.75
McDonald's,10 pc. Chicken McNuggets®,1,$5.99,$19.27,$3.49,$4.99,$27.75
McDonald's,Iced Coffee,1,$3.99,$19.27,$3.49,$4.99,$27.75
McDonald's,Big Mac®,1,$5.65,$19.27,$3.49,$4.99,$27.75
Panda Express,Plate,1,$16.30,$43.85,$3.49,$11.03,$58.37
Panda Express,Bowl,1,$12.55,$43.85,$3.49,$11.03,$58.37
Panda Express,Honey Sesame Chicken Breast,1,$6.75,$43.85,$3.49,$11.03,$58.37
Panda Express,Super Greens,1,$5.75,$43.85,$3.49,$11.03,$58.37
Panda Express,Veggie Spring Roll,1,$2.50,$43.85,$3.49,$11.03,$58.37
Starbucks,Caffè Latte,1,$5.55,$29.00,$1.49,$7.22,$37.71
Starbucks,Cappuccino,1,$5.55,$29.00,$1.49,$7.22,$37.71
Starbucks,Caramel Macchiato,1,$6.45,$29.00,$1.49,$7.22,$37.71
Starbucks,Chocolate Cake Pop,1,$3.95,$29.00,$1.49,$7.22,$37.71
Starbucks,Double Chocolate Brownie,1,$4.55,$29.00,$1.49,$7.22,$37.71
Starbucks,Hot Chocolate,1,$2.95,$29.00,$1.49,$7.22,$37.71
Subway,Pepsi®,1,$3.59,$21.66,$6.49,$5.85,$34.00
Subway,Double Chocolate,1,$1.19,$21.66,$6.49,$5.85,$34.00
Subway,Steak & Cheese,1,$8.59,$21.66,$6.49,$5.85,$34.00
Subway,Grilled Chicken,1,$8.29,$21.66,$6.49,$5.85,$34.00
Taco Bell,Crunchwrap Supreme®,1,$6.69,$18.95,$2.99,$4.38,$26.32
Taco Bell,Grilled Cheese Burrito,1,$6.08,$18.95,$2.99,$4.38,$26.32
Taco Bell,MTN DEW® Baja Blast®,1,$3.03,$18.95,$2.99,$4.38,$26.32
Taco Bell,Cinnabon Delights® 2 Pack,1,$3.15,$18.95,$2.99,$4.38,$26.32
Wendy's,Parmesan Caesar Salad,1,$10.29,$25.26,$1.49,$5.87,$32.62
Wendy's,French Fries,1,$3.29,$25.26,$1.49,$5.87,$32.62
Wendy's,Dave's Double®,1,$7.79,$25.26,$1.49,$5.87,$32.62
Wendy's,6 PC. Spicy Chicken Nuggets,1,$3.89,$25.26,$1.49,$5.87,$32.62
