Restaurant Name,Item Name,Quantity,Price,Subtotal,Delivery Fee,Taxes & Other Fees,Total
Burger King,Original Chicken Sandwich,1,$8.05,$26.22,-$3.93,$0.00,$28.43
Burger King,French Fries,1,$5.19,$26.22,-$3.93,$0.00,$28.43
Burger King,Whopper,1,$9.09,$26.22,-$3.93,$0.00,$28.43
Burger King,Coca-Cola,1,$3.89,$26.22,-$3.93,$0.00,$28.43
IHOP,Cinnamon Dippers,1,$9.99,$31.22,-$11.00,$0.00,$26.23
IHOP,New Caramel Apple Lemonade,1,$7.49,$31.22,-$11.00,$0.00,$26.23
IHOP,Original Buttermilk Pancakes - (Full Stack),1,$13.74,$31.22,-$11.00,$0.00,$26.23
Insomnia Cookies,Deluxe 4-pack,1,$24.75,$33.50,-$5.03,-$1.68,$32.49
Insomnia Cookies,Ice Cream in a Cup,1,$8.75,$33.50,-$5.03,-$1.68,$32.49
KFC,8 pc. Chicken Only,1,$29.51,$40.53,-$6.08,$0.00,$42.47
KFC,Spicy Chicken Sandwich,1,$6.59,$40.53,-$6.08,$0.00,$42.47
KFC,Pepsi,1,$4.43,$40.53,-$6.08,$0.00,$42.47
McDonald's,Medium French Fries,1,$5.69,$24.96,$1.49 $0.00,$8.31 $5.69,$30.65
McDonald's,10 pc. Chicken McNuggets®,1,$7.59,$24.96,$1.49 $0.00,$8.31 $5.69,$30.65
McDonald's,Medium Iced Coffee,1,$2.99,$24.96,$1.49 $0.00,$8.31 $5.69,$30.65
McDonald's,Big Mac®,1,$8.69,$24.96,$1.49 $0.00,$8.31 $5.69,$30.65
Panda Express,Plate,1,$12.50,$37.65,-$5.65,$0.49 $0.00,$39.94
Panda Express,Bowl,1,$10.70,$37.65,-$5.65,$0.49 $0.00,$39.94
Panda Express,Honey Sesame Chicken Breast,1,$6.50,$37.65,-$5.65,$0.49 $0.00,$39.94
Panda Express,Super Greens,1,$5.55,$37.65,-$5.65,$0.49 $0.00,$39.94
Panda Express,Veggie Spring Roll,1,$2.40,$37.65,-$5.65,$0.49 $0.00,$39.94
Starbucks,Caffè Latte,1,$5.55,$29.90,-$4.49,$0.00,$30.40
Starbucks,Cappuccino,1,$5.55,$29.90,-$4.49,$0.00,$30.40
Starbucks,Caramel Macchiato,1,$6.15,$29.90,-$4.49,$0.00,$30.40
Starbucks,Chocolate Cake Pop,1,$4.55,$29.90,-$4.49,$0.00,$30.40
Starbucks,Double Chocolate Brownie,1,$4.55,$29.90,-$4.49,$0.00,$30.40
Starbucks,Hot Chocolate,1,$3.55,$29.90,-$4.49,$0.00,$30.40
Subway,Double Chocolate,1,$1.90,$21.70,$0.49 $0.00,$7.71 $5.43,$27.13
Subway,Steak & Cheese,1,$9.90,$21.70,$0.49 $0.00,$7.71 $5.43,$27.13
Subway,Grilled Chicken,1,$9.90,$21.70,$0.49 $0.00,$7.71 $5.43,$27.13
Taco Bell,Crunchwrap Supreme®,1,$8.77,$23.13,-$4.63,$0.00,$23.54
Taco Bell,Grilled Cheese Burrito,1,$7.31,$23.13,-$4.63,$0.00,$23.54
Taco Bell,MTN DEW® Baja Blast®,1,$3.40,$23.13,-$4.63,$0.00,$23.54
Taco Bell,Cinnabon Delights® 2 Pack,1,$3.65,$23.13,-$4.63,$0.00,$23.54
Wendy's,Parmesan Caesar Salad,1,$12.55,$33.01,-$4.95,$10.99 $0.00,$37.36
Wendy's,French Fries,1,$4.50,$33.01,-$4.95,$10.99 $0.00,$37.36
Wendy's,Dave's Double®,1,$10.85,$33.01,-$4.95,$10.99 $0.00,$37.36
Wendy's,6 PC. Spicy Chicken Nuggets,1,$5.11,$33.01,-$4.95,$10.99 $0.00,$37.36
