Restaurant Name,Item Name,Quantity,Price,Subtotal,Delivery Fee,Taxes & Other Fees,Total
Burger King,Original Chicken Sandwich,1,$6.19,$20.66,$3.49,$5.42,$29.57
Burger King,French Fries,1,$3.59,$20.66,$3.49,$5.42,$29.57
Burger King,Whopper,1,$7.39,$20.66,$3.49,$5.42,$29.57
Burger King,Coca-Cola,1,$3.49,$20.66,$3.49,$5.42,$29.57
IHOP,Cinnamon Dippers,1,$7.49,$24.97,$0.99,$6.55,$32.51
IHOP,New Caramel Apple Lemonade,1,$4.99,$24.97,$0.99,$6.55,$32.51
IHOP,Original Buttermilk Pancakes - (Full Stack),1,$12.49,$24.97,$0.99,$6.55,$32.51
Insomnia Cookies,Deluxe 4-pack,1,$22.75,$30.50,$3.99,$6.08,$40.57
Insomnia Cookies,Ice Cream in a Cup,1,$7.75,$30.50,$3.99,$6.08,$40.57
KFC,8 pc. Chicken Only,1,$27.08,$37.07,$2.49,$9.73,$49.29
KFC,Spicy Chicken Sandwich,1,$6.34,$37.07,$2.49,$9.73,$49.29
KFC,Pepsi,1,$3.65,$37.07,$2.49,$9.73,$49.29
McDonald's,Medium French Fries,1,$3.59,$20.96,$4.99,$5.50,$31.45
McDonald's,10 pc. Chicken McNuggets®,1,$7.29,$20.96,$4.99,$5.50,$31.45
McDonald's,Medium Iced Coffee,1,$3.59,$20.96,$4.99,$5.50,$31.45
McDonald's,Big Mac®,1,$6.49,$20.96,$4.99,$5.50,$31.45
Panda Express,Plate,1,$12.00,$36.65,$3.49,$9.62,$49.76
Panda Express,Bowl,1,$10.20,$36.65,$3.49,$9.62,$49.76
Panda Express,Honey Sesame Chicken Breast,1,$6.50,$36.65,$3.49,$9.62,$49.76
Panda Express,Super Greens,1,$5.55,$36.65,$3.49,$9.62,$49.76
Panda Express,Veggie Spring Roll,1,$2.40,$36.65,$3.49,$9.62,$49.76
Starbucks,Caffè Latte,1,$5.95,$30.30,$3.99,$7.95,$42.24
Starbucks,Cappuccino,1,$5.95,$30.30,$3.99,$7.95,$42.24
Starbucks,Caramel Macchiato,1,$6.45,$30.30,$3.99,$7.95,$42.24
Starbucks,Chocolate Cake Pop,1,$3.95,$30.30,$3.99,$7.95,$42.24
Starbucks,Double Chocolate Brownie,1,$4.75,$30.30,$3.99,$7.95,$42.24
Starbucks,Hot Chocolate,1,$3.25,$30.30,$3.99,$7.95,$42.24
Subway,Pepsi®,1,$3.58,$21.64,$3.99,$5.69,$31.32
Subway,Double Chocolate,1,$1.18,$21.64,$3.99,$5.69,$31.32
Subway,Steak & Cheese,1,$8.62,$21.64,$3.99,$5.69,$31.32
Subway,Grilled Chicken,1,$8.26,$21.64,$3.99,$5.69,$31.32
Taco Bell,Crunchwrap Supreme®,1,$6.70,$18.99,$3.99,$4.99,$27.97
Taco Bell,Grilled Cheese Burrito,1,$6.09,$18.99,$3.99,$4.99,$27.97
Taco Bell,MTN DEW® Baja Blast®,1,$3.04,$18.99,$3.99,$4.99,$27.97
Taco Bell,Cinnabon Delights® 2 Pack,1,$3.16,$18.99,$3.99,$4.99,$27.97
Wendy's,Parmesan Caesar Salad,1,$10.72,$26.29,$4.99,$6.90,$38.18
Wendy's,French Fries,1,$3.40,$26.29,$4.99,$6.90,$38.18
Wendy's,Dave's Double®,1,$8.16,$26.29,$4.99,$6.90,$38.18
Wendy's,6 PC. Spicy Chicken Nuggets,1,$4.01,$26.29,$4.99,$6.90,$38.18
