Item Name,Price,Time of Day
Split Decision Breakfast,$19.19+,afternoon
Country Fried Steak & Eggs,$21.59+,afternoon
T-Bone Steak & Eggs,$25.19+,afternoon
Chicken & Pancakes,$19.19,afternoon
Quick 2-Egg Breakfast,$16.79+,afternoon
Impossible™ Plant-Based Sausage Power Combo,$17.99,afternoon
Avocado Toast,$13.19+,afternoon
Spicy Poblano Omelette,$21.59+,afternoon
Big Steak Omelette,$22.79+,afternoon
Chicken Fajita Omelette,$21.59+,afternoon
Colorado Omelette,$22.79+,afternoon
Bacon Temptation Omelette,$21.59+,afternoon
Spinach & Mushroom Omelette,$20.39+,afternoon
Veggie Egg White Omelette,$20.39,afternoon
Build Your Own Omelette+,$15.59+,afternoon
