Item Name,Price,Time of Day
61. SOMETIMES I'M A VEGETARIAN,$16.25+,afternoon
291. PEE WEE,$17.85+,afternoon
206. MOBILE MAMA,$17.85+,afternoon
249. GO KINGS!,$17.85+,afternoon
298. JAYMEETLESS,$17.85+,afternoon
311. LOVE TRIANGLE,$19.45+,afternoon
315. BONNIE-JILL,$17.85+,afternoon
892. PIRATES OR PILATES,$17.85+,afternoon
627. TYRAWR!,$17.85+,afternoon
170. NOT SO SLOPPY IKE,$17.85+,afternoon
600. PERSEPHONE,$19.45+,afternoon
895. CLUELESS,$16.25+,afternoon
173. GLADIATOR *Contains Anchovies*,$17.85+,afternoon
657. JOAN DIDION,$17.85+,afternoon
414. LITACANRANA,$17.85+,afternoon
243. I CH-CH-CHOOSE YOU *Contains Anchovies*,$17.75+,afternoon
