Item Name,Price,Time of Day
Bacon Ultimate Cheeseburger™ Combo,$18.48+,afternoon
6pc Classic French Toast Sticks Combo,$12.24,afternoon
3PC French Toast Sticks Platter w/ Bacon & Sausage Combo,$13.99,afternoon
3PC French Toast Sticks Platter w/ Bacon Combo,$13.49,afternoon
3PC French Toast Sticks Platter w/ Sausage Combo,$13.49,afternoon
Grande Sausage Burrito Combo,$13.61,afternoon
Supreme Croissant Combo,$12.49,afternoon
Sausage Croissant Combo,$12.36,afternoon
Supreme Sourdough Breakfast Sandwich Combo,$11.74,afternoon
Meat Lovers Burrito Combo,$13.61,afternoon
Loaded Breakfast Sandwich Combo,$13.74,afternoon
Extreme Sausage® Sandwich Combo,$12.49,afternoon
Ultimate Breakfast Sandwich Combo,$13.49,afternoon
Sausage Breakfast Jack® Combo,$9.74,afternoon
Breakfast Jack® Combo,$9.24,afternoon
