Item Name,Price,Time of Day
Strawberry Shake,$5.29+,afternoon
Vanilla Shake,$5.29+,afternoon
OREO® Shamrock McFlurry®,$2.49+,afternoon
M&M® McFlurry®,$2.99+,afternoon
OREO® McFlurry®,$2.99+,afternoon
2 Cookies,$2.39,afternoon
3 Pack Of Cookies,$3.19,afternoon
13 Cookie Tote,$10.29,afternoon
Apple Pie,$2.29+,afternoon
Strawberry & Crème Pie,$2.29+,afternoon
Chicken Pack,$47.69,afternoon
20 pc. Chicken McNuggets® & 2 Medium Fries,$17.19,afternoon
40 pc. Chicken McNuggets®,$15.89,afternoon
40 pc. Chicken McNuggets® & 2 Large Fries,$27.59,afternoon
Burger Pack,$46.99,afternoon
Favorites for 4,$53.79,afternoon
Combo Pack,$56.39,afternoon
Classic Quarter Pounder® with Cheese Pack,$36.29,afternoon
Classic Cheeseburger Pack,$28.29,afternoon
Classic Big Mac® Pack,$36.29,afternoon
2 Medium French Fries,$10.89,afternoon
2 Large Fries,$12.19,afternoon
13 Cookie Tote,$10.29,afternoon
