Item Name,Price,Time of Day
Peach Lychee Flavored Refresher,$13.00+,afternoon
Pomegranate Pineapple Flavored Lemonade,$14.90+,afternoon
Watermelon Mango Flavored Refresher,$4.15+,afternoon
Barq's Root Beer,$4.15+,afternoon
Fanta Orange,$4.15+,afternoon
Minute Maid Lemonade,$3.00+,afternoon
Sprite,$3.00+,afternoon
Coca Cola Cherry,$3.00+,afternoon
Fanta Strawberry,$3.00+,afternoon
Fuze Raspberry Iced Tea,$3.00+,afternoon
Passion Mango Black Tea,$3.00+,afternoon
Dasani,$3.00+,afternoon
Powerade Berry Blast,$3.00+,afternoon
Minute Maid Apple Juice,$3.00+,afternoon
Coke Mexico,$3.50+,afternoon
Coke Zero,$3.00+,afternoon
Sprite,$3.90+,afternoon
Smartwater,$3.15+,afternoon
