Item Name,Price,Time of Day
Fountain Soda,$13.89,afternoon
Draft Root Beer,$18.29,afternoon
Organic Apple Juice Drink,$4.99+,afternoon
Shack2O Water,$4.99+,afternoon
Sparkling Shack2O Water,$4.99,afternoon
Bag O' Bones,$4.99,afternoon
ShackBurger Box - 12 servings,$4.99,afternoon
Crinkle Cut Box - 12 Servings,$10.29,afternoon
Chicken Shack Box - 12 servings,$115.09,afternoon
Veggie Shack™ Box - 12 servings,$65.09,afternoon
Smoke Shack Box- 12 Servings,$130.99,afternoon
Cheeseburger Box - 12 servings,$140.39,afternoon
Hamburger Box - 12 servings,$139.09,afternoon
'Shroom Burger Box - 12 servings,$113.79,afternoon
