Item Name,Price,Time of Day
Iced Chai Latte,$6.25+,afternoon
Iced Matcha Latte,$6.25+,afternoon
Iced Lavender Cream Oatmilk Matcha,$6.55+,afternoon
Iced Cherry Chai Latte,$6.55+,afternoon
Iced Black Tea,$4.15+,afternoon
Iced Black Tea Lemonade,$4.75+,afternoon
Iced Green Tea,$4.15+,afternoon
Iced Green Tea Lemonade,$4.75+,afternoon
Iced Peach Green Tea,$4.75+,afternoon
Iced Peach Green Tea Lemonade,$5.15+,afternoon
Iced Passion Tango® Tea,$4.15+,afternoon
Iced Passion Tango® Tea Lemonade,$4.75+,afternoon
Matcha Crème Frappuccino® Blended Beverage,$7.15+,afternoon
