Item Name,Price,Time of Day
Veggie Bowl,$10.35+,afternoon
Caliente Cantina Chicken Quesadilla Meal,$14.62+,afternoon
Discovery Luxe Box,$12.18+,afternoon
Classic Luxe Box,$7.30+,afternoon
Supreme® Luxe Box,$9.74+,afternoon
Cantina Chicken Crispy Taco Meal,$12.18+,afternoon
Cantina Chicken Burrito Meal,$14.62+,afternoon
Cantina Chicken Quesadilla Meal,$14.62+,afternoon
Steak Grilled Cheese Burrito Combo,$12.91+,afternoon
Mexican Pizza Combo,$15.84+,afternoon
Chicken Quesadilla Combo,$14.62+,afternoon
Nachos BellGrande® Combo,$15.72+,afternoon
2 Chicken Chalupas Supreme Combo,$17.55+,afternoon
Crunchwrap Supreme® Combo,$14.62+,afternoon
3 Crunchy Tacos Combo,$10.96+,afternoon
3 Crunchy Tacos Supreme® Combo,$14.62+,afternoon
3 Doritos® Locos Tacos Combo,$14.50+,afternoon
3 Doritos® Locos Tacos Supreme Combo,$16.70+,afternoon
3 Soft Tacos Combo,$10.96+,afternoon
3 Soft Tacos Supreme® Combo,$14.62+,afternoon
Burrito Supreme® Combo,$14.87+,afternoon
