Restaurant Name,Item Name,Quantity,Price,Subtotal,Delivery Fee,Taxes & Other Fees,Total
Burger King,Original Chicken Sandwich,1,$6.99 ,$24.36 ,$2.49 ,$6.12 ,$32.97 
Burger King,French Fries,1,$4.69 ,$24.36 ,$2.49 ,$6.12 ,$32.97 
Burger King,Whopper,1,$8.29 ,$24.36 ,$2.49 ,$6.12 ,$32.97 
Burger King,Coca-Cola,1,$4.39 ,$24.36 ,$2.49 ,$6.12 ,$32.97 
IHOP,Cinnamon Dippers,1,$7.19 ,$24.81 ,$1.49 ,$6.15 ,$32.45 
IHOP,New Caramel Apple Lemonade,1,$4.43 ,$24.81 ,$1.49 ,$6.15 ,$32.45 
IHOP,Original Buttermilk Pancakes - (Full Stack),1,$13.19 ,$24.81 ,$1.49 ,$6.15 ,$32.45 
Insomnia Cookies,Deluxe 4-pack,1,$22.75 ,$30.50 ,$3.99 ,$6.09 ,$40.58 
Insomnia Cookies,Ice Cream in a Cup,1,$7.75 ,$30.50 ,$3.99 ,$6.09 ,$40.58 
KFC,8 pc. Chicken Only,1,$22.79 ,$33.57 ,$3.49 ,$7.54 ,$44.60 
KFC,Spicy Chicken Sandwich,1,$7.19 ,$33.57 ,$3.49 ,$7.54 ,$44.60 
KFC,Pepsi,1,$3.59 ,$33.57 ,$3.49 ,$7.54 ,$44.60 
McDonald's,French Fries,1,$4.59 ,$22.26 ,$1.49 ,$5.53 ,$29.28 
McDonald's,10 pc. Chicken McNuggets®,1,$7.99 ,$22.26 ,$1.49 ,$5.53 ,$29.28 
McDonald's,Iced Coffee,1,$2.09 ,$22.26 ,$1.49 ,$5.53 ,$29.28 
McDonald's,Big Mac®,1,$7.59 ,$22.26 ,$1.49 ,$5.53 ,$29.28 
Panda Express,Plate,1,$16.70 ,$44.60 ,$1.49 ,$10.96 ,$57.05 
Panda Express,Bowl,1,$12.90 ,$44.60 ,$1.49 ,$10.96 ,$57.05 
Panda Express,Honey Sesame Chicken Breast,1,$6.75 ,$44.60 ,$1.49 ,$10.96 ,$57.05 
Panda Express,Super Greens,1,$5.75 ,$44.60 ,$1.49 ,$10.96 ,$57.05 
Panda Express,Veggie Spring Roll,1,$2.50 ,$44.60 ,$1.49 ,$10.96 ,$57.05 
Starbucks,Caffè Latte,1,$5.45 ,$29.00 ,$2.99 ,$7.29 ,$39.28 
Starbucks,Cappuccino,1,$5.45 ,$29.00 ,$2.99 ,$7.29 ,$39.28 
Starbucks,Caramel Macchiato,1,$6.15 ,$29.00 ,$2.99 ,$7.29 ,$39.28 
Starbucks,Chocolate Cake Pop,1,$3.95 ,$29.00 ,$2.99 ,$7.29 ,$39.28 
Starbucks,Double Chocolate Brownie,1,$4.55 ,$29.00 ,$2.99 ,$7.29 ,$39.28 
Starbucks,Hot Chocolate,1,$3.45 ,$29.00 ,$2.99 ,$7.29 ,$39.28 
SUBWAY®,Pepsi®,1,$4.25 ,$23.96 ,$2.49 ,$6.02 ,$32.47 
SUBWAY®,Double Chocolate,1,$1.32 ,$23.96 ,$2.49 ,$6.02 ,$32.47 
SUBWAY®,Steak & Cheese,1,$9.62 ,$23.96 ,$2.49 ,$6.02 ,$32.47 
SUBWAY®,Grilled Chicken,1,$8.77 ,$23.96 ,$2.49 ,$6.02 ,$32.47 
Taco Bell,Crunchwrap Supreme®,1,$7.55 ,$19.23 ,$1.49 ,$4.27 ,$24.99 
Taco Bell,Grilled Cheese Burrito,1,$6.57 ,$19.23 ,$1.49 ,$4.27 ,$24.99 
Taco Bell,MTN DEW® Baja Blast®,1,$2.44 ,$19.23 ,$1.49 ,$4.27 ,$24.99 
Taco Bell,Cinnabon Delights® 2 Pack,1,$2.67 ,$19.23 ,$1.49 ,$4.27 ,$24.99 
Wendy's,Parmesan Caesar Salad,1,$9.39 ,$23.86 ,$3.99 ,$6.12 ,$33.97 
Wendy's,French Fries,1,$2.89 ,$23.86 ,$3.99 ,$6.12 ,$33.97 
Wendy's,Dave's Double®,1,$8.29 ,$23.86 ,$3.99 ,$6.12 ,$33.97 
Wendy's,6 PC. Spicy Chicken Nuggets,1,$3.29 ,$23.86 ,$3.99 ,$6.12 ,$33.97 
