Restaurant Name,Item Name,Quantity,Price,Subtotal,Delivery Fee,Taxes & Other Fees,Total
Burger King,Original Chicken Sandwich,1,$8.05,$26.22,$0.00,$8.38,$34.60
Burger King,French Fries,1,$5.19,$26.22,$0.00,$8.38,$34.60
Burger King,Whopper,1,$9.09,$26.22,$0.00,$8.38,$34.60
Burger King,Coca-Cola,1,$3.89,$26.22,$0.00,$8.38,$34.60
IHOP,Cinnamon Dippers,1,$9.59,$29.13,$0.00,$6.00,$35.13
IHOP,New Caramel Apple Lemonade,1,$6.35,$29.13,$0.00,$6.00,$35.13
IHOP,Original Buttermilk Pancakes - (Full Stack),1,$13.19,$29.13,$0.00,$6.00,$35.13
Insomnia Cookies,Deluxe 4-pack,1,$24.75,$33.50,$0.00,$1.82,$35.32
Insomnia Cookies,Ice Cream in a Cup,1,$8.75,$33.50,$0.00,$1.82,$35.32
KFC,8 pc. Chicken Only,1,$29.51,$40.53,$0.00,$7.93,$48.46
KFC,Spicy Chicken Sandwich,1,$6.59,$40.53,$0.00,$7.93,$48.46
KFC,Pepsi,1,$4.43,$40.53,$0.00,$7.93,$48.46
McDonald's,French Fries,1,$5.69,$24.96,$0.00,$5.10,$30.06
McDonald's,10 pc. Chicken McNuggets®,1,$7.59,$24.96,$0.00,$5.10,$30.06
McDonald's,Iced Coffee,1,$2.99,$24.96,$0.00,$5.10,$30.06
McDonald's,Big Mac®,1,$8.69,$24.96,$0.00,$5.10,$30.06
Panda Express,Plate,1,$16.80,$44.85,$0.00,$11.63,$56.48
Panda Express,Bowl,1,$13.05,$44.85,$0.00,$11.63,$56.48
Panda Express,Honey Sesame Chicken Breast,1,$6.75,$44.85,$0.00,$11.63,$56.48
Panda Express,Super Greens,1,$5.75,$44.85,$0.00,$11.63,$56.48
Panda Express,Veggie Spring Roll,1,$2.50,$44.85,$0.00,$11.63,$56.48
Starbucks,Caffè Latte,1,$5.55,$29.80,$0.00,$8.83,$38.63
Starbucks,Cappuccino,1,$5.55,$29.80,$0.00,$8.83,$38.63
Starbucks,Caramel Macchiato,1,$6.15,$29.80,$0.00,$8.83,$38.63
Starbucks,Chocolate Cake Pop,1,$4.55,$29.80,$0.00,$8.83,$38.63
Starbucks,Double Chocolate Brownie,1,$4.75,$29.80,$0.00,$8.83,$38.63
Starbucks,Hot Chocolate,1,$3.25,$29.80,$0.00,$8.83,$38.63
SUBWAY®,Pepsi®,1,$3.90,$25.60,$0.00,$5.41,$31.01
SUBWAY®,Double Chocolate,1,$1.90,$25.60,$0.00,$5.41,$31.01
SUBWAY®,Steak & Cheese,1,$9.90,$25.60,$0.00,$5.41,$31.01
SUBWAY®,Grilled Chicken,1,$9.90,$25.60,$0.00,$5.41,$31.01
Taco Bell,Crunchwrap Supreme®,1,$7.79,$20.79,$0.00,$7.07,$27.86
Taco Bell,Grilled Cheese Burrito,1,$6.57,$20.79,$0.00,$7.07,$27.86
Taco Bell,MTN DEW® Baja Blast®,1,$3.15,$20.79,$0.00,$7.07,$27.86
Taco Bell,Cinnabon Delights® 2 Pack,1,$3.28,$20.79,$0.00,$7.07,$27.86
Wendy's,Parmesan Caesar Salad,1,$11.49,$31.06,$0.00,$9.23,$40.29
Wendy's,French Fries,1,$4.29,$31.06,$0.00,$9.23,$40.29
Wendy's,Dave's Double®,1,$10.39,$31.06,$0.00,$9.23,$40.29
Wendy's,6 PC. Spicy Chicken Nuggets,1,$4.89,$31.06,$0.00,$9.23,$40.29
