Restaurant Name,Item Name,Price
Panda Express,Peach Lychee Flavored Refresher,$13.00+
Panda Express,Pomegranate Pineapple Flavored Lemonade,$14.90+
Panda Express,Watermelon Mango Flavored Refresher,$4.15+
Panda Express,Barq's Root Beer,$4.15+
Panda Express,Fanta Orange,$4.15+
Panda Express,Minute Maid Lemonade,$3.00+
Panda Express,Sprite,$3.00+
Panda Express,Coca Cola Cherry,$3.00+
Panda Express,Fanta Strawberry,$3.00+
Panda Express,Fuze Raspberry Iced Tea,$3.00+
Panda Express,Passion Mango Black Tea,$3.00+
Panda Express,Dasani,$3.00+
Panda Express,Powerade Berry Blast,$3.00+
Panda Express,Minute Maid Apple Juice,$3.00+
Panda Express,Coke Mexico,$3.50+
Panda Express,Sprite,$3.00+
Panda Express,Smartwater,$3.90+
Oscar's Very Mexican Food,Pollo Asado Burrito,$12.00 
Oscar's Very Mexican Food,Oscar's Combo Plate,$15.00 
Oscar's Very Mexican Food,Chile Verde Combo Plate,$11.00 
Oscar's Very Mexican Food,Adobada Combo Plate,$17.00 
Oscar's Very Mexican Food,Carne Asada Combo Plate,$18.00 
Oscar's Very Mexican Food,Carnitas Combo Plate,$18.00 
Oscar's Very Mexican Food,Fajita Combo Plate,$18.50 
Oscar's Very Mexican Food,Pollo Asado Combo Plate,$18.00 
Oscar's Very Mexican Food,Carne Asada Fries,$18.00 
Oscar's Very Mexican Food,Taco Salad,$18.00 
Oscar's Very Mexican Food,Quesadilla,$15.50 
Oscar's Very Mexican Food,Quesadilla Supreme,$10.50 
Oscar's Very Mexican Food,Chips Supreme,$6.50 
Oscar's Very Mexican Food,Chips with Cheese,$11.00 
Oscar's Very Mexican Food,Plain Chips,$15.00 
Oscar's Very Mexican Food,Carnitas Taco,$5.00 
Oscar's Very Mexican Food,Fajita Taco,$1.50 
Oscar's Very Mexican Food,Adobada Taco,$5.50 
Oscar's Very Mexican Food,Beef Taco,$5.50 
Oscar's Very Mexican Food,Carne Asada Taco,$5.50 
Oscar's Very Mexican Food,Chicken Taco,$5.00 
Oscar's Very Mexican Food,Chorizo Taco,$5.50 
Oscar's Very Mexican Food,Fish Taco,$5.00 
Oscar's Very Mexican Food,Pollo Asado Taco,$5.25 
Oscar's Very Mexican Food,Vegetarian Taco,$5.25 
Oscar's Very Mexican Food,Carne Asada Torta,$5.50 
Oscar's Very Mexican Food,Chicken Torta,$4.00 
Oscar's Very Mexican Food,Adobada Torta,$11.75 
Oscar's Very Mexican Food,Carnitas Torta,$10.50 
Oscar's Very Mexican Food,Chorizo & Eggs Torta,$11.50 
Oscar's Very Mexican Food,Ham & Cheese Torta,$11.50 
Oscar's Very Mexican Food,Machaca Torta,$10.15 
Oscar's Very Mexican Food,Carne Asada Chimichanga,$10.50 
Oscar's Very Mexican Food,Chicken Chimichanga,$11.50 
Falafel Corner,Side Of Gyro/Chicken/Falafels*,$3.99 
Falafel Corner,Baklava*,$1.99 
Falafel Corner,Drinks*,$1.69 
Los Inmortales Taqueria,Coctel de Camaron,$22.55 
Los Inmortales Taqueria,Coctel de Camaron y Pulpo,$23.55 
Los Inmortales Taqueria,Caldo de res,$18.25 
Los Inmortales Taqueria,Pozole,$17.95 
Los Inmortales Taqueria,Tostada Ceviche,$8.85 
Los Inmortales Taqueria,Tostada de Camaron and Pulpo,$8.85 
Los Inmortales Taqueria,Tostada de Camaron,$8.85 
Los Inmortales Taqueria,Mojarra a la Diabla,$24.45 
Los Inmortales Taqueria,Mojarra a la Mexicana,$24.45 
Los Inmortales Taqueria,Mojarra Frita,$24.45 
Los Inmortales Taqueria,Mojarra al Mojo de Ajo,$24.45 
Los Inmortales Taqueria,Una Enchilada,$13.65 
Los Inmortales Taqueria,Dos Enchiladas,$17.50 
Los Inmortales Taqueria,Tres Enchiladas,$18.99 
Los Inmortales Taqueria,Super Enchilada,$18.99 
Los Inmortales Taqueria,Enchilada de Camaron,$20.75 
Little Caesars Pizza,4 Cheese Crazy Puffs®,$12.89 
Little Caesars Pizza,Pepperoni Crazy Puffs®,$18.51 
Little Caesars Pizza,2-Liter Beverage,$5.49 
Little Caesars Pizza,20 oz Beverage,$5.49 
Tim's Kitchen Davis,Unagi Don,$13.95 
Tim's Kitchen Davis,Braised Spicy Pig Feet over Rice,$13.80 
Tim's Kitchen Davis,Baked Pork Chop with Tomato Sauce over Spaghetti,$13.80 
Tim's Kitchen Davis,Baked Chicken Steak with Cream Sauce over Rice,$13.80 
Tim's Kitchen Davis,Braised Spicy Beef Shank over Rice,$13.80 
Tim's Kitchen Davis,Green Bean with Chicken over Rice,$13.80 
Tim's Kitchen Davis,Chicken Steak with Black Pepper over Rice,$13.80 
Tim's Kitchen Davis,Baked Chicken Steak with Cream Sauce over Spaghetti,$13.80 
Tim's Kitchen Davis,Broccoli Chicken with Rice,$13.80 
Tim's Kitchen Davis,Baked Pork Chop with Tomato Sauce over Rice,$13.80 
Tim's Kitchen Davis,Chicken Steak with Black Pepper over Spaghetti,$13.80 
Tim's Kitchen Davis,Chicken Steak in Portuguese Sauce with Spaghetti,$13.95 
