Item Name,Price,Time of Day
Split Decision Breakfast,$19.19+,morning
Country Fried Steak & Eggs,$21.59+,morning
T-Bone Steak & Eggs,$25.19+,morning
Chicken & Pancakes,$19.19,morning
Quick 2-Egg Breakfast,$16.79+,morning
Impossible™ Plant-Based Sausage Power Combo,$17.99,morning
Avocado Toast,$13.19+,morning
Spicy Poblano Omelette,$21.59+,morning
Big Steak Omelette,$22.79+,morning
Chicken Fajita Omelette,$21.59+,morning
Colorado Omelette,$22.79+,morning
Bacon Temptation Omelette,$21.59+,morning
Spinach & Mushroom Omelette,$20.39+,morning
Veggie Egg White Omelette,$20.39,morning
Build Your Own Omelette+,$15.59+,morning
