Item Name,Price,Time of Day
61. SOMETIMES I'M A VEGETARIAN,$16.25+,morning
61. SOMETIMES I'M A VEGETARIAN,$16.25+,morning
219. FALL'ING FOR IKE'S,$17.85+,morning
291. PEE WEE,$17.85+,morning
206. MOBILE MAMA,$17.85+,morning
249. GO KINGS!,$17.85+,morning
298. JAYMEETLESS,$17.85+,morning
36. [YOUR FAVORITE PEANUTS CHARACTER],$16.25+,morning
311. LOVE TRIANGLE,$19.45+,morning
315. BONNIE-JILL,$17.85+,morning
892. PIRATES OR PILATES,$17.85+,morning
627. TYRAWR!,$17.85+,morning
170. NOT SO SLOPPY IKE,$17.85+,morning
600. PERSEPHONE,$19.45+,morning
895. CLUELESS,$16.25+,morning
173. GLADIATOR *Contains Anchovies*,$17.85+,morning
657. JOAN DIDION,$17.85+,morning
414. LITACANRANA,$17.85+,morning
243. I CH-CH-CHOOSE YOU *Contains Anchovies*,$17.75+,morning
