Item Name,Price,Time of Day
Bacon Ultimate Cheeseburger™ Combo,$18.48+,morning
3pc Crispy Chicken Strips Combo,$16.98+,morning
8pc Chicken Nuggets Combo,$13.48+,morning
Chicken Teriyaki Bowl w/ Brown Rice Combo,$17.24,morning
6pc Classic French Toast Sticks Combo,$12.24,morning
3PC French Toast Sticks Platter w/ Bacon & Sausage Combo,$13.99,morning
3PC French Toast Sticks Platter w/ Bacon Combo,$13.49,morning
3PC French Toast Sticks Platter w/ Sausage Combo,$13.49,morning
Grande Sausage Burrito Combo,$13.61,morning
Supreme Croissant Combo,$12.49,morning
Sausage Croissant Combo,$12.36,morning
Supreme Sourdough Breakfast Sandwich Combo,$11.74,morning
Meat Lovers Burrito Combo,$13.61,morning
Loaded Breakfast Sandwich Combo,$13.74,morning
Extreme Sausage® Sandwich Combo,$12.49,morning
Ultimate Breakfast Sandwich Combo,$13.49,morning
Sausage Breakfast Jack® Combo,$9.74,morning
Breakfast Jack® Combo,$9.24,morning
