Item Name,Price,Time of Day
Peach Lychee Flavored Refresher,$13.00+,morning
Pomegranate Pineapple Flavored Lemonade,$14.90+,morning
Watermelon Mango Flavored Refresher,$4.15+,morning
Barq's Root Beer,$4.15+,morning
Fanta Orange,$4.15+,morning
Minute Maid Lemonade,$3.00+,morning
Sprite,$3.00+,morning
Coca Cola Cherry,$3.00+,morning
Fanta Strawberry,$3.00+,morning
Fuze Raspberry Iced Tea,$3.00+,morning
Passion Mango Black Tea,$3.00+,morning
Dasani,$3.00+,morning
Powerade Berry Blast,$3.00+,morning
Minute Maid Apple Juice,$3.00+,morning
Coke Mexico,$3.50+,morning
Coke Zero,$3.00+,morning
Sprite,$3.90+,morning
Smartwater,$3.15+,morning
