Item Name,Price,Time of Day
Fountain Soda,$13.89,morning
Draft Root Beer,$18.29,morning
Organic Apple Juice Drink,$4.99+,morning
Shack2O Water,$4.99+,morning
Sparkling Shack2O Water,$4.99,morning
Bag O' Bones,$4.99,morning
ShackBurger Box - 12 servings,$4.99,morning
Crinkle Cut Box - 12 Servings,$10.29,morning
Chicken Shack Box - 12 servings,$115.09,morning
Veggie Shack™ Box - 12 servings,$65.09,morning
Smoke Shack Box- 12 Servings,$130.99,morning
Cheeseburger Box - 12 servings,$140.39,morning
Hamburger Box - 12 servings,$139.09,morning
'Shroom Burger Box - 12 servings,$113.79,morning
