Item Name,Price,Time of Day
Veggie Bowl,$10.35+,morning
Caliente Cantina Chicken Quesadilla Meal,$14.62+,morning
Discovery Luxe Box,$12.18+,morning
Classic Luxe Box,$7.30+,morning
Supreme® Luxe Box,$9.74+,morning
Cantina Chicken Crispy Taco Meal,$12.18+,morning
Cantina Chicken Burrito Meal,$14.62+,morning
Cantina Chicken Quesadilla Meal,$14.62+,morning
Steak Grilled Cheese Burrito Combo,$12.91+,morning
Mexican Pizza Combo,$15.84+,morning
Chicken Quesadilla Combo,$14.62+,morning
Nachos BellGrande® Combo,$15.72+,morning
2 Chicken Chalupas Supreme Combo,$17.55+,morning
Crunchwrap Supreme® Combo,$14.62+,morning
3 Crunchy Tacos Combo,$10.96+,morning
3 Crunchy Tacos Supreme® Combo,$14.62+,morning
3 Doritos® Locos Tacos Combo,$14.50+,morning
3 Doritos® Locos Tacos Supreme Combo,$16.70+,morning
3 Soft Tacos Combo,$10.96+,morning
3 Soft Tacos Supreme® Combo,$14.62+,morning
Burrito Supreme® Combo,$14.87+,morning
