Item Name,Price,Time of Day
Split Decision Breakfast,$19.19+,night
Country Fried Steak & Eggs,$21.59+,night
T-Bone Steak & Eggs,$25.19+,night
Chicken & Pancakes,$19.19,night
Quick 2-Egg Breakfast,$16.79+,night
Impossible™ Plant-Based Sausage Power Combo,$17.99,night
Avocado Toast,$13.19+,night
Spicy Poblano Omelette,$21.59+,night
Big Steak Omelette,$22.79+,night
Chicken Fajita Omelette,$21.59+,night
Colorado Omelette,$22.79+,night
Bacon Temptation Omelette,$21.59+,night
Spinach & Mushroom Omelette,$20.39+,night
Veggie Egg White Omelette,$20.39,night
Build Your Own Omelette+,$15.59+,night
