Item Name,Price,Time of Day
19. GOING HOME FOR THANKSGIVING,$16.25+,night
291. PEE WEE,$17.85+,night
206. MOBILE MAMA,$17.85+,night
249. GO KINGS!,$17.85+,night
298. JAYMEETLESS,$17.85+,night
311. LOVE TRIANGLE,$19.45+,night
315. BONNIE-JILL,$17.85+,night
892. PIRATES OR PILATES,$17.85+,night
627. TYRAWR!,$17.85+,night
170. NOT SO SLOPPY IKE,$17.85+,night
600. PERSEPHONE,$19.45+,night
895. CLUELESS,$16.25+,night
173. GLADIATOR *Contains Anchovies*,$17.85+,night
657. JOAN DIDION,$17.85+,night
414. LITACANRANA,$17.85+,night
243. I CH-CH-CHOOSE YOU *Contains Anchovies*,$17.75+,night
