Item Name,Price,Time of Day
3PC French Toast Sticks Platter w/ Bacon Combo,$13.49,night
3PC French Toast Sticks Platter w/ Sausage Combo,$13.49,night
Grande Sausage Burrito Combo,$13.61,night
Supreme Croissant Combo,$12.49,night
Sausage Croissant Combo,$12.36,night
Supreme Sourdough Breakfast Sandwich Combo,$11.74,night
Meat Lovers Burrito Combo,$13.61,night
Loaded Breakfast Sandwich Combo,$13.74,night
Extreme Sausage® Sandwich Combo,$12.49,night
Ultimate Breakfast Sandwich Combo,$13.49,night
Sausage Breakfast Jack® Combo,$9.74,night
Breakfast Jack® Combo,$9.24,night
Sauced & Loaded Tiny Tacos,$6.25,night
Classic Tiny Tacos,$5.00,night
(2) Tacos,$2.49,night
