Item Name,Price,Time of Day
Strawberry Shake,$5.29+,night
Vanilla Shake,$5.29+,night
OREO® Shamrock McFlurry®,$2.49+,night
M&M® McFlurry®,$2.99+,night
OREO® McFlurry®,$2.99+,night
2 Cookies,$2.39,night
3 Pack Of Cookies,$3.19,night
13 Cookie Tote,$10.29,night
Apple Pie,$2.29+,night
Strawberry & Crème Pie,$2.29+,night
Combo Pack,$56.39,night
Chicken Pack,$47.69,night
Favorites for 4,$53.79,night
20 pc. Chicken McNuggets® & 2 Medium Fries,$17.19,night
40 pc. Chicken McNuggets® & 2 Large Fries,$27.59,night
40 pc. Chicken McNuggets®,$15.89,night
Classic Quarter Pounder® with Cheese Pack,$36.29,night
Burger Pack,$46.99,night
2 Medium French Fries,$10.89,night
2 Large Fries,$12.19,night
Classic Cheeseburger Pack,$28.29,night
Classic Big Mac® Pack,$36.29,night
13 Cookie Tote,$10.29,night
