Item Name,Price,Time of Day
Chicken Club,$25.82+,night
Aquafina,$4.00+,night
Mix & Match 4-Pack,$12.29+,night
Dole Lemonade,$4.00+,night
Starry,$4.00+,night
Dole Strawberry Pink Lemonade,$4.00+,night
Cinnamon Dessert Pizza,$12.29+,night
Mini Churrs,$9.83+,night
Pizza Cookie,$11.06+,night
Apple of My Pie,$6.14+,night
Sweetheart Cherry Pie Dessert Pizza,$20.39+,night
Side Ranch,$1.23+,night
Side BBQ Sauce,$1.23+,night
Side Blue Cheese,$1.23+,night
Side Marinara,$1.23+,night
Side Creme Anglaise,$1.23+,night
1000 Island,$1.23+,night
Blue Cheese,$1.23+,night
Italian,$1.23+,night
Side Jalapenos,$1.23+,night
Side Buffalo Sauce,$1.23+,night
Side Pepperoncini,$1.23+,night
Side Pineapple,$1.23+,night
Side Italian Dress,$7.37+,night
Large Ranch,$7.37+,night
Side Caesar,$1.23+,night
