Item Name,Price,Time of Day
Peach Lychee Flavored Refresher,$11.15+,night
Pomegranate Pineapple Flavored Lemonade,$14.90+,night
Watermelon Mango Flavored Refresher,$4.15+,night
Barq's Root Beer,$4.15+,night
Fanta Orange,$4.15+,night
Minute Maid Lemonade,$3.00+,night
Sprite,$3.00+,night
Coca Cola Cherry,$3.00+,night
Fanta Strawberry,$3.00+,night
Fuze Raspberry Iced Tea,$3.00+,night
Passion Mango Black Tea,$3.00+,night
Dasani,$3.00+,night
Powerade Berry Blast,$3.00+,night
Minute Maid Apple Juice,$3.00+,night
Coke Mexico,$3.50+,night
Coke Zero,$3.00+,night
Sprite,$3.90+,night
Smartwater,$3.15+,night
