Item Name,Price,Time of Day
Draft Root Beer,$5.69,night
Organic Apple Juice Drink,$10.09+,night
Shack2O Water,$4.99+,night
Sparkling Shack2O Water,$4.99,night
Bag O' Bones,$4.99,night
ShackBurger Box - 12 servings,$4.99,night
Crinkle Cut Box - 12 Servings,$10.29,night
Chicken Shack Box - 12 servings,$115.09,night
Veggie Shack™ Box - 12 servings,$65.09,night
Smoke Shack Box- 12 Servings,$130.99,night
Cheeseburger Box - 12 servings,$140.39,night
Hamburger Box - 12 servings,$139.09,night
'Shroom Burger Box - 12 servings,$113.79,night
