Item Name,Price,Time of Day
Iced Peach Green Tea Lemonade,$5.15+,night
Iced Passion Tango® Tea,$4.15+,night
Iced Passion Tango® Tea Lemonade,$4.75+,night
Matcha Crème Frappuccino® Blended Beverage,$7.15+,night
Strawberry Açaí Lemonade Refresher,$6.55+,night
Mango Dragonfruit Lemonade Refresher,$6.55+,night
Blackberry Sage Lemonade Refresher,$7.15+,night
Pink Drink,$6.55+,night
Dragon Drink®,$6.55+,night
Midnight Drink,$7.15+,night
Strawberry Açaí Refresher,$5.75+,night
Mango Dragonfruit Refresher,$5.75+,night
Blackberry Sage Refresher,$6.55+,night
