Item Name,Price,Time of Day
Veggie Bowl,$10.35+,night
Classic Luxe Box,$7.30+,night
Supreme® Luxe Box,$9.74+,night
Cantina Chicken Crispy Taco Meal,$12.18+,night
Cantina Chicken Burrito Meal,$14.62+,night
Cantina Chicken Quesadilla Meal,$14.62+,night
Steak Grilled Cheese Burrito Combo,$12.91+,night
Mexican Pizza Combo,$15.84+,night
Chicken Quesadilla Combo,$14.62+,night
Nachos BellGrande® Combo,$15.72+,night
2 Chicken Chalupas Supreme Combo,$17.55+,night
Crunchwrap Supreme® Combo,$14.62+,night
3 Crunchy Tacos Combo,$10.96+,night
3 Crunchy Tacos Supreme® Combo,$14.62+,night
3 Doritos® Locos Tacos Combo,$14.50+,night
3 Doritos® Locos Tacos Supreme Combo,$16.70+,night
3 Soft Tacos Combo,$10.96+,night
3 Soft Tacos Supreme® Combo,$14.62+,night
Burrito Supreme® Combo,$14.87+,night
