name,address,phone_number,cuisines
Pho King 4 ,"226 3rd St, Davis, CA, 95616",1 5305898888,"Asian, Noodles, Pho, Vegetarian, Vietnamese"
Falafel Corner Davis,"720 2nd St, Davis, CA, 95616",1 5307465975,"Falafel, Mediterranean, Wraps"
Jack's Urban Eats,"1321 W Covell Blvd, Davis, CA, 95616",1 5307533431,"American, Bowls, Eclectic, Kids Menu, Salads, Sandwiches, Seafood"
Pho Tasty,"301 G St, Davis, CA, 95616",1 5305646868,"Chicken, Noodles, Soup"
Taqueria El Burrito 2,"223 F St, Davis, CA, 95616",1 5307561606,"Mexican, Burritos, Tacos"
Zumapoke & Lush Ice,"730 3rd St, Davis, CA, 95616",1 5303410498,"Asian, Bowls, Poke"
El Patio Fresh Mexican Grill,"200 E St, Davis, CA, 95616",1 5302315658,"Mexican, Breakfast, Burritos, Dessert, Kids Menu, Tacos"
Panda Express,"1491 W Covell Blvd, Davis, CA, 95616",1 5307572332,"Asian, Chinese"
Bombay Bar and Grill,"1315 21st St, Sacramento, CA, 95811",1 9164417100,"Indian, Chicken, Lunch Specials, Vegan, Vegetarian"
Tasty Kitchen,"335 F Street, Davis, CA, 95616",1 5307537007,"Chinese, BBQ, Chicken, Noodles, Seafood, Soup"
Halal Bros,"2917 W Capitol Ave, West Sacramento, CA, 95691",1 9168224570,"Chicken, Dessert, Falafel, Gyro, Halal, Mediterranean, Pitas, Vegetarian"
Chipotle,"227 E St, Davis, CA, 95616",1 5307583599,"Mexican, Bowls, Burritos, Salads, Tex-Mex"
L&L Hawaiian Barbecue,"1030 Florin Rd, Sacramento, CA, 95831",1 9163925555,"BBQ, Bowls, Breakfast, Chicken, Hamburgers, Hawaiian, Sandwiches, Seafood"
Raising Cane's Chicken Fingers,"207 E Street, Davis, CA, 95616",1 5302977909,Fast Food
Orchid Thai Restaurant & Bar,"1609 16th St, Sacramento, CA, 95814",1 9164763681,"Asian, Curry, Healthy, Seafood, Soup, Thai, Vegan"
I Love Teriyaki,"3571 Truxel Rd #2a, Sacramento, CA, 95834",1 9164191717,"Asian, Chicken, Noodles"
Teriyaki Madness,"289 3rd St, West Sacramento, CA, 95605",1 9165720006,"Japanese, Asian, Asian Fusion, Vegetarian"
Thai Canteen,"1501 16th St, Sacramento, CA, 95814",1 9163829196,"Asian, Noodles, Salads, Thai"
