Restaurant Name,URL
Panda Express,https://www.grubhub.com/restaurant/panda-express-1491-w-covell-blvd-davis/1958456
Chipotle,https://www.grubhub.com/restaurant/chipotle-227-e-st-davis/2125568
Oscar's Very Mexican Food,https://www.grubhub.com/restaurant/oscars-very-mexican-food-3061-freeport-blvd-sacramento/6565584
Falafel Corner,https://www.grubhub.com/restaurant/falafel-corner-3620-n-freeway-blvd-sacramento/346705
Falafel Corner,https://www.grubhub.com/restaurant/falafel-corner-1004-j-st-sacramento/5958720
Los Inmortales Taqueria,https://www.grubhub.com/restaurant/los-inmortales-taqueria-501-broadway-sacramento/7104192
Little Caesars Pizza,https://www.grubhub.com/restaurant/little-caesars-pizza-1340-e-covell-blvd-unit-103-davis/5616456
Tim's Kitchen Davis,https://www.grubhub.com/restaurant/tims-kitchen-davis-808-2nd-st-davis/6886080
McDonald's,https://www.grubhub.com/restaurant/mcdonalds-4444-chiles-rd-davis/2457649
Carl's Jr.,https://www.grubhub.com/restaurant/carls-jr-1701-cowell-blvd-davis/5030624
El Patio Fresh Mexican Grill,https://www.grubhub.com/restaurant/el-patio-fresh-mexican-grill-200-e-st-davis/1950144
Jack in the Box,https://www.grubhub.com/restaurant/jack-in-the-box-337-g-st-davis/2455132
Raising Cane's Chicken Fingers,https://www.grubhub.com/restaurant/raising-canes-chicken-fingers-207-e-street-davis/3128154
Fire Wings Natomas,https://www.grubhub.com/restaurant/fire-wings-natomas-2721-del-paso-rd-sacramento/2671977
524 Mexican Food,https://www.grubhub.com/restaurant/524-mexican-food-3830-northgate-blvd-sacramento/5620200
Skip's Fish & Chicken ( Truxel Rd),https://www.grubhub.com/restaurant/skips-fish--chicken--truxel-rd-3291-truxel-rd-sacramento/7603192
Chili's,https://www.grubhub.com/restaurant/chilis-3870-truxel-rd-sacramento/3323926
Five Guys,https://www.grubhub.com/restaurant/five-guys-768-ikea-ct-west-sacramento/3344719
Popeyes,https://www.grubhub.com/restaurant/popeyes-200-dorset-ct-dixon/7133584
Taco Bell,https://www.grubhub.com/restaurant/taco-bell-425-g-st-davis/1016840
Jersey Mike's,https://www.grubhub.com/restaurant/jersey-mikes-2850-del-paso-rd-sacramento/1223302
Panera Bread,https://www.grubhub.com/restaurant/panera-bread-609-3rd-st-davis/2054645
Applebee's,https://www.grubhub.com/restaurant/applebees-2024-arden-way-sacramento/978186
Marco's Pizza,https://www.grubhub.com/restaurant/marcos-pizza-2230-lake-washington-blvd-west-sacramento/8652352
I Heart Mac & Cheese,https://www.grubhub.com/restaurant/i-heart-mac--cheese-1631-k-st-sacramento/7561296
Tasty Kitchen,https://www.grubhub.com/restaurant/tasty-kitchen-335-f-street-davis/2122900
Wayback Burgers,https://www.grubhub.com/restaurant/wayback-burgers-1351-w-covell-blvd-davis/10283368
Falafel Corner Davis,https://www.grubhub.com/restaurant/falafel-corner-davis-720-2nd-st-davis/6428896
Iron Horse Tavern,https://www.grubhub.com/restaurant/iron-horse-tavern-1800-15th-st-suite-b-ste-b-sacramento/2169432
Vientiane Restaurant,https://www.grubhub.com/restaurant/vientiane-restaurant-1001-jefferson-blvd-west-sacramento/9240360
Pooja Indian Grill,https://www.grubhub.com/restaurant/pooja-indian-grill-1223-merkeley-ave-west-sacramento/6513856
Public House Downtown,https://www.grubhub.com/restaurant/public-house-downtown-1132-16th-street-sacramento/2169327
Salt & Straw Ice Blocks,https://www.grubhub.com/restaurant/salt--straw-ice-blocks-1710-r-st-sacramento/4654080
Lazi Cow,https://www.grubhub.com/restaurant/lazi-cow-407-g-st-ste-4-davis/1097422
CVS,https://www.grubhub.com/restaurant/cvs-1550-e-covell-blvd-davis/7270656
Hunan Style,https://www.grubhub.com/restaurant/hunan-style-630-g-st-davis/9361512
Walgreens,https://www.grubhub.com/restaurant/walgreens-1351-w-capitol-ave-west-sacramento/10054240
Crumbl Cookies,https://www.grubhub.com/restaurant/crumbl-cookies-3661-n-freeway-blvd-sacramento/8570264
Menchie's Frozen Yogurt,https://www.grubhub.com/restaurant/menchies-frozen-yogurt-3230-arena-blvd-sacramento/6039136
Rick's Dessert Diner,https://www.grubhub.com/restaurant/ricks-dessert-diner-2401-j-st-sacramento/5804736
Cajun Feast,https://www.grubhub.com/restaurant/cajun-feast-206-3rd-st-davis/2621120
Manna Restaurant,https://www.grubhub.com/restaurant/manna-restaurant-622-3rd-st-davis/6886096
Hook & Ladder,https://www.grubhub.com/restaurant/hook--ladder-1630-s-st-sacremento/8606192
Thai Farm House,https://www.grubhub.com/restaurant/thai-farm-house-1049-broadway-ste-40-sacramento/994364
Davis Sushi Restaurant,https://www.grubhub.com/restaurant/davis-sushi-restaurant-1260-lake-blvd-unit-103-davis/553901
Red 88 Noodle Bar,https://www.grubhub.com/restaurant/red-88-noodle-bar-223-g-st-davis/1962093
Vegan Deadly Sins,https://www.grubhub.com/restaurant/vegan-deadly-sins-900-15th-st-sacramento/2211476
WeDaShii,https://www.grubhub.com/restaurant/wedashii-1010-18th-st-sacramento/6146872
Pho King 4 ,https://www.grubhub.com/restaurant/pho-king-4-226-3rd-st-davis/5683000
Pho Tasty,https://www.grubhub.com/restaurant/pho-tasty-301-g-st-davis/7443272
Jack's Urban Eats,https://www.grubhub.com/restaurant/jacks-urban-eats-1321-w-covell-blvd-davis/2127430
Tasty Palace Pin Xiang Ge,https://www.grubhub.com/restaurant/tasty-palace-pin-xiang-ge-403-g-street-davis/7579992
Teriyaki Madness,https://www.grubhub.com/restaurant/teriyaki-madness-289-3rd-st-west-sacramento/4976816
Panda Express,https://www.grubhub.com/restaurant/panda-express-1491-w-covell-blvd-davis/1958456
Dah Bao,https://www.grubhub.com/restaurant/dah-bao-2880-5th-street--ste-140-davis/8805848
Chipotle,https://www.grubhub.com/restaurant/chipotle-227-e-st-davis/2125568
Halal Bros,https://www.grubhub.com/restaurant/halal-bros-2917-w-capitol-ave-west-sacramento/2548274
Nami Sushi,https://www.grubhub.com/restaurant/nami-sushi-2880-5th-st-davis/8928272
Sourdough & Co.,https://www.grubhub.com/restaurant/sourdough--co-401-i-st-sacramento/2614594
Calzone  Life,https://www.grubhub.com/restaurant/calzone--life-505-l-st-davis/2856353
Falafel Corner,https://www.grubhub.com/restaurant/falafel-corner-3620-n-freeway-blvd-sacramento/346705
Wayback Burgers,https://www.grubhub.com/restaurant/wayback-burgers-1351-w-covell-blvd-davis/10283368
Pho King 4 ,https://www.grubhub.com/restaurant/pho-king-4-226-3rd-st-davis/5683000
Falafel Corner Davis,https://www.grubhub.com/restaurant/falafel-corner-davis-720-2nd-st-davis/6428896
Pho Tasty,https://www.grubhub.com/restaurant/pho-tasty-301-g-st-davis/7443272
Jack's Urban Eats,https://www.grubhub.com/restaurant/jacks-urban-eats-1321-w-covell-blvd-davis/2127430
Halal Bros,https://www.grubhub.com/restaurant/halal-bros-2917-w-capitol-ave-west-sacramento/2548274
Tasty Kitchen,https://www.grubhub.com/restaurant/tasty-kitchen-335-f-street-davis/2122900
Tasty Palace Pin Xiang Ge,https://www.grubhub.com/restaurant/tasty-palace-pin-xiang-ge-403-g-street-davis/7579992
Teriyaki Madness,https://www.grubhub.com/restaurant/teriyaki-madness-289-3rd-st-west-sacramento/4976816
Panda Express,https://www.grubhub.com/restaurant/panda-express-1491-w-covell-blvd-davis/1958456
Dah Bao,https://www.grubhub.com/restaurant/dah-bao-2880-5th-street--ste-140-davis/8805848
Chipotle,https://www.grubhub.com/restaurant/chipotle-227-e-st-davis/2125568
Taqueria El Burrito 2,https://www.grubhub.com/restaurant/taqueria-el-burrito-2-223-f-st-davis/2038919
Nami Sushi,https://www.grubhub.com/restaurant/nami-sushi-2880-5th-st-davis/8928272
Manna Restaurant,https://www.grubhub.com/restaurant/manna-restaurant-622-3rd-st-davis/6886096
Sourdough & Co.,https://www.grubhub.com/restaurant/sourdough--co-401-i-st-sacramento/2614594
Raising Cane's Chicken Fingers,https://www.grubhub.com/restaurant/raising-canes-chicken-fingers-207-e-street-davis/3128154
Pho Yummy,https://www.grubhub.com/restaurant/pho-yummy-229-g-st-davis/8864304
Thai Farm House,https://www.grubhub.com/restaurant/thai-farm-house-1049-broadway-ste-40-sacramento/994364
The Coconut On T,https://www.grubhub.com/restaurant/the-coconut-on-t-1110-t-st-sacramento/5169040
Round Table Pizza,https://www.grubhub.com/restaurant/round-table-pizza-4551-2nd-st-davis/9271424
Yeti Restaurant,https://www.grubhub.com/restaurant/yeti-restaurant-234-e-st-davis/546471
Kathmandu Kitchen,https://www.grubhub.com/restaurant/kathmandu-kitchen-234-g-st-davis/271817
Five Guys,https://www.grubhub.com/restaurant/five-guys-768-ikea-ct-west-sacramento/3344719
Habit Burger & Grill,https://www.grubhub.com/restaurant/habit-burger--grill-1425-ary-ln-dixon/3361235
Calzone  Life,https://www.grubhub.com/restaurant/calzone--life-505-l-st-davis/2856353
Thai Canteen,https://www.grubhub.com/restaurant/thai-canteen-1501-16th-st-sacramento/550106
Dos Coyotes Border Cafe,https://www.grubhub.com/restaurant/dos-coyotes-border-cafe-2191-cowell-blvd-davis/7745840
Tasty Gourmet,https://www.grubhub.com/restaurant/tasty-gourmet-2880-5th-st-davis/7583696
Popeyes,https://www.grubhub.com/restaurant/popeyes-200-dorset-ct-dixon/7133584
El Patio Fresh Mexican Grill,https://www.grubhub.com/restaurant/el-patio-fresh-mexican-grill-200-e-st-davis/1950144
Capitol gyros,https://www.grubhub.com/restaurant/capitol-gyros-1640-w-capitol-ave-west-sacramento/3197481
Ramen 101 - Midtown,https://www.grubhub.com/restaurant/ramen-101---midtown-1609-16th-st-sacramento/2789227
Good Friends Restaurant,https://www.grubhub.com/restaurant/good-friends-restaurant-2600-gateway-oaks-dr-sacramento/3359690
Bangkok @12 Thai Restaurant,https://www.grubhub.com/restaurant/bangkok-12-thai-restaurant-900-12th-st-sacramento/2066622
Davis Sushi Restaurant,https://www.grubhub.com/restaurant/davis-sushi-restaurant-1260-lake-blvd-unit-103-davis/553901
Iron Horse Tavern,https://www.grubhub.com/restaurant/iron-horse-tavern-1800-15th-st-suite-b-ste-b-sacramento/2169432
Falafel Corner,https://www.grubhub.com/restaurant/falafel-corner-1004-j-st-sacramento/5958720
Ono Hawaiian BBQ ONO-#221,https://www.grubhub.com/restaurant/ono-hawaiian-bbq-ono-221-2800-del-paso-rd-ste-200-sacramento/2119394
Hunan Style,https://www.grubhub.com/restaurant/hunan-style-630-g-st-davis/9361512
Black Bear Diner,https://www.grubhub.com/restaurant/black-bear-diner-255-2nd-st-davis/2469512
Orchid Thai Restaurant & Bar,https://www.grubhub.com/restaurant/orchid-thai-restaurant--bar-1609-16th-st-sacramento/545327
Fanny Ann's Saloon,https://www.grubhub.com/restaurant/fanny-anns-saloon-1023-2nd-street-sacramento/8396640
King's Halal Mediterranean Food,https://www.grubhub.com/restaurant/kings-halal-mediterranean-food-906-j-st-sacramento/5754672
Taco Bell,https://www.grubhub.com/restaurant/taco-bell-425-g-st-davis/1016840
Bruxie,https://www.grubhub.com/restaurant/bruxie-500-1st-street-davis/7933384
Red 88 Noodle Bar,https://www.grubhub.com/restaurant/red-88-noodle-bar-223-g-st-davis/1962093
Jensai Sushi,https://www.grubhub.com/restaurant/jensai-sushi-2210-16th-st-sacramento/425422
Fire Wings ,https://www.grubhub.com/restaurant/fire-wings-640-w-covell-blvd-davis/5451984
Koja Kitchen (Sac),https://www.grubhub.com/restaurant/koja-kitchen-sac-732-k-st-sacramento/2039191
Jersey Mike's,https://www.grubhub.com/restaurant/jersey-mikes-2850-del-paso-rd-sacramento/1223302
Halal Muncheez,https://www.grubhub.com/restaurant/halal-muncheez-907-k-st-sacramento/8775088
Hao Bao Dumplings (K Street Store),https://www.grubhub.com/restaurant/hao-bao-dumplings-k-street-store-1021-k-st-sacramento/2566905
Tandoori Fire,https://www.grubhub.com/restaurant/tandoori-fire-1009-9th-st-sacramento/9787984
Panera Bread,https://www.grubhub.com/restaurant/panera-bread-609-3rd-st-davis/2054645
Vegan Deadly Sins,https://www.grubhub.com/restaurant/vegan-deadly-sins-900-15th-st-sacramento/2211476
Los Inmortales Taqueria,https://www.grubhub.com/restaurant/los-inmortales-taqueria-501-broadway-sacramento/7104192
Hook & Ladder,https://www.grubhub.com/restaurant/hook--ladder-1630-s-st-sacremento/8606192
The Habibi's Grill,https://www.grubhub.com/restaurant/the-habibis-grill-2400-15th-st-sacramento/4124016
Little Caesars Pizza,https://www.grubhub.com/restaurant/little-caesars-pizza-1340-e-covell-blvd-unit-103-davis/5616456
Tasty Dumpling,https://www.grubhub.com/restaurant/tasty-dumpling-3700-crocker-dr-sacramento/2614841
Mountain Mike's Pizza,https://www.grubhub.com/restaurant/mountain-mikes-pizza-1411-w-covell-blvd-davis/5887960
I Heart Mac & Cheese,https://www.grubhub.com/restaurant/i-heart-mac--cheese-1631-k-st-sacramento/7561296
Vientiane Restaurant,https://www.grubhub.com/restaurant/vientiane-restaurant-1001-jefferson-blvd-west-sacramento/9240360
Ming Dynasty,https://www.grubhub.com/restaurant/ming-dynasty-1211-broadway-sacramento/7056768
