Name,Rating,Reviews,Delivery Time
Wingstop,4.6,"1,000+",15 min
Panda Express,4.6,"2,000+",20 min
McDonald's®,4.6,"3,000+",10 min
KFC,4.5,"1,000+",10 min
Taco Bell,4.4,"1,000+",10 min
Nick The Greek,4.7,900+,15 min
Little Caesars,4.6,220+,20 min
Chipotle Mexican Grill,3.4,19,30 min
Kathmandu Kitchen,4.6,900+,20 min
Jack in the Box,4.3,"1,000+",10 min
Burger King,4.6,"1,000+",10 min
Black Bear Diner,4.5,800+,10 min
Blaze Pizza,4.6,800+,15 min
Wayback Burgers,4.6,29,20 min
Insomnia Cookies,4.5,200+,30 min
DAVIS SUSHI RESTAURANT,4.7,600+,30 min
Honey D Cafe,4.9,88,10 min
Pho King 4,4.3,19,10 min
Mr. Pickle's Sandwich Shop,4.8,110+,25 min
Habit Burger & Grill,4.5,310+,30 min
I Love Sushi,4.6,70,15 min
Popeyes,4.2,"1,500+",55 min
Well Season,4.6,400+,15 min
Fire Wings,4.5,600+,15 min
Pho Tasty,4.2,79,15 min
Preethi Indian Cuisine,4.3,280+,20 min
Pizza Guys,4.6,260+,15 min
Woodstock's Pizza,4.5,700+,25 min
Shah's Halal Food,4.4,50,10 min
T-kumi Ramen & Rice Bowl,4.7,600+,20 min
Bombay Bar & Grill,4.7,"3,000+",45 min
Shake Shack,4.6,"4,000+",35 min
Papa Johns Pizza,4.4,700+,45 min
Red 88 Noodle Bar,4.5,600+,15 min
Safeway,4.8,600+,30 min
Ume Tea,4.6,160+,10 min
Golden Dragon Chinese Restaurant,4.5,"2,000+",40 min
Hao Bao Dumplings K Street Store,4.6,410+,45 min
Tuk Tuk Thai Street Food,4.4,27,50 min
Buffalo Wild Wings,4.2,"1,000+",65 min
Carl's Jr.,4.7,280+,10 min
Baskin-Robbins,4.5,210+,10 min
Sonic Drive-In,4.3,320+,25 min
Banzai Sushi,4.7,800+,45 min
Wendy's,3.9,390+,40 min
The Boiling Crab,4.2,"1,000+",55 min
Jersey Mike's,4.7,220+,50 min
Subway,4.6,100+,15 min
Mountain Mike's Pizza,4.8,500+,15 min
Taqueria Ay Jalisco,4.7,"3,000+",30 min
Chando's Tacos,4.4,430+,35 min
Bento Box,4.7,"2,000+",50 min
Applebee's,4.3,440+,45 min
Thai Basil Restaurant,4.6,500+,50 min
Doggeros,4.7,230+,35 min
Five Guys,4.6,500+,30 min
L&L Hawaiian Barbecue,4.8,500+,40 min
AGGIE LIQUORS,4.3,53,10 min
Jack's Urban Eats- Davis,4.7,500+,10 min
Skip's Fish & Chicken,4.1,18,50 min
Orchid Thai Restaurant & Bar,4.6,"2,000+",45 min
Teaspoon,4.7,190+,30 min
Anthony's Italian Cuisine,4.7,800+,65 min
Aloha Poke & Ramen,4.8,"1,000+",35 min
Mendocino Farms,4.8,"4,000+",55 min
Kiki's Chicken Place,4.4,"2,000+",35 min
Lazi Cow,4.8,220+,10 min
Arby's,4.4,600+,45 min
El Pollo Loco,4.7,300+,55 min
IHOP,4.6,500+,20 min
Koshi Ramen Bar,4.8,"1,000+",35 min
Jack's Urban Eats,4.6,"2,000+",40 min
Panera,4.6,800+,60 min
Ono Hawaiian BBQ,4.7,800+,45 min
Giovanni's Old World New York Pizzeria,4.6,480+,45 min
Ike’s Love & Sandwiches,4.8,500+,15 min
Petra Greek,4.7,"3,000+",40 min
Dos Coyotes Border Cafe,4.7,410+,35 min
Shanghai Garden,4.6,"1,000+",45 min
Buffalo Wild Wings GO,4.4,66,45 min
Sushi Hook,4.4,400+,80 min
Pizza Hut,4.4,500+,55 min
New Station Restaurant,4.5,"1,500+",45 min
Dumpling & Tea House,4.7,460+,45 min
La Fiesta Taqueria,4.7,900+,40 min
Smashburger,4.3,500+,55 min
Manchurian Indian Cuisine,4.3,280+,45 min
Red Robin Gourmet Burgers,4.3,430+,45 min
Sizzler,4.1,320+,60 min
A-1 Mart Food & Liquor,4.8,"1,000+",25 min
Firehouse Subs,4.8,"1,000+",40 min
Delish Pizza,4.7,900+,45 min
Sawasdee Thai Cuisine,4.6,"1,000+",45 min
Calzone Life,4.7,120+,10 min
Kyoto Sushi Bar Grill & Ramen,4.7,"1,000+",50 min
Fixins Soul Kitchen,4.2,140+,50 min
Thai Canteen,4.7,"2,000+",45 min
Bros Liquor,4.9,230+,35 min
The Old Spaghetti Factory,4.4,"1,500+",50 min
Chita's,4.6,"2,000+",35 min
Dragon Palace Chinese Restaurant,4.5,470+,55 min
7-Eleven,4.7,800+,10 min
Buckhorn BBQ & Grill,4.4,180+,45 min
It's Just Wings,4.5,100+,50 min
Vegan Deadly Sins,4.8,"1,500+",40 min
Ruchi Indian Cuisine,4.3,240+,50 min
Denny's,4.3,230+,40 min
BJ's Restaurant & Brewhouse,4.2,"1,500+",55 min
Burgers and Brew,4.7,"1,500+",45 min
California Burrito,4.6,900+,35 min
Ramen 101,4.5,600+,40 min
Chili's Grill & Bar,4.4,150+,50 min
Burger Lounge,4.4,700+,40 min
Tandoori Fire,4.2,16,45 min
Thai Spoon,4.7,60,45 min
Pho Viet 2,4.6,"1,000+",50 min
Teabo Cafe,4.7,240+,15 min
Sushi Elite,4.6,380+,70 min
The Original Mels,4.6,350+,65 min
3 Hermanas,4.5,120+,40 min
La Venadita,4.8,300+,50 min
Slo Roast,4.3,47,55 min
Sushi Cafe,4.7,"1,000+",70 min
Caribbean Fire Grill,4.4,56,55 min
The Meltdown,3.9,30,40 min
Firehouse Crawfish,4.4,42,50 min
El Favorito Taqueria,4.4,900+,55 min
Del Taco,4.3,600+,30 min
Crumbl,4.4,58,25 min
Luigi's Pizza Parlor,4.6,340+,70 min
Marco's Pizza,5.0,14,40 min
Journey to the Dumpling,4.3,18,45 min
Capitol Gyros,4.7,500+,30 min
Midtown Taqueria,4.4,"1,000+",40 min
GK Mongolian BBQ,4.7,27,70 min
Yi Long Dumpling,4.4,23,50 min
Raku Sushi,4.6,420+,40 min
Nation's Giant Hamburgers,4.4,900+,40 min
Iron Horse Tavern,4.6,"1,500+",40 min
Teriyaki Madness,4.5,210+,45 min
Pupusa Central,4.6,18,50 min
Beach Hut Deli,4.8,37,50 min
Il Fornaio,4.6,360+,50 min
Caballo Blanco Restaurante,4.7,150+,50 min
MOD Pizza,4.5,160+,40 min
Ju Hachi Japanese Cuisine,4.6,390+,55 min
Ben's Fast Food,4.6,150+,45 min
burger Hub,5.0,33,45 min
Cold Stone Creamery,4.9,44,40 min
Maydoon Restaurant,4.9,500+,55 min
Delhi Oven,4.6,390+,45 min
Viet Ha Noodles & Grill,4.9,15,45 min
Mr. Crab,3.9,150+,50 min
T4,4.7,800+,40 min
Oishii Teriyaki #1,4.5,310+,25 min
CVS,4.9,130+,10 min
Barwest Midtown,4.9,14,45 min
Bangkok City Thai Cuisine,4.3,320+,50 min
Chada Thai,4.5,500+,40 min
I Love Teriyaki,4.7,"1,000+",40 min
Mas Taco Bar,4.6,300+,35 min
Public House Downtown,4.6,170+,40 min
Total Wine & More,4.8,600+,55 min
Bangkok at 12 Thai Restaurant,4.0,21,50 min
Donatos Pizza,4.2,36,35 min
Koja Kitchen,4.6,400+,50 min
Starbucks,4.7,800+,10 min
Chevys,4.1,490+,50 min
Plant Power Fast Food,4.6,600+,35 min
Burger Patch,4.6,"1,000+",40 min
Jamba Juice,4.5,100+,10 min
Roberta's Cocina Mexicana,4.6,290+,50 min
New York Pizza & Plus,4.6,270+,45 min
Bober Tea & Coffee,4.5,240+,35 min
"Stirred, Not Shaken",4.4,65,40 min
El Burrito Taqueria,4.5,600+,55 min
Joe's Crab Shack,3.8,250+,50 min
Lotus Fusion,4.5,420+,40 min
Asian n' Cajun,4.2,94,40 min
Pizza Twist,3.4,12,60 min
Wienerschnitzel,4.7,35,25 min
i Shanghai Delight,4.9,19,65 min
Morton's The Steakhouse,4.1,130+,65 min
Miso Japanese Cuisine,4.6,410+,55 min
Hawaiian Poke,4.7,120+,30 min
Jimboy's Tacos,4.2,110+,35 min
Tacoa Tacos Y Tequila,4.5,70,40 min
T% midtown,4.8,250+,35 min
Casa Jalisco,4.6,17,50 min
BevMo!,4.8,"3,000+",40 min
E Ka Tea,4.5,150+,40 min
TOGO'S,4.8,200+,20 min
Sacramento Natural Foods Co-Op,4.8,310+,50 min
Pressed Acai Bowls,4.8,76,35 min
Pinkberry,4.9,53,40 min
The Burger Den,4.1,53,40 min
Saucey,4.8,20,50 min
Chicken 'n' Waffles,4.1,600+,50 min
Giant Pizza,4.6,180+,40 min
Foundation Restaurant & Bar,4.6,190+,55 min
Menchie's,4.9,11,40 min
Yogurtagogo,4.4,160+,35 min
Panaderia Los Arcos,4.2,140+,50 min
T & R Taste Of Texas Barbeque,4.5,290+,45 min
Las Milpas Taqueria,4.7,210+,30 min
Deluna Dessert Cafe,4.8,45,35 min
Macau Cafe,4.6,160+,50 min
Falafel Corner,4.7,450+,50 min
Wild Burger,4.1,73,50 min
Pita Pit,4.6,100+,45 min
ampm,4.7,18,30 min
Speedway,4.9,18,50 min
524 Mexican Restaurant Northgate Blvd,3.9,110+,55 min
Lowe's,4.9,18,50 min
Mexican Omelette Bar,4.5,40,40 min
