Restaurant Name,Item Name,Quantity,Price,Subtotal,Delivery Fee,Taxes & Other Fees,Total
Burger King,Original Chicken Sandwich,1,$8.05,$26.22,$1.99,$8.63,$36.84
Burger King,French Fries,1,$5.19,$26.22,$1.99,$8.63,$36.84
Burger King,Whopper,1,$9.09,$26.22,$1.99,$8.63,$36.84
Burger King,Coca-Cola,1,$3.89,$26.22,$1.99,$8.63,$36.84
IHOP,Cinnamon Dippers,1,$6.61,$27.71,$10.99,$9.00,$47.70
IHOP,New Caramel Apple Lemonade,1,$5.74,$27.71,$10.99,$9.00,$47.70
IHOP,Original Buttermilk Pancakes - (Full Stack),1,$15.36,$27.71,$10.99,$9.00,$47.70
Insomnia Cookies,Deluxe 4-pack,1,$24.75,$33.50,$3.99,$5.70,$43.19
Insomnia Cookies,Ice Cream in a Cup,1,$8.75,$33.50,$3.99,$5.70,$43.19
KFC,8 pc. Chicken Only,1,$29.51,$40.53,$1.49,$11.92,$53.94
KFC,Spicy Chicken Sandwich,1,$6.59,$40.53,$1.49,$11.92,$53.94
KFC,Pepsi,1,$4.43,$40.53,$1.49,$11.92,$53.94
McDonald's,Medium French Fries,1,$5.69,$24.76,$3.49,$8.04,$36.29
McDonald's,10 pc. Chicken McNuggets®,1,$7.59,$24.76,$3.49,$8.04,$36.29
McDonald's,Medium Iced Coffee,1,$2.99,$24.76,$3.49,$8.04,$36.29
McDonald's,Big Mac®,1,$8.49,$24.76,$3.49,$8.04,$36.29
Panda Express,Plate,1,$12.50,$37.65,$2.99,$11.52,$52.16
Panda Express,Bowl,1,$10.70,$37.65,$2.99,$11.52,$52.16
Panda Express,Honey Sesame Chicken Breast,1,$6.50,$37.65,$2.99,$11.52,$52.16
Panda Express,Super Greens,1,$5.55,$37.65,$2.99,$11.52,$52.16
Panda Express,Veggie Spring Roll,1,$2.40,$37.65,$2.99,$11.52,$52.16
Starbucks,Caffè Latte,1,$5.55,$29.90,$1.99,$8.04,$39.93
Starbucks,Cappuccino,1,$5.55,$29.90,$1.99,$8.04,$39.93
Starbucks,Caramel Macchiato,1,$6.15,$29.90,$1.99,$8.04,$39.93
Starbucks,Chocolate Cake Pop,1,$4.55,$29.90,$1.99,$8.04,$39.93
Starbucks,Double Chocolate Brownie,1,$4.55,$29.90,$1.99,$8.04,$39.93
Starbucks,Hot Chocolate,1,$3.55,$29.90,$1.99,$8.04,$39.93
Subway,Pepsi®,1,$3.90,$25.60,$5.49,$8.47,$39.56
Subway,Double Chocolate,1,$1.90,$25.60,$5.49,$8.47,$39.56
Subway,Steak & Cheese,1,$9.90,$25.60,$5.49,$8.47,$39.56
Subway,Grilled Chicken,1,$9.90,$25.60,$5.49,$8.47,$39.56
Taco Bell,Crunchwrap Supreme®,1,$8.77,$23.13,$9.99,$7.59,$40.71
Taco Bell,Grilled Cheese Burrito,1,$7.31,$23.13,$9.99,$7.59,$40.71
Taco Bell,MTN DEW® Baja Blast®,1,$3.40,$23.13,$9.99,$7.59,$40.71
Taco Bell,Cinnabon Delights® 2 Pack,1,$3.65,$23.13,$9.99,$7.59,$40.71
Wendy's,Parmesan Caesar Salad,1,$12.55,$33.01,$14.49,$10.34,$57.84
Wendy's,French Fries,1,$4.50,$33.01,$14.49,$10.34,$57.84
Wendy's,Dave's Double®,1,$10.85,$33.01,$14.49,$10.34,$57.84
Wendy's,6 PC. Spicy Chicken Nuggets,1,$5.11,$33.01,$14.49,$10.34,$57.84
