Name,Cuisine
Wingstop,"Wings, Chicken, American, Fried, Chicken, Fried, Chicken"
Panda Express,"Chinese, Asian, Group, Friendly"
McDonald's®,"American, Burgers, Fast, Food"
KFC,"American, Fast, Food, wings, Family, Meals, Fried, Chicken, Chicken"
Taco Bell,"Mexican, Burritos, Fast, Food, Tacos, Breakfast, and, Brunch"
Nick The Greek,"Greek, Mediterranean, Wraps"
Little Caesars,"Pizza, American, Italian, Comfort, Food, Fast, Food"
Chipotle Mexican Grill,"Healthy, Mexican, New, Mexican"
Kathmandu Kitchen,"Indian, Vegetarian, Asian, Healthy, Family, Friendly, Group, Friendly, Alcohol"
Jack in the Box,"American, burger, Fast, Food"
Burger King,"American, burger, Fast, Food, Family, Meals"
Black Bear Diner,"American, Burgers, Comfort, Food, Family, Meals"
Blaze Pizza,"Pizza, American, Keto, Plant, Based"
Wayback Burgers,"Burgers, American, Sandwich, Salads"
Insomnia Cookies,"Bakery, Desserts, Comfort, Food"
DAVIS SUSHI RESTAURANT,"Japanese, Sushi, Family, Friendly"
Honey D Cafe,"Comfort, Food, American, Burgers"
Pho King 4,"Vietnamese, Noodles, Plant, Based"
Mr. Pickle's Sandwich Shop,"Sandwich, Cafe, Deli, Vegetarian, Salads, American, Healthy, Salads, Comfort, Food, Kids, Friendly"
Habit Burger & Grill,"American, Burgers, BBQ, Family, Meals"
I Love Sushi,"Japanese, Sushi, Asian"
Popeyes,"American, Chicken, Fried, Chicken, Fast, Food, Wings"
Well Season,"Desserts, Dim, Sum, Chicken, Group, Friendly"
Fire Wings,"Wings, American, Fast, Food, Group, Friendly"
Pho Tasty,"Vietnamese, Pho, Asian"
Preethi Indian Cuisine,"Indian, Vegetarian, Friendly, Vegan, Friendly, Asian"
Pizza Guys,Pizza
Woodstock's Pizza,"Pizza, Gluten, Free, Vegetarian, Salads, Sandwich, Vegan, Comfort, Food, Family, Meals"
Shah's Halal Food,"Middle, Eastern, Chicken, Halal"
T-kumi Ramen & Rice Bowl,"Asian, Fusion, Asian, Korean"
Bombay Bar & Grill,"Indian, Family, Friendly, Group, Friendly"
Shake Shack,"American, Chicken, Burgers, Group, Friendly, Ice, Cream, Desserts"
Papa Johns Pizza,"American, Chicken, Comfort, Food, Desserts, Family, Friendly, Fast, Food, Italian, Pizza, Sandwich, Wings"
Red 88 Noodle Bar,"Noodles, Asian, Alcohol"
Safeway,"Grocery, Everyday, Essentials, Flowers, Pet, Supplies, Baby, pet, supplies"
Ume Tea,"Bubble, Tea, Drinks, Asian"
Golden Dragon Chinese Restaurant,"Chinese, Asian, Family, Meals, Group, Friendly"
Hao Bao Dumplings K Street Store,"Chinese, Asian"
Tuk Tuk Thai Street Food,"Thai, Asian, Noodles, American, Fast, Food"
Buffalo Wild Wings,"wings, Chicken, American, Chicken, Burgers, Wings"
Carl's Jr.,"Fast, Food, Burgers, Salads, Burritos, American, Healthy"
Baskin-Robbins,"Desserts, Ice, Cream, and, Frozen, Yogurt, Comfort, Food"
