Restaurant Name,Item Name,Quantity,Price,Subtotal,Delivery Fee,Taxes & Other Fees,Total
Burger King,Original Chicken Sandwich,1,$6.09,$21.16,$0.49,$5.49,$27.14
Burger King,French Fries,1,$3.99,$21.16,$0.49,$5.49,$27.14
Burger King,Whopper,1,$7.29,$21.16,$0.49,$5.49,$27.14
Burger King,Coca-Cola,1,$3.79,$21.16,$0.49,$5.49,$27.14
IHOP,Cinnamon Dippers,1,$8.74,$29.34,$7.56,Not Found,$36.90
IHOP,New Caramel Apple Lemonade,1,$6.24,$29.34,$7.56,Not Found,$36.90
IHOP,Original Buttermilk Pancakes - (Full Stack),1,$14.36,$29.34,$7.56,Not Found,$36.90
Insomnia Cookies,Deluxe 4-pack,1,$20.50,$28.00,$3.99,$4.86,$36.85
Insomnia Cookies,Ice Cream in a Cup,1,$7.50,$28.00,$3.99,$4.86,$36.85
KFC,8 pc. Chicken Only,1,$23.99,$34.41,$1.49,$8.98,$44.88
KFC,Spicy Chicken Sandwich,1,$7.19,$34.41,$1.49,$8.98,$44.88
KFC,Pepsi,1,$3.23,$34.41,$1.49,$8.98,$44.88
McDonald's,Medium French Fries,1,$4.79,$20.16,$1.49,$5.31,$26.96
McDonald's,10 pc. Chicken McNuggets®,1,$6.29,$20.16,$1.49,$5.31,$26.96
McDonald's,Medium Iced Coffee,1,$2.89,$20.16,$1.49,$5.31,$26.96
McDonald's,Big Mac®,1,$6.19,$20.16,$1.49,$5.31,$26.96
Panda Express,Plate,1,$12.00,$36.65,$2.49,$9.63,$48.77
Panda Express,Bowl,1,$10.20,$36.65,$2.49,$9.63,$48.77
Panda Express,Honey Sesame Chicken Breast,1,$6.50,$36.65,$2.49,$9.63,$48.77
Panda Express,Super Greens,1,$5.55,$36.65,$2.49,$9.63,$48.77
Panda Express,Veggie Spring Roll,1,$2.40,$36.65,$2.49,$9.63,$48.77
Starbucks,Caffè Latte,1,$5.25,$28.10,$0.99,$7.32,$36.41
Starbucks,Cappuccino,1,$5.25,$28.10,$0.99,$7.32,$36.41
Starbucks,Caramel Macchiato,1,$6.15,$28.10,$0.99,$7.32,$36.41
Starbucks,Chocolate Cake Pop,1,$3.95,$28.10,$0.99,$7.32,$36.41
Starbucks,Double Chocolate Brownie,1,$4.55,$28.10,$0.99,$7.32,$36.41
Starbucks,Hot Chocolate,1,$2.95,$28.10,$0.99,$7.32,$36.41
Subway,Pepsi®,1,$3.79,$20.56,$1.49,$5.42,$27.47
Subway,Double Chocolate,1,$1.19,$20.56,$1.49,$5.42,$27.47
Subway,Steak & Cheese,1,$7.79,$20.56,$1.49,$5.42,$27.47
Subway,Grilled Chicken,1,$7.79,$20.56,$1.49,$5.42,$27.47
Taco Bell,Crunchwrap Supreme®,1,$7.31,$20.21,$1.99,$5.36,$27.56
Taco Bell,Grilled Cheese Burrito,1,$6.82,$20.21,$1.99,$5.36,$27.56
Taco Bell,MTN DEW® Baja Blast®,1,$3.04,$20.21,$1.99,$5.36,$27.56
Taco Bell,Cinnabon Delights® 2 Pack,1,$3.04,$20.21,$1.99,$5.36,$27.56
Wendy's,Parmesan Caesar Salad,1,$10.72,$26.78,$2.49,$7.09,$36.36
Wendy's,French Fries,1,$3.40,$26.78,$2.49,$7.09,$36.36
Wendy's,Dave's Double®,1,$8.77,$26.78,$2.49,$7.09,$36.36
Wendy's,6 PC. Spicy Chicken Nuggets,1,$3.89,$26.78,$2.49,$7.09,$36.36
