Restaurant Name,Item Name,Quantity,Price,Subtotal,Delivery Fee,Taxes & Other Fees,Total
Burger King,Original Chicken Sandwich,1,$9.19,$28.16,$3.49,$8.70,$40.35
Burger King,French Fries,1,$5.49,$28.16,$3.49,$8.70,$40.35
Burger King,Whopper,1,$9.49,$28.16,$3.49,$8.70,$40.35
Burger King,Coca-Cola,1,$3.99,$28.16,$3.49,$8.70,$40.35
IHOP,Cinnamon Dippers,1,$9.99,$35.34,$0.49,$10.91,$46.74
IHOP,New Caramel Apple Lemonade,1,$7.86,$35.34,$0.49,$10.91,$46.74
IHOP,Original Buttermilk Pancakes - (Full Stack),1,$17.49,$35.34,$0.49,$10.91,$46.74
Insomnia Cookies,Deluxe 4-pack,1,$23.25,$31.50,$3.99,$5.15,$40.64
Insomnia Cookies,Ice Cream in a Cup,1,$8.25,$31.50,$3.99,$5.15,$40.64
KFC,8 pc. Chicken Only,1,$26.63,$36.81,$4.49,$11.37,$52.67
KFC,Spicy Chicken Sandwich,1,$6.59,$36.81,$4.49,$11.37,$52.67
KFC,Pepsi,1,$3.59,$36.81,$4.49,$11.37,$52.67
McDonald's,Medium French Fries,1,$5.19,$26.66,$2.99,$8.24,$37.89
McDonald's,10 pc. Chicken McNuggets®,1,$8.19,$26.66,$2.99,$8.24,$37.89
McDonald's,Medium Iced Coffee,1,$4.69,$26.66,$2.99,$8.24,$37.89
McDonald's,Big Mac®,1,$8.59,$26.66,$2.99,$8.24,$37.89
Panda Express,Plate,1,$14.90,$42.45,$1.99,$13.11,$57.55
Panda Express,Bowl,1,$13.10,$42.45,$1.99,$13.11,$57.55
Panda Express,Honey Sesame Chicken Breast,1,$6.50,$42.45,$1.99,$13.11,$57.55
Panda Express,Super Greens,1,$5.55,$42.45,$1.99,$13.11,$57.55
Panda Express,Veggie Spring Roll,1,$2.40,$42.45,$1.99,$13.11,$57.55
Starbucks,Caffè Latte,1,$6.15,$27.75,$2.99,$8.17,$38.91
Starbucks,Cappuccino,1,$6.15,$27.75,$2.99,$8.17,$38.91
Starbucks,Caramel Macchiato,1,$6.75,$27.75,$2.99,$8.17,$38.91
Starbucks,Chocolate Cake Pop,1,$4.55,$27.75,$2.99,$8.17,$38.91
Starbucks,Hot Chocolate,1,$4.15,$27.75,$2.99,$8.17,$38.91
Subway,Pepsi®,1,$2.89,$23.86,$1.99,$7.37,$33.22
Subway,Double Chocolate,1,$1.19,$23.86,$1.99,$7.37,$33.22
Subway,Steak & Cheese,1,$9.89,$23.86,$1.99,$7.37,$33.22
Subway,Grilled Chicken,1,$9.89,$23.86,$1.99,$7.37,$33.22
Taco Bell,Crunchwrap Supreme®,1,$8.53,$23.14,$3.49,$7.14,$33.77
Taco Bell,Grilled Cheese Burrito,1,$7.31,$23.14,$3.49,$7.14,$33.77
Taco Bell,MTN DEW® Baja Blast®,1,$3.65,$23.14,$3.49,$7.14,$33.77
Taco Bell,Cinnabon Delights® 2 Pack,1,$3.65,$23.14,$3.49,$7.14,$33.77
Wendy's,Parmesan Caesar Salad,1,$10.36,$28.01,$6.49,$8.65,$43.15
Wendy's,French Fries,1,$3.89,$28.01,$6.49,$8.65,$43.15
Wendy's,Dave's Double®,1,$9.75,$28.01,$6.49,$8.65,$43.15
Wendy's,6 PC. Spicy Chicken Nuggets,1,$4.01,$28.01,$6.49,$8.65,$43.15
