Name,URL
Wingstop,https://www.ubereats.com/store/wingstop-408-g-st/-IdVeAYCWoKKF3hrhyqSMA?diningMode=DELIVERY
Panda Express,https://www.ubereats.com/store/panda-express-1491-west-covell-blvd/kcyWG5ueS4ySMlIbLYIQ8A?diningMode=DELIVERY
McDonald's®,https://www.ubereats.com/store/mcdonalds-4444-chiles-rd/-pfmPBk5RtihdWzdVtpJHQ?diningMode=DELIVERY
KFC,https://www.ubereats.com/store/kfc-1617-research-park-dr/FhFHPDj_RJ2asVKe0SUCTg?diningMode=DELIVERY
Taco Bell,https://www.ubereats.com/store/taco-bell-425-g-street/g-MxnG4rRHGcvAHogABY6w?diningMode=DELIVERY
Nick The Greek,https://www.ubereats.com/store/nick-the-greek-davis/ZSsOAbIjW5CyQD2GK3pIiA?diningMode=DELIVERY
Little Caesars,https://www.ubereats.com/store/little-caesars-1340-e-covell-blvd/B4jxqhY_WWmv4TPIrJQg6w?diningMode=DELIVERY
Chipotle Mexican Grill,https://www.ubereats.com/store/chipotle-mexican-grill-1460-east-main/riCK4wsyWtmIaqagFO6zeQ?diningMode=DELIVERY
Kathmandu Kitchen,https://www.ubereats.com/store/kathmandu-kitchen/L_jIgaFlR9yLqqf9ByICnQ?diningMode=DELIVERY
Jack in the Box,https://www.ubereats.com/store/jack-in-the-box-337-g-st/5wDOahmqTgmYvrHS9i46OA?diningMode=DELIVERY
Burger King,https://www.ubereats.com/store/burger-king-2026-lyndell-ter/GKCeHuv6RG-YzZbgTJ68LA?diningMode=DELIVERY
Black Bear Diner,https://www.ubereats.com/store/black-bear-diner-255-second-street/_KK0zie3RFWUIpFi8kOeqA?diningMode=DELIVERY
Blaze Pizza,https://www.ubereats.com/store/blaze-pizza-212-f-street/cVcZGujdQWGQGxJy_HZDsA?diningMode=DELIVERY
Wayback Burgers,https://www.ubereats.com/store/wayback-burgers-1351-w-covell-blvd/4xS4nrutVi6HXa2tQHzMdA?diningMode=DELIVERY
Insomnia Cookies,https://www.ubereats.com/store/insomnia-cookies-202-e-street/tKEZBYfKXLqxv6_DPhV8nQ?diningMode=DELIVERY
DAVIS SUSHI RESTAURANT,https://www.ubereats.com/store/davis-sushi-restaurant/Sg2tZke8QQ2BHeEfr3VLhA?diningMode=DELIVERY
Honey D Cafe,https://www.ubereats.com/store/honey-d-cafe/xm3DkVg6X-asAjql5u74SA?diningMode=DELIVERY
Pho King 4,https://www.ubereats.com/store/pho-king-4-davis/tzDbA06lUw6EJEkSNNuGZg?diningMode=DELIVERY
Mr. Pickle's Sandwich Shop,https://www.ubereats.com/store/mr-pickles-sandwich-shop-davis/uYy7_lKcUjmkE3ayg6gq0w?diningMode=DELIVERY
Habit Burger & Grill,https://www.ubereats.com/store/habit-burger-%26-grill-1368-e-main-st/4OMFMTTFR-2wOhQCdOV3JQ?diningMode=DELIVERY
I Love Sushi,https://www.ubereats.com/store/i-love-sushi/1RkONuwxXtCrdy4Qr5AjcA?diningMode=DELIVERY
Popeyes,https://www.ubereats.com/store/popeyes-1500-w-el-camino-ave/GpafLavQTge8jspu2LzZsw?diningMode=DELIVERY
Well Season,https://www.ubereats.com/store/well-season/s9-5ua-4T2a_7bol1zh59w?diningMode=DELIVERY
Fire Wings,https://www.ubereats.com/store/fire-wings-davis/Dn3gowboRUyicvXy6mjPYQ?diningMode=DELIVERY
Pho Tasty,https://www.ubereats.com/store/pho-tasty-davis/v_EX5t1MW9WD2a0G-5NgZQ?diningMode=DELIVERY
Preethi Indian Cuisine,https://www.ubereats.com/store/preethi-indian-cuisine/xPjlQ0mjTBuHR3Uel-t0lA?diningMode=DELIVERY
Pizza Guys,https://www.ubereats.com/store/pizza-guys-davis/l4lcdceMQF6iUSWZiJPlfg?diningMode=DELIVERY
Woodstock's Pizza,https://www.ubereats.com/store/woodstocks-pizza-davis/HANgeSMsQNOhKEKuv7uEdg?diningMode=DELIVERY
Shah's Halal Food,https://www.ubereats.com/store/shahs-halal-food/CtLTImY2Wm6BEqumR91eMQ?diningMode=DELIVERY
T-kumi Ramen & Rice Bowl,https://www.ubereats.com/store/t-kumi-ramen-%26-rice-bowl/G7jnzLeyRAuc0-3_kbjPvw?diningMode=DELIVERY
Bombay Bar & Grill,https://www.ubereats.com/store/bombay-bar-%26-grill/cCWxsN5oSlG89oCe30Ms6w?diningMode=DELIVERY
Shake Shack,https://www.ubereats.com/store/shake-shack-ice-blocks/lgcj1NezSoyoTi1VeMUt4g?diningMode=DELIVERY
Papa Johns Pizza,https://www.ubereats.com/store/papa-johns-pizza-2580-arena-blvd-b120natomas-landing-shopping-ctr/s0MrZp9_Rf6SeunFoVBh5Q?diningMode=DELIVERY
Red 88 Noodle Bar,https://www.ubereats.com/store/red-88-noodle-bar/LhZqHHqBT4e-JoroQRcAPQ?diningMode=DELIVERY
Safeway,https://www.ubereats.com/store/safeway-2121-cowell-blvd/1u7dTV9MXhSiqw_Ftm73nw?diningMode=DELIVERY
Ume Tea,https://www.ubereats.com/store/ume-tea-davis/06nU8WjLUjaq2cRAI4fwuQ?diningMode=DELIVERY
Golden Dragon Chinese Restaurant,https://www.ubereats.com/store/golden-dragon-chinese-restaurant-sacramento/pLaB4WwYQ8KDMZotZdCDzw?diningMode=DELIVERY
Hao Bao Dumplings K Street Store,https://www.ubereats.com/store/hao-bao-dumplings-k-street-store/ByfEanS5RFuUgpHNyr41Wg?diningMode=DELIVERY
Tuk Tuk Thai Street Food,https://www.ubereats.com/store/tuk-tuk-thai-street-food-freeport-blvd/oeAmkTVgXLGqqx5t3zkrIg?diningMode=DELIVERY
Buffalo Wild Wings,https://www.ubereats.com/store/buffalo-wild-wings-3600-n-freeway-blvd-ste-100/A0dtH8k_SZm0XamNBbS-AA?diningMode=DELIVERY
Carl's Jr.,https://www.ubereats.com/store/carls-jr-1701-cowell-blvd/-TsSBUPCRoiN2p6glmjxbg?diningMode=DELIVERY
Baskin-Robbins,https://www.ubereats.com/store/baskin-robbins-236-e-st/uZHejcKgRuG-itdXlRZOHQ?diningMode=DELIVERY
Pho Yummy,https://www.ubereats.com/store/pho-yummy-g-st/-5EKQY64VsSoS1F-7sfAVA?diningMode=DELIVERY
Sonic Drive-In,https://www.ubereats.com/store/sonic-drive-in-1580-e-main-st/oRuQ8KQZQgCr6_GHrQDU3g?diningMode=DELIVERY
Banzai Sushi,https://www.ubereats.com/store/banzai-sushi/YdetQTLkTwehGi1mapLviw?diningMode=DELIVERY
Wendy's,https://www.ubereats.com/store/wendys-2360-arena-blvd/TprJf1xoXISItu-94nIQSg?diningMode=DELIVERY
The Boiling Crab,https://www.ubereats.com/store/the-boiling-crab-k-st/CiZsMj7HSDq6ZqgQttYD0w?diningMode=DELIVERY
Jersey Mike's,https://www.ubereats.com/store/jersey-mikes-2000-e-main-st/yOba_zZmQkCthsKfm88ttg?diningMode=DELIVERY
Subway,https://www.ubereats.com/store/subway-1300-e-covell-blvd/tj4NJbxGRBCjYgWVqqRs4A?diningMode=DELIVERY
Mountain Mike's Pizza,https://www.ubereats.com/store/mountain-mikes-pizza-1411-w-covell-blvd-ste-111/_dpB7OXLT-eqgbpZObz52A?diningMode=DELIVERY
Taqueria Ay Jalisco,https://www.ubereats.com/store/taqueria-ay-jalisco/3GYsZOmJQwyKiL_qSlz8Ew?diningMode=DELIVERY
