Item Name,Price,Time of Day
•,$,afternoon
"212 F St, Davis, CA 95616",$0 delivery fee,afternoon
111. MENAGE A TROIS,$17.85,afternoon
18. MATT CAIN,$17.85,afternoon
98. JAYMEE SIREWICH,$16.25,afternoon
65. JIM ROME,$17.85,afternoon
2. HOLLYWOULD'S SF CHEESESTEAK,$17.85,afternoon
99. WE'RE JUST FRIENDS,$17.85,afternoon
MIX & MATCH COMBO,$5.65,afternoon
61. SOMETIMES I'M A VEGETARIAN,$16.25,afternoon
219. FALL'ING FOR IKE'S,$17.85,afternoon
VEGAN Chicken'N NUGGETS,$7.55,afternoon
6262. LOGAN WEBB,$20.65,afternoon
895. CLUELESS,$16.25,afternoon
201. ADAM RICHMAN,$20.65,afternoon
840. MILLENIAL FALCONS,$17.85,afternoon
118. DA VINCI,$17.85,afternoon
6. HOT MOMMA HUDA,$16.25,afternoon
600. VEGAN PERSEPHONE,$19.45,afternoon
34. HUNTER PENCE,$20.65,afternoon
957. THE DAMON BRUCE,$20.65,afternoon
2929. J MAC,$19.45,afternoon
111. MENAGE A TROIS,$17.85,afternoon
1515. THE GULLIVER,$19.45,afternoon
VEGANUARY,$17.85,afternoon
"1999. HEY NOW, YOU'RE AN ALL-STAR",$20.65,afternoon
2929. J MAC,$19.45,afternoon
2802. MITCH THE ROCK RICHMOND,$20.65,afternoon
262. MARSHALL'S CAJUN CLUB,$19.45,afternoon
5577. JEFF GARCIA,$20.65,afternoon
111. MENAGE A TROIS,$17.85,afternoon
98. JAYMEE SIREWICH,$16.25,afternoon
2. HOLLYWOULD'S SF CHEESESTEAK,$17.85,afternoon
240. MADISON BUMGARNER,$19.45,afternoon
422. BEAST MODE,$19.45,afternoon
65. JIM ROME,$17.85,afternoon
201. ADAM RICHMAN,$20.65,afternoon
34. HUNTER PENCE,$20.65,afternoon
99. WE'RE JUST FRIENDS,$17.85,afternoon
118. DA VINCI,$17.85,afternoon
18. MATT CAIN,$17.85,afternoon
6262. LOGAN WEBB,$20.65,afternoon
