Item Name,Price,Time of Day
•,$,afternoon
"1230 20th St, Sacramento, CA 95811",$0 delivery fee,afternoon
Create Your Own,$15.33,afternoon
Urban Fries,$8.33,afternoon
Oven Roasted Turkey Plate,$22.60,afternoon
Steak Salad,$19.67,afternoon
Spicy Buffalo Salad,$19.93,afternoon
BBQ Tri Tip,$18.00,afternoon
Chargrilled Tri Tip Plate,$23.93,afternoon
Chicken Strips and Fries,$16.67,afternoon
Lemon Thyme Chicken Plate,$22.02,afternoon
Caesar Salad,$13.27,afternoon
Fried Chicken Sandwich,$18.33,afternoon
Blackened Salmon Cobb,$22.33,afternoon
Kids Chicken Strips,$11.33,afternoon
Urban Fries - Family Size,$10.60,afternoon
Kids Steak Plate,$11.33,afternoon
Turkey Club,$17.27,afternoon
Western BBQ Steak,$19.93,afternoon
Korean BBQ Steak,$19.67,afternoon
BBQ Chicken,$17.27,afternoon
Pesto Chicken,$16.67,afternoon
Create Your Own,$15.33,afternoon
Steak Salad,$19.67,afternoon
Western BBQ Steak,$19.93,afternoon
Caesar Salad,$13.27,afternoon
Santa Fe Chicken,$19.33,afternoon
Chinese Chicken,$19.33,afternoon
Blackened Salmon Cobb,$22.33,afternoon
Spicy Buffalo Salad,$19.93,afternoon
Greek Chicken Salad,$19.67,afternoon
BBQ Chicken Bowl - New!,$19.93,afternoon
The Flowerchild,$17.98,afternoon
Achiote Chicken,$19.67,afternoon
Korean BBQ Steak,$19.67,afternoon
BBQ Tri Tip,$18.00,afternoon
Spicy Buffalo Sandwich,$18.33,afternoon
Classic Tri Tip,$15.93,afternoon
Fried Chicken Sandwich,$18.33,afternoon
BBQ Chicken,$17.27,afternoon
Turkey Club,$17.27,afternoon
Pesto Chicken,$16.67,afternoon
Chicken Club,$17.27,afternoon
Grilled Halloumi,$17.27,afternoon
Reuben NY Style,$18.60,afternoon
Cajun Chicken,$16.67,afternoon
Classic Turkey,$15.33,afternoon
Classic Chicken,$15.33,afternoon
Chimichurri Steak,$18.33,afternoon
Chargrilled Tri Tip Plate,$23.93,afternoon
Oven Roasted Turkey Plate,$22.60,afternoon
Salmon Plate,$26.60,afternoon
Lemon Thyme Chicken Plate,$22.02,afternoon
Urban Fries,$8.33,afternoon
Urban Fries - Family Size,$10.60,afternoon
Chicken Strips and Fries,$16.67,afternoon
Garlic Fries,$8.33,afternoon
French Fries,$6.60,afternoon
Sweet Potato Fries - Small,$8.33,afternoon
Garlic Fries - Family Size,$10.60,afternoon
Sweet Potato Fries - Family Size,$10.60,afternoon
French Fries - Family Size,$7.93,afternoon
Kids Chicken Strips,$11.33,afternoon
Kids Steak Plate,$11.33,afternoon
Kids Chicken Plate,$11.33,afternoon
Kids Grilled Cheese,$11.33,afternoon
Kids Turkey Plate,$11.33,afternoon
Mac & Cheese,$7.73,afternoon
Baked Cheese Bread,$2.67,afternoon
Fresh Baked Cookie,$2.65,afternoon
Mashed Potatoes,$7.73,afternoon
Sliced Pugliese,$1.00,afternoon
Turkey Corn Chowder,$8.67,afternoon
Roasted Asparagus,$7.73,afternoon
Winter Vegetables,$7.73,afternoon
Coke - 20oz Bottle,$4.50,afternoon
Sprite Bottle 20oz.,$4.50,afternoon
Diet Coke Bottle 20oz.,$4.50,afternoon
Apple Juice,$2.95,afternoon
ADD NAPKINS & UTENSILS,$0.00,afternoon
FOOD ALLERGY WARNING,$0.00,afternoon
