Item Name,Price,Time of Day
•,$,afternoon
"337 G St., Davis, CA 95616",$0 delivery fee,afternoon
Curly Fries,$5.74,afternoon
French Fries,$5.24,afternoon
Bacon Double Smashed Jack™ Combo,$15.61,afternoon
Extreme Sausage® Sandwich,$7.99,afternoon
Jack's Spicy Chicken®,$9.99,afternoon
8pc Chicken Nuggets,$6.49,afternoon
Jumbo Jack® Cheeseburger,$8.11,afternoon
Jumbo Jack®,$7.49,afternoon
Homestyle Ranch Chicken Club,$11.61,afternoon
Bacon Ultimate Cheeseburger™,$11.24,afternoon
Sauced & Loaded Tiny Tacos,$6.25,afternoon
Meat Lovers Breakfast Burrito,$8.74,afternoon
Jack's Spicy Chicken® w/ Cheese,$10.36,afternoon
Classic Tiny Tacos,$5.00,afternoon
Ultimate Cheeseburger™,$10.49,afternoon
Loaded Breakfast Sandwich,$8.74,afternoon
Classic Smashed Jack™,$11.24,afternoon
Jumbo Meal Deal,$21.24,afternoon
Big Smashed Jack™ Combo,$15.61,afternoon
Big Smashed Jack™,$13.74,afternoon
18pc Classic Crispy Boneless Wings,$21.24,afternoon
12pc Smoke Show Smoky BBQ Crispy Boneless Wings Combo,$15.61,afternoon
12pc Smoke Show Smoky BBQ Crispy Boneless Wings,$14.99,afternoon
12pc Honey Garlic Sriracha Crispy Boneless Wings Combo,$15.61,afternoon
12pc Classic Crispy Boneless Wings Combo,$15.61,afternoon
12pc Classic Crispy Boneless Wings,$14.99,afternoon
6pc Smoke Show Smoky BBQ Crispy Boneless Wings Combo,$9.36,afternoon
6pc Smoke Show Smoky BBQ Crispy Boneless Wings,$8.74,afternoon
6pc Honey Garlic Sriracha Crispy Boneless Wings Combo,$9.36,afternoon
6pc Classic Crispy Boneless Wings Combo,$9.36,afternoon
6pc Classic Crispy Boneless Wings,$8.74,afternoon
6pc Banana French Toast Sticks Combo,$8.88,afternoon
3PC Banana French Toast Sticks Platter w/ Bacon & Sausage Combo,$10.63,afternoon
3PC Banana French Toast Sticks Platter w/ Sausage Combo,$10.13,afternoon
Fish Sandwich Combo,$4.74,afternoon
Fish Sandwich,$4.11,afternoon
Classic Sauced & Loaded Waffle Fries,$5.00,afternoon
Oreo® Mint Shake,$8.49,afternoon
Jumbo Meal Deal,$21.24,afternoon
Bacon & Swiss Buttery Smashed Jack™ Combo,$14.99,afternoon
Buttery Smashed Jack™ Combo,$13.74,afternoon
Bacon Double Smashed Jack™ Combo,$15.61,afternoon
Classic Smashed Jack™ Combo,$12.61,afternoon
Bacon Ultimate Cheeseburger™ Combo,$13.74,afternoon
Ultimate Cheeseburger™ Combo,$12.86,afternoon
Double Jack® Combo,$12.86,afternoon
Sourdough Jack® Combo,$12.24,afternoon
Jumbo Jack® Cheeseburger Combo,$10.61,afternoon
Jumbo Jack® Combo,$9.99,afternoon
Homestyle Ranch Chicken Club Combo,$13.61,afternoon
Jack's Spicy Chicken® w/ Cheese Combo,$12.74,afternoon
Jack's Spicy Chicken® Combo,$12.24,afternoon
Cluck Sandwich Combo,$12.24,afternoon
Grilled Chicken Sandwich Combo,$12.86,afternoon
5pc Crispy Chicken Strips Combo,$14.74,afternoon
3pc Crispy Chicken Strips Combo,$12.24,afternoon
8pc Chicken Nuggets Combo,$8.74,afternoon
Chicken Teriyaki Bowl w/ Brown Rice Combo,$11.88,afternoon
6pc Classic French Toast Sticks Combo,$8.88,afternoon
3PC French Toast Sticks Platter w/ Bacon & Sausage Combo,$10.63,afternoon
3PC French Toast Sticks Platter w/ Bacon Combo,$10.13,afternoon
3PC French Toast Sticks Platter w/ Sausage Combo,$10.13,afternoon
Grande Sausage Burrito Combo,$10.25,afternoon
Supreme Croissant Combo,$9.13,afternoon
Sausage Croissant Combo,$9.00,afternoon
Supreme Sourdough Breakfast Sandwich Combo,$8.38,afternoon
Meat Lovers Burrito Combo,$10.25,afternoon
Loaded Breakfast Sandwich Combo,$10.38,afternoon
Extreme Sausage® Sandwich Combo,$9.13,afternoon
Ultimate Breakfast Sandwich Combo,$10.13,afternoon
Sausage Breakfast Jack® Combo,$6.38,afternoon
Breakfast Jack® Combo,$5.88,afternoon
Sauced & Loaded Tiny Tacos,$6.25,afternoon
Classic Tiny Tacos,$5.00,afternoon
(2) Tacos,$2.49,afternoon
Classic Crispy Jack Wrap,$4.11,afternoon
Stuffed Jalapenos (7),$8.11,afternoon
Stuffed Jalapenos (3),$5.49,afternoon
Curly Fries,$5.74,afternoon
French Fries,$5.24,afternoon
Onion Rings,$6.24,afternoon
Jumbo Egg Rolls (3),$8.11,afternoon
Jumbo Egg Roll (1),$4.49,afternoon
Mini Churros (5),$4.24,afternoon
Cheesecake,$4.74,afternoon
Chocolate Overload™ Cake,$4.74,afternoon
Strawberry Red Daze Red Bull® Infusion,$6.86,afternoon
Berry Purple Daze Red Bull® Infusion,$6.86,afternoon
Red Bull® Energy Can,$4.36,afternoon
Red Bull® Energy SugarFree Can,$4.36,afternoon
High Mountain Arabica Coffee,$3.36,afternoon
Minute Maid® Apple Juice,$2.99,afternoon
Simply Orange®,$4.74,afternoon
Dasani® Bottled Water,$3.74,afternoon
Milk,$3.99,afternoon
Bacon & Swiss Buttery Smashed Jack™,$12.49,afternoon
Buttery Smashed Jack™,$11.24,afternoon
Bacon Double Smashed Jack™,$13.74,afternoon
Classic Smashed Jack™,$11.24,afternoon
