Item Name,Price,Time of Day
•,$,afternoon
"4444 Chiles Rd, DAVIS, CA 95618",$0 delivery fee,afternoon
10 pc. Chicken McNuggets®,$7.59,afternoon
Medium French Fries,$5.69,afternoon
2 Cheeseburger Meal,$13.79,afternoon
Hot 'N Spicy McChicken®,$4.89,afternoon
Double Filet-O-Fish® Meal,$11.89,afternoon
McChicken®,$4.29,afternoon
Double Filet-O-Fish®,$7.29,afternoon
20 pc. Chicken McNuggets®,$8.59,afternoon
Big Mac® Meal,$13.79,afternoon
Double Quarter Pounder® with Cheese Meal,$16.19,afternoon
Medium French Fries,$5.69,afternoon
McCrispy™ Meal,$12.79,afternoon
10 pc. Chicken McNuggets® Meal,$12.99,afternoon
