Item Name,Price,Time of Day
•,$,afternoon
"1411 W Covell Blvd Ste 111, Davis, CA 95616",$0 delivery fee,afternoon
Pepperoni,$11.49,afternoon
Create your own,$11.49,afternoon
Pineapple Chicken Luau,$20.69,afternoon
Mountain Fries,$8.49,afternoon
Cheese,$11.49,afternoon
Mini Churrs,$10.99,afternoon
Pikes Peak,$20.69,afternoon
BBQ Boneless Wings,$12.99,afternoon
Garlic Bread with Cheese,$7.99,afternoon
Buffalo Boneless Wings,$12.99,afternoon
Spicy Himalayan Pizza,$18.99,afternoon
Garlic Not-Knots™,$7.99,afternoon
Garlic Sticks with Cheese,$12.63,afternoon
BBQ At The Ranch,$20.69,afternoon
Mozzarella Sticks,$12.99,afternoon
The Everest,$20.69,afternoon
Stingin’ Honey Wings,$11.99,afternoon
BBQ Wings,$11.99,afternoon
Stingin’ Honey Boneless Wings,$12.99,afternoon
Plain Wings,$11.99,afternoon
Create your own,$11.49,afternoon
The Everest,$20.69,afternoon
The McKinley,$20.69,afternoon
Chicken Club,$20.69,afternoon
Pineapple Chicken Luau,$20.69,afternoon
Snowy Alps,$20.69,afternoon
Robbers Roost With White Sauce,$20.69,afternoon
Robbers Roost With Classic Red Sauce,$20.69,afternoon
Mt. Veggiemore,$20.69,afternoon
Pikes Peak,$20.69,afternoon
Garlic Tuscan,$20.69,afternoon
Sizzlin' Bacon Classic,$20.69,afternoon
BBQ At The Ranch,$20.69,afternoon
Pepperoni,$11.49,afternoon
Cheese,$11.49,afternoon
Spicy Himalayan Pizza,$18.99,afternoon
Vegetarian Spicy Himalayan Pizza,$18.99,afternoon
Half Dome,$11.99,afternoon
Cliff Hanger,$11.99,afternoon
Mozzarella Sticks,$12.99,afternoon
Garlic Sticks with Cheese,$12.63,afternoon
Garlic Bread with Cheese,$7.99,afternoon
Mountain Fries,$8.49,afternoon
Loaded Mountain Fries,$11.99,afternoon
Garlic Not-Knots™,$7.99,afternoon
Pesto Sticks with Cheese,$11.99,afternoon
Garden Salad,$8.99,afternoon
Chef's Salad,$7.99,afternoon
Antipasto Salad,$8.99,afternoon
Create Your Own Salad,$8.99,afternoon
Pepsi,$3.32,afternoon
Diet Pepsi,$3.32,afternoon
Mtn Dew,$3.32,afternoon
Orange Crush,$4.93,afternoon
Rootbeer,$3.32,afternoon
Dr Pepper,$3.32,afternoon
Gatorade Fruit Punch,$3.32,afternoon
Pure Leaf Unsweet,$3.32,afternoon
Aquafina,$2.86,afternoon
Mix & Match 4-Pack,$10.34,afternoon
Pure Leaf Sweet Tea,$3.32,afternoon
Dole Lemonade,$3.32,afternoon
Starry,$3.32,afternoon
Starry Zero,$3.32,afternoon
Apple Juice,$2.86,afternoon
Frappuccino Mocha,$4.59,afternoon
Gatorade Orange,$3.32,afternoon
Cinnamon Dessert Pizza,$11.99,afternoon
Mini Churrs,$10.99,afternoon
Pizza Cookie,$10.99,afternoon
Apple of My Pie,$13.99,afternoon
Sweetheart Cherry Pie Dessert Pizza,$16.99,afternoon
Side Creme Anglaise,$0.99,afternoon
Side Ranch,$1.00,afternoon
1000 Island,$1.00,afternoon
Italian,$1.00,afternoon
Side BBQ Sauce,$1.00,afternoon
Side Jalapenos,$1.25,afternoon
Side Blue Cheese,$1.00,afternoon
Side Pizza Sauce,$1.00,afternoon
Side Buffalo Sauce,$1.00,afternoon
Side Marinara,$0.75,afternoon
Side Sweet Thai Chili,$1.00,afternoon
Side Honey Garlic,$1.00,afternoon
Stingin’ Honey Wings,$11.99,afternoon
Buffalo Wings,$11.99,afternoon
Plain Wings,$11.99,afternoon
BBQ Wings,$11.99,afternoon
Plain Boneless Wings,$12.99,afternoon
Buffalo Boneless Wings,$12.99,afternoon
BBQ Boneless Wings,$12.99,afternoon
Stingin’ Honey Boneless Wings,$12.99,afternoon
Zesty Aloha Wings,$11.99,afternoon
Zesty Aloha Boneless Wings,$12.99,afternoon
Sticky Kogi Wings,$11.99,afternoon
Kickin’ Korean BBQ Wings,$11.99,afternoon
Kickin’ Korean BBQ Boneless Wings,$12.99,afternoon
Sticky Kogi Boneless Wings,$12.99,afternoon
