Item Name,Price,Time of Day
•,$,afternoon
"1491 West Covell Blvd., Davis, CA 95616",$0 delivery fee,afternoon
Plate,$12.50,afternoon
Bigger Plate,$14.30,afternoon
Bowl,$10.70,afternoon
Peach Lychee Flavored Refresher,$3.40,afternoon
Watermelon Mango Flavored Refresher,$3.40,afternoon
Sprite,$3.00,afternoon
Pomegranate Pineapple Flavored Lemonade,$3.40,afternoon
Mango Guava Flavored Tea,$3.40,afternoon
Powerade Berry Blast,$3.40,afternoon
Build Your Own Panda Cub Meal™,$8.90,afternoon
Dasani,$2.90,afternoon
Super Greens,$5.55,afternoon
Family Meal,$42.00,afternoon
Coke Mexico,$3.75,afternoon
Fried Rice,$5.55,afternoon
Chow Mein,$5.55,afternoon
Bowl,$10.70,afternoon
Plate,$12.50,afternoon
Bigger Plate,$14.30,afternoon
Orange Chicken Panda Cub Meal™,$8.90,afternoon
Broccoli Beef Panda Cub Meal™,$8.90,afternoon
Grilled Teriyaki Chicken Panda Cub Meal™,$8.90,afternoon
Build Your Own Panda Cub Meal™,$8.90,afternoon
Family Meal,$42.00,afternoon
Chow Mein,$5.55,afternoon
Fried Rice,$5.55,afternoon
Super Greens,$5.55,afternoon
White Steamed Rice,$5.55,afternoon
Coca Cola,$2.65,afternoon
Sprite,$2.65,afternoon
Dr Pepper,$2.65,afternoon
Minute Maid Lemonade,$2.65,afternoon
Fanta Strawberry,$2.65,afternoon
Fanta Orange,$2.65,afternoon
Coke Zero,$3.00,afternoon
Smartwater,$3.75,afternoon
Coca Cola Cherry,$2.65,afternoon
Coke Mexico,$3.75,afternoon
Diet Coke,$2.65,afternoon
Powerade Berry Blast,$3.40,afternoon
Fuze Raspberry Iced Tea,$2.65,afternoon
Barq's Root Beer,$2.65,afternoon
Dasani,$2.90,afternoon
Mango Guava Flavored Tea,$3.40,afternoon
Peach Lychee Flavored Refresher,$3.40,afternoon
Pomegranate Pineapple Flavored Lemonade,$3.40,afternoon
Watermelon Mango Flavored Refresher,$3.40,afternoon
Passion Mango Black Tea,$2.65,afternoon
Minute Maid Apple Juice,$2.90,afternoon
Sprite,$3.00,afternoon
Utensils,$0.00,afternoon
Napkins,$0.00,afternoon
Soy Sauce,$0.00,afternoon
Sweet & Sour Sauce,$0.00,afternoon
Chili Sauce,$0.00,afternoon
Teriyaki Sauce,$0.00,afternoon
Hot Mustard,$0.00,afternoon
