Item Name,Price,Time of Day
•,$,afternoon
"1710 R St, Sacramento, CA 95811",$0 delivery fee,afternoon
SmokeShack,$11.99,afternoon
Black Truffle Burger,$13.89,afternoon
ShackBurger,$10.09,afternoon
Cheese Fries,$7.49,afternoon
Cookies and Cream Shake,$8.19,afternoon
Bacon Cheese Fries,$8.79,afternoon
Black Truffle Parmesan Fries,$7.49,afternoon
Chicken Bites,$7.49,afternoon
Cheeseburger,$10.09,afternoon
Strawberry Shake,$8.19,afternoon
Sunset Lemonade,$6.29,afternoon
Chocolate Shake,$8.19,afternoon
Thai Iced Tea Shake,$8.79,afternoon
Chicken Shack,$11.99,afternoon
Avocado Bacon Burger,$13.89,afternoon
Brownie Batter Hot Cocoa Shake,$8.79,afternoon
Cherry Blossom Shake,$8.79,afternoon
Hot Dog,$6.29,afternoon
Berry Cherry Pomegranate Lemonade,$5.99,afternoon
Bacon Cheeseburger,$11.99,afternoon
Black Truffle Burger,$13.89,afternoon
Black Truffle Burger,$13.89,afternoon
Black Truffle 'Shroom,$13.89,afternoon
Black Truffle Shack Stack,$18.29,afternoon
ShackBurger,$10.09,afternoon
Avocado Bacon Burger,$13.89,afternoon
SmokeShack,$11.99,afternoon
Bacon Cheeseburger,$11.99,afternoon
Veggie Shack,$11.99,afternoon
'Shroom Burger,$12.59,afternoon
Shack Stack,$17.09,afternoon
Hamburger,$9.49,afternoon
Cheeseburger,$10.09,afternoon
Grilled Cheese,$7.49,afternoon
Avocado Bacon Chicken,$13.89,afternoon
Chicken Shack,$11.99,afternoon
Chicken Bites,$7.49,afternoon
Thai Iced Tea Shake,$8.79,afternoon
Cherry Blossom Shake,$8.79,afternoon
Brownie Batter Hot Cocoa Shake,$8.79,afternoon
Vanilla Shake,$8.19,afternoon
Chocolate Shake,$8.19,afternoon
Cookies and Cream Shake,$8.19,afternoon
Strawberry Shake,$8.19,afternoon
Black & White Shake,$8.19,afternoon
Vanilla & Chocolate Shake,$8.19,afternoon
Black Truffle Parmesan Fries,$7.49,afternoon
Fries,$5.69,afternoon
Cheese Fries,$7.49,afternoon
Bacon Cheese Fries,$8.79,afternoon
Hot Dog,$6.29,afternoon
Sunset Lemonade,$6.29,afternoon
Tropical Kiwi Lemonade,$6.29,afternoon
Berry Cherry Pomegranate Lemonade,$5.99,afternoon
Shack-made Lemonade,$5.69,afternoon
Fifty/Fifty,$5.69,afternoon
Organic Iced Tea,$4.99,afternoon
Fountain Soda,$4.99,afternoon
Draft Root Beer,$4.99,afternoon
Organic Apple Juice Drink,$4.99,afternoon
Shack2O Water,$4.99,afternoon
Sparkling Shack2O Water,$4.99,afternoon
Bag O' Bones,$10.29,afternoon
ShackBurger Box - 12 servings,$115.09,afternoon
Crinkle Cut Box - 12 Servings,$65.09,afternoon
Chicken Shack Box - 12 servings,$130.99,afternoon
Veggie Shack™ Box - 12 servings,$140.39,afternoon
Smoke Shack Box- 12 Servings,$139.09,afternoon
Cheeseburger Box - 12 servings,$113.79,afternoon
Hamburger Box - 12 servings,$108.69,afternoon
'Shroom Burger Box - 12 servings,$145.39,afternoon
