Item Name,Price,Time of Day
•,$,afternoon
"425 G Street, Davis, CA 95616",$0 delivery fee,afternoon
Crunchwrap Supreme®,$8.77,afternoon
Grilled Cheese Burrito,$7.31,afternoon
Chicken Quesadilla,$8.77,afternoon
MTN DEW® Baja Blast®,$3.40,afternoon
Nacho Cheese Doritos® Locos Tacos,$3.65,afternoon
Beefy 5-Layer Burrito,$6.33,afternoon
Nachos BellGrande®,$9.75,afternoon
MTN DEW® Baja Blast® Freeze,$5.11,afternoon
Supreme® Luxe Box,$9.75,afternoon
Bean Burrito,$3.40,afternoon
Steak Quesadilla,$9.02,afternoon
Cheesy Gordita Crunch,$7.55,afternoon
Nacho Cheese Doritos® Locos Tacos Supreme®,$4.87,afternoon
Chicken Quesadilla Combo,$14.63,afternoon
Steak Grilled Cheese Burrito Combo,$12.92,afternoon
Crunchy Taco,$2.67,afternoon
Doritos® Cheesy Gordita Crunch - Nacho Cheese,$7.80,afternoon
Chalupa Supreme®,$7.55,afternoon
Meal for 2,$18.29,afternoon
Soft Taco,$2.67,afternoon
Caliente Cantina Chicken Burrito,$9.14,afternoon
Caliente Cantina Chicken Soft Taco,$4.26,afternoon
Caliente Cantina Chicken Crispy Taco,$4.26,afternoon
Caliente Cantina Chicken Quesadilla,$9.14,afternoon
Caliente Cantina Chicken Bowl,$10.36,afternoon
Caliente Cantina Chicken Crispy Taco Meal,$12.19,afternoon
