Item Name,Price,Time of Day
•,$,morning
"1745 Cowell Blvd, DAVIS, CA 95618",$0 delivery fee,morning
Breakfast Sampler,$21.24,morning
Cinnamon Dippers,$9.99,morning
World-Famous Pancake Combo,$19.36,morning
Sirloin Steak Tips,$24.99,morning
House-Made Milkshakes,$8.49,morning
Crepe Combo,$17.49,morning
Original Buttermilk Pancakes - (Short Stack),$11.24,morning
Build Your Own Omelette+,$16.24,morning
Split Decision Breakfast,$19.99,morning
Big Steak Omelette,$23.74,morning
Sirloin Steak Tips & Eggs,$24.99,morning
Double Blueberry Pancakes,$16.86,morning
2 x 2 x 2,$14.99,morning
Fisherman's Platter,$23.74,morning
Cali Roasted Turkey Melt,$19.99,morning
New Bacon Avocado Eggs Benedict,$19.99,morning
Waffle Combo,$19.36,morning
T-Bone Steak & Eggs,$26.24,morning
T-Bone Steak Dinner,$26.24,morning
Pancake of the Month Combo,$19.36,morning
Bananas Foster Pancakes,$13.75,morning
Bananas Foster Pancakes- Side,$10.00,morning
Ulti-Mint Milkshake,$8.49,morning
"New Bacon, Egg & Cheese Anytime Tacos",$18.74,morning
New Chicken Fajita Anytime Tacos,$18.74,morning
New Spicy Shredded Beef Anytime Tacos,$18.74,morning
New Big Breakfast Burrito,$19.99,morning
New Bacon Avocado Eggs Benedict,$19.99,morning
New Chicken Florentine Crepes,$19.99,morning
New Caramel Apple Lemonade,$6.61,morning
New Caramel Apple Butter House-Made Milkshake,$8.49,morning
New Caramel Apple Butter Hot Chocolate,$6.24,morning
Pork Sausage Patties (2),$6.25,morning
Breakfast Family Feast with Pancakes,$53.74,morning
Breakfast Family Feast with Thick ‘N Fluffy French Toast,$53.74,morning
Lunch/Dinner Beverage Bundle,$13.74,morning
Pancake Creations Family Feast with Bacon,$48.74,morning
Steakburgers Family Feast,$46.24,morning
Pancake Creations Family Feast with Sausage,$48.74,morning
Breakfast Beverage Bundle,$13.74,morning
Buttermilk Crispy Chicken Family Feast,$58.74,morning
Breakfast Family Feast with Waffles,$58.74,morning
"New Bacon, Egg & Cheese Anytime Tacos",$18.74,morning
New Chicken Fajita Anytime Tacos,$18.74,morning
New Spicy Shredded Beef Anytime Tacos,$18.74,morning
New Big Breakfast Burrito,$19.99,morning
Chicken Biscuit Sandwich,$18.74,morning
Breakfast Biscuit Sandwich,$16.86,morning
Buttermilk Biscuit & Gravy Combo,$19.36,morning
Buttermilk Biscuit,$4.99,morning
Buttermilk Biscuit & Gravy,$8.74,morning
Spicy Poblano Eggs Benedict,$17.49,morning
Classic Eggs Benedict,$17.49,morning
New Bacon Avocado Eggs Benedict,$19.99,morning
Breakfast Sampler,$21.24,morning
Country Fried Steak & Eggs,$22.49,morning
2 x 2 x 2,$14.99,morning
Quick 2-Egg Breakfast,$17.49,morning
Chicken & Pancakes,$19.99,morning
Sirloin Steak Tips & Eggs,$24.99,morning
T-Bone Steak & Eggs,$26.24,morning
Smokehouse Combo,$19.36,morning
Split Decision Breakfast,$19.99,morning
Impossible™ Plant-Based Sausage Power Combo,$18.74,morning
