Item Name,Price,Time of Day
•,$,morning
"212 F St, Davis, CA 95616",$0 delivery fee,morning
111. MENAGE A TROIS,$17.85,morning
18. MATT CAIN,$17.85,morning
98. JAYMEE SIREWICH,$16.25,morning
65. JIM ROME,$17.85,morning
2. HOLLYWOULD'S SF CHEESESTEAK,$17.85,morning
99. WE'RE JUST FRIENDS,$17.85,morning
MIX & MATCH COMBO,$5.65,morning
61. SOMETIMES I'M A VEGETARIAN,$16.25,morning
219. FALL'ING FOR IKE'S,$17.85,morning
VEGAN Chicken'N NUGGETS,$7.55,morning
6262. LOGAN WEBB,$20.65,morning
895. CLUELESS,$16.25,morning
201. ADAM RICHMAN,$20.65,morning
840. MILLENIAL FALCONS,$17.85,morning
118. DA VINCI,$17.85,morning
6. HOT MOMMA HUDA,$16.25,morning
600. VEGAN PERSEPHONE,$19.45,morning
34. HUNTER PENCE,$20.65,morning
957. THE DAMON BRUCE,$20.65,morning
2929. J MAC,$19.45,morning
111. MENAGE A TROIS,$17.85,morning
1515. THE GULLIVER,$19.45,morning
VEGANUARY,$17.85,morning
"1999. HEY NOW, YOU'RE AN ALL-STAR",$20.65,morning
2929. J MAC,$19.45,morning
2802. MITCH THE ROCK RICHMOND,$20.65,morning
262. MARSHALL'S CAJUN CLUB,$19.45,morning
5577. JEFF GARCIA,$20.65,morning
111. MENAGE A TROIS,$17.85,morning
98. JAYMEE SIREWICH,$16.25,morning
2. HOLLYWOULD'S SF CHEESESTEAK,$17.85,morning
240. MADISON BUMGARNER,$19.45,morning
422. BEAST MODE,$19.45,morning
65. JIM ROME,$17.85,morning
201. ADAM RICHMAN,$20.65,morning
34. HUNTER PENCE,$20.65,morning
99. WE'RE JUST FRIENDS,$17.85,morning
118. DA VINCI,$17.85,morning
18. MATT CAIN,$17.85,morning
6262. LOGAN WEBB,$20.65,morning
30. BACKSTABBER,$16.25,morning
91.5 IKE'S REUBEN,$19.45,morning
957. THE DAMON BRUCE,$20.65,morning
1. ELVIS KIETH,$16.25,morning
150. DIRTY REUBEN,$19.45,morning
13. PAPA SAM,$17.85,morning
63. 'HELLA' FAT BASTARD,$19.45,morning
43. GIANCARLO MY SON,$19.45,morning
23. MJ,$14.95,morning
6. HOT MOMMA HUDA,$16.25,morning
9. [NAME OF THE GIRL IM DATING],$17.85,morning
929. HALSEY,$17.85,morning
325. AMUNA'S TUNA,$16.25,morning
19. GOING HOME FOR THANKSGIVING,$16.25,morning
66. DAMN STRAIGHT,$17.85,morning
336. [YOUR SORORITY OR FRAT],$16.25,morning
82. NOT TONIGHT I HAVE A HEADACHE,$17.85,morning
340. HARRISON PARMES,$16.25,morning
840. MILLENIAL FALCONS,$17.85,morning
68. CHASE OTTNEY IS HELLA SEXY,$14.95,morning
526. HOWIE EAT IT,$17.85,morning
405. ERIN COSCARELLI,$17.85,morning
596. ROOM 107,$16.25,morning
143. I'LL BE YOUR VALENTINE,$17.75,morning
916. YOLO (COUNTY),$17.85,morning
219. FALL'ING FOR IKE'S,$17.85,morning
61. SOMETIMES I'M A VEGETARIAN,$16.25,morning
70. MEATLESS MIKE,$17.85,morning
301. HANDSOME OWL,$17.85,morning
414. LITACANRANA,$17.85,morning
291. PEE WEE,$17.85,morning
202. GRAMPS,$17.85,morning
625. MOMO's NO NO,$14.95,morning
173. GLADIATOR *Contains Anchovies*,$17.85,morning
36. [YOUR FAVORITE PEANUTS CHARACTER],$16.25,morning
432. PICNIC DAY,$14.95,morning
632. HELEN KELLER,$20.65,morning
298. JAYMEETLESS,$17.85,morning
212. THE AGGIE,$17.85,morning
172. TOAD,$16.25,morning
206. MOBILE MAMA,$17.85,morning
895. CLUELESS,$16.25,morning
600. PERSEPHONE,$19.45,morning
243. I CH-CH-CHOOSE YOU *Contains Anchovies*,$17.75,morning
414. VEGAN LITACANRANA,$17.85,morning
254B. VEGAN MACK DADDY,$19.45,morning
219. VEGAN FALL'ING FOR IKE'S,$17.85,morning
170. VEGAN NOT SO SLOPPY IKE,$17.85,morning
291. VEGAN PEE WEE,$17.85,morning
301. VEGAN HANDSOME OWL,$17.85,morning
70. VEGAN MEATLESS MIKE,$17.85,morning
202. VEGAN GRAMPS,$17.85,morning
892. VEGAN PIRATES OR PILATES,$17.85,morning
299. VEGAN MEL-LO KITTY,$17.85,morning
233. VEGAN BUD BUNDY,$17.85,morning
172. VEGAN TOAD,$16.25,morning
275. VEGAN KIRK RUETER,$17.85,morning
204. VEGAN SABRINA SMILES,$17.85,morning
315. VEGAN BONNIE-JILL,$17.85,morning
210. VEGAN TERMINATORS,$17.85,morning
361. VEGANSAURUS,$16.25,morning
600. VEGAN PERSEPHONE,$19.45,morning
750. VEGAN HADES,$19.45,morning
982. VEGAN PURPLE GOBLIN,$17.85,morning
1122. VEGAN TAILOR'S BOOTY,$17.85,morning
2802. VEGAN MITCH THE ROCK RICHMOND,$20.65,morning
MIX & MATCH COMBO,$5.65,morning
Zapp's Chips,$3.15,morning
Fountain Drink,$3.45,morning
Tractor Organic Beverages,$3.45,morning
Premium Bottled Soda,$5.35,morning
Calypso,$5.35,morning
Canned Soda,$3.45,morning
Bottled Water,$2.85,morning
Red Bull,$4.45,morning
Red Bull - Sugar Free,$4.45,morning
Mela Water,$6.25,morning
GOOD IDEA,$5.35,morning
MAKE IT A COMBO,$5.65,morning
Peruvian Chocolate Brownie,$4.15,morning
Salted Caramel Cookie,$4.15,morning
Brown Butter Marshmallow Bar,$4.15,morning
Chocolate Chip Cookie,$4.15,morning
VEGAN Chicken'N NUGGETS,$7.55,morning
670. MEATWAD,$7.55,morning
CHICKEN STRIPS,$7.55,morning
"668. TURKEY, TURKEY!",$7.55,morning
304. CHESTER THE CHEETAH,$7.55,morning
601. NINJA TURTLE,$7.55,morning
DUTCH CRUNCH 6-PACK,$12.45,morning
SOURDOUGH 6-PACK,$12.45,morning
Side Of DIRTY SAUCE,$0.75,morning
Side Of VEGAN DIRTY SAUCE,$0.75,morning
Side Of SAUCE,$1.25,morning
Side Of BANANA PEPPERS,$0.05,morning
Side Of PICKLES,$0.05,morning
Side Of ONIONS,$0.05,morning
Side Of JALAPENOS,$0.05,morning
