Item Name,Price,Time of Day
•,$,morning
"337 G St., Davis, CA 95616",$0 delivery fee,morning
Curly Fries,$5.74,morning
French Fries,$5.24,morning
Bacon Double Smashed Jack™ Combo,$15.61,morning
Extreme Sausage® Sandwich,$7.99,morning
Jack's Spicy Chicken®,$9.99,morning
8pc Chicken Nuggets,$6.49,morning
Jumbo Jack® Cheeseburger,$8.11,morning
Jumbo Jack®,$7.49,morning
Homestyle Ranch Chicken Club,$11.61,morning
Bacon Ultimate Cheeseburger™,$11.24,morning
Sauced & Loaded Tiny Tacos,$6.25,morning
Meat Lovers Breakfast Burrito,$8.74,morning
Jack's Spicy Chicken® w/ Cheese,$10.36,morning
Classic Tiny Tacos,$5.00,morning
Ultimate Cheeseburger™,$10.49,morning
Loaded Breakfast Sandwich,$8.74,morning
Classic Smashed Jack™,$11.24,morning
Jumbo Meal Deal,$21.24,morning
Big Smashed Jack™ Combo,$15.61,morning
Big Smashed Jack™,$13.74,morning
18pc Classic Crispy Boneless Wings,$21.24,morning
12pc Smoke Show Smoky BBQ Crispy Boneless Wings Combo,$15.61,morning
12pc Smoke Show Smoky BBQ Crispy Boneless Wings,$14.99,morning
12pc Honey Garlic Sriracha Crispy Boneless Wings Combo,$15.61,morning
12pc Classic Crispy Boneless Wings Combo,$15.61,morning
12pc Classic Crispy Boneless Wings,$14.99,morning
6pc Smoke Show Smoky BBQ Crispy Boneless Wings Combo,$9.36,morning
6pc Smoke Show Smoky BBQ Crispy Boneless Wings,$8.74,morning
6pc Honey Garlic Sriracha Crispy Boneless Wings Combo,$9.36,morning
6pc Classic Crispy Boneless Wings Combo,$9.36,morning
6pc Classic Crispy Boneless Wings,$8.74,morning
6pc Banana French Toast Sticks Combo,$8.88,morning
3PC Banana French Toast Sticks Platter w/ Bacon & Sausage Combo,$10.63,morning
3PC Banana French Toast Sticks Platter w/ Sausage Combo,$10.13,morning
Fish Sandwich Combo,$4.74,morning
Fish Sandwich,$4.11,morning
Oreo® Mint Shake,$8.49,morning
Jumbo Meal Deal,$21.24,morning
Bacon & Swiss Buttery Smashed Jack™ Combo,$14.99,morning
Buttery Smashed Jack™ Combo,$13.74,morning
Bacon Double Smashed Jack™ Combo,$15.61,morning
Classic Smashed Jack™ Combo,$12.61,morning
Bacon Ultimate Cheeseburger™ Combo,$13.74,morning
Ultimate Cheeseburger™ Combo,$12.86,morning
Double Jack® Combo,$12.86,morning
Sourdough Jack® Combo,$12.24,morning
Jumbo Jack® Cheeseburger Combo,$10.61,morning
Jumbo Jack® Combo,$9.99,morning
Homestyle Ranch Chicken Club Combo,$13.61,morning
Jack's Spicy Chicken® w/ Cheese Combo,$12.74,morning
Jack's Spicy Chicken® Combo,$12.24,morning
Cluck Sandwich Combo,$12.24,morning
Grilled Chicken Sandwich Combo,$12.86,morning
5pc Crispy Chicken Strips Combo,$14.74,morning
3pc Crispy Chicken Strips Combo,$12.24,morning
8pc Chicken Nuggets Combo,$8.74,morning
Chicken Teriyaki Bowl w/ Brown Rice Combo,$11.88,morning
6pc Classic French Toast Sticks Combo,$8.88,morning
3PC French Toast Sticks Platter w/ Bacon & Sausage Combo,$10.63,morning
3PC French Toast Sticks Platter w/ Bacon Combo,$10.13,morning
3PC French Toast Sticks Platter w/ Sausage Combo,$10.13,morning
Grande Sausage Burrito Combo,$10.25,morning
Supreme Croissant Combo,$9.13,morning
Sausage Croissant Combo,$9.00,morning
Supreme Sourdough Breakfast Sandwich Combo,$8.38,morning
Meat Lovers Burrito Combo,$10.25,morning
Loaded Breakfast Sandwich Combo,$10.38,morning
Extreme Sausage® Sandwich Combo,$9.13,morning
Ultimate Breakfast Sandwich Combo,$10.13,morning
Sausage Breakfast Jack® Combo,$6.38,morning
Breakfast Jack® Combo,$5.88,morning
Sauced & Loaded Tiny Tacos,$6.25,morning
Classic Tiny Tacos,$5.00,morning
Classic Crispy Jack Wrap,$4.11,morning
Stuffed Jalapenos (7),$8.11,morning
Stuffed Jalapenos (3),$5.49,morning
Curly Fries,$5.74,morning
French Fries,$5.24,morning
Onion Rings,$6.24,morning
Jumbo Egg Rolls (3),$8.11,morning
Jumbo Egg Roll (1),$4.49,morning
Mini Churros (5),$4.24,morning
Cheesecake,$4.74,morning
Chocolate Overload™ Cake,$4.74,morning
Strawberry Red Daze Red Bull® Infusion,$6.86,morning
Berry Purple Daze Red Bull® Infusion,$6.86,morning
Red Bull® Energy Can,$4.36,morning
Red Bull® Energy SugarFree Can,$4.36,morning
High Mountain Arabica Coffee,$3.36,morning
Minute Maid® Apple Juice,$2.99,morning
Simply Orange®,$4.74,morning
Dasani® Bottled Water,$3.74,morning
Milk,$3.99,morning
Bacon & Swiss Buttery Smashed Jack™,$12.49,morning
Buttery Smashed Jack™,$11.24,morning
Bacon Double Smashed Jack™,$13.74,morning
Classic Smashed Jack™,$11.24,morning
Bacon Ultimate Cheeseburger™,$11.24,morning
Ultimate Cheeseburger™,$10.49,morning
Double Jack®,$10.49,morning
Sourdough Jack®,$9.99,morning
