Item Name,Price,Time of Day
•,$,morning
"4444 Chiles Rd, DAVIS, CA 95618",$0 delivery fee,morning
Sausage & Egg McMuffin®,$6.69,morning
Hash Browns,$4.19,morning
Sausage Egg McMuffin® Meal,$11.29,morning
Big Breakfast® with Muffin & Hotcakes,$9.99,morning
Egg McMuffin®,$6.89,morning
Oatmeal,$6.19,morning
Hash Browns,$4.19,morning
Sausage Egg McMuffin® Meal,$11.29,morning
Sausage & Egg McMuffin®,$6.69,morning
"Sausage, Egg and Cheese McGriddles® Meal",$11.69,morning
Bacon Egg Cheese Biscuit Meal,$11.59,morning
Medium French Vanilla Latte,$5.39,morning
