Item Name,Price,Time of Day
•,$,morning
"1491 West Covell Blvd., Davis, CA 95616",$0 delivery fee,morning
Plate,$12.50,morning
Bigger Plate,$14.30,morning
Bowl,$10.70,morning
Peach Lychee Flavored Refresher,$3.40,morning
Watermelon Mango Flavored Refresher,$3.40,morning
Sprite,$3.00,morning
Pomegranate Pineapple Flavored Lemonade,$3.40,morning
Mango Guava Flavored Tea,$3.40,morning
Powerade Berry Blast,$3.40,morning
Build Your Own Panda Cub Meal™,$8.90,morning
Dasani,$2.90,morning
Super Greens,$5.55,morning
Family Meal,$42.00,morning
Coke Mexico,$3.75,morning
Fried Rice,$5.55,morning
Chow Mein,$5.55,morning
Bowl,$10.70,morning
Plate,$12.50,morning
Bigger Plate,$14.30,morning
Orange Chicken Panda Cub Meal™,$8.90,morning
Broccoli Beef Panda Cub Meal™,$8.90,morning
Grilled Teriyaki Chicken Panda Cub Meal™,$8.90,morning
Build Your Own Panda Cub Meal™,$8.90,morning
Family Meal,$42.00,morning
Chow Mein,$5.55,morning
Fried Rice,$5.55,morning
Super Greens,$5.55,morning
White Steamed Rice,$5.55,morning
Coca Cola,$2.65,morning
Sprite,$2.65,morning
Dr Pepper,$2.65,morning
Minute Maid Lemonade,$2.65,morning
Fanta Strawberry,$2.65,morning
Fanta Orange,$2.65,morning
Coke Zero,$3.00,morning
Smartwater,$3.75,morning
Coca Cola Cherry,$2.65,morning
Coke Mexico,$3.75,morning
Diet Coke,$2.65,morning
Powerade Berry Blast,$3.40,morning
Fuze Raspberry Iced Tea,$2.65,morning
Barq's Root Beer,$2.65,morning
Dasani,$2.90,morning
Mango Guava Flavored Tea,$3.40,morning
Peach Lychee Flavored Refresher,$3.40,morning
Pomegranate Pineapple Flavored Lemonade,$3.40,morning
Watermelon Mango Flavored Refresher,$3.40,morning
Passion Mango Black Tea,$2.65,morning
Minute Maid Apple Juice,$2.90,morning
Sprite,$3.00,morning
Utensils,$0.00,morning
Napkins,$0.00,morning
Soy Sauce,$0.00,morning
Sweet & Sour Sauce,$0.00,morning
Chili Sauce,$0.00,morning
Teriyaki Sauce,$0.00,morning
Hot Mustard,$0.00,morning
