Item Name,Price,Time of Day
•,$,morning
"1710 R St, Sacramento, CA 95811",$0 delivery fee,morning
SmokeShack,$11.99,morning
Black Truffle Burger,$13.89,morning
ShackBurger,$10.09,morning
Cheese Fries,$7.49,morning
Cookies and Cream Shake,$8.19,morning
Bacon Cheese Fries,$8.79,morning
Black Truffle Parmesan Fries,$7.49,morning
Chicken Bites,$7.49,morning
Cheeseburger,$10.09,morning
Strawberry Shake,$8.19,morning
Sunset Lemonade,$6.29,morning
Chocolate Shake,$8.19,morning
Thai Iced Tea Shake,$8.79,morning
Chicken Shack,$11.99,morning
Avocado Bacon Burger,$13.89,morning
Brownie Batter Hot Cocoa Shake,$8.79,morning
Cherry Blossom Shake,$8.79,morning
Hot Dog,$6.29,morning
Berry Cherry Pomegranate Lemonade,$5.99,morning
Bacon Cheeseburger,$11.99,morning
Black Truffle Burger,$13.89,morning
Black Truffle 'Shroom,$13.89,morning
Black Truffle Shack Stack,$18.29,morning
ShackBurger,$10.09,morning
Avocado Bacon Burger,$13.89,morning
SmokeShack,$11.99,morning
Bacon Cheeseburger,$11.99,morning
Veggie Shack,$11.99,morning
'Shroom Burger,$12.59,morning
Shack Stack,$17.09,morning
Hamburger,$9.49,morning
Cheeseburger,$10.09,morning
Grilled Cheese,$7.49,morning
Avocado Bacon Chicken,$13.89,morning
Chicken Shack,$11.99,morning
Chicken Bites,$7.49,morning
Thai Iced Tea Shake,$8.79,morning
Cherry Blossom Shake,$8.79,morning
Brownie Batter Hot Cocoa Shake,$8.79,morning
Vanilla Shake,$8.19,morning
Chocolate Shake,$8.19,morning
Cookies and Cream Shake,$8.19,morning
Strawberry Shake,$8.19,morning
Black & White Shake,$8.19,morning
Vanilla & Chocolate Shake,$8.19,morning
Frozen Custard,$6.29,morning
Black Truffle Parmesan Fries,$7.49,morning
Fries,$5.69,morning
Cheese Fries,$7.49,morning
Bacon Cheese Fries,$8.79,morning
Hot Dog,$6.29,morning
Sunset Lemonade,$6.29,morning
Tropical Kiwi Lemonade,$6.29,morning
Berry Cherry Pomegranate Lemonade,$5.99,morning
Shack-made Lemonade,$5.69,morning
Fifty/Fifty,$5.69,morning
Organic Iced Tea,$4.99,morning
Fountain Soda,$4.99,morning
Draft Root Beer,$4.99,morning
Organic Apple Juice Drink,$4.99,morning
Shack2O Water,$4.99,morning
Sparkling Shack2O Water,$4.99,morning
Bag O' Bones,$10.29,morning
ShackBurger Box - 12 servings,$115.09,morning
Crinkle Cut Box - 12 Servings,$65.09,morning
Chicken Shack Box - 12 servings,$130.99,morning
Veggie Shack™ Box - 12 servings,$140.39,morning
Smoke Shack Box- 12 Servings,$139.09,morning
Cheeseburger Box - 12 servings,$113.79,morning
Hamburger Box - 12 servings,$108.69,morning
'Shroom Burger Box - 12 servings,$145.39,morning
