Item Name,Price,Time of Day
•,$,morning
"623 2nd St, Davis, CA 95616",$0 delivery fee,morning
Iced Matcha Latte,$6.25,morning
Chocolate Croissant,$5.55,morning
Strawberry Açaí Refresher,$5.95,morning
"Sausage, Cheddar & Egg Sandwich",$6.25,morning
Bacon & Gruyère Egg Bites,$6.55,morning
Iced Caffè Americano,$4.75,morning
Butter Croissant,$5.15,morning
"Double-Smoked Bacon, Cheddar & Egg Sandwich",$7.45,morning
Iced Starbucks® Blonde Vanilla Latte,$6.75,morning
Double Chocolate Brownie,$4.55,morning
Iced Caffè Latte,$5.95,morning
Iced Brown Sugar Oatmilk Shaken Espresso,$7.15,morning
Cheese Danish,$4.75,morning
Egg White & Roasted Red Pepper Egg Bites,$6.55,morning
Ham & Swiss on Baguette,$9.25,morning
Tomato & Mozzarella on Focaccia,$8.95,morning
Matcha Crème Frappuccino® Blended Beverage,$6.95,morning
"Bacon, Sausage & Egg Wrap",$7.75,morning
Strawberry Crème Frappuccino® Blended Beverage,$6.95,morning
"Bacon, Gouda & Egg Sandwich",$6.95,morning
Featured Medium Roast - Pike Place® Roast,$3.75,morning
Featured Dark Roast,$3.75,morning
Decaf Pike Place® Roast,$3.75,morning
Caffè Misto,$4.75,morning
Caffè Americano,$4.75,morning
Caffè Latte,$5.55,morning
Lavender Oatmilk Latte,$6.45,morning
Cinnamon Dolce Latte,$6.45,morning
Starbucks® Blonde Vanilla Latte,$6.45,morning
Cappuccino,$5.55,morning
Caffè Mocha,$6.15,morning
White Chocolate Mocha,$6.45,morning
Espresso Macchiato,$4.15,morning
Caramel Macchiato,$6.15,morning
Flat White,$6.15,morning
Cortado,$5.75,morning
Brown Sugar Oatmilk Cortado,$6.25,morning
Coffee Traveler - Veranda Blend®,$26.45,morning
Coffee Traveler – Pike Place® Roast,$26.45,morning
Coffee Traveler – Dark Roast,$26.45,morning
Coffee Traveler – Decaf Pike Place® Roast,$26.45,morning
Cold Brew,$5.75,morning
Vanilla Sweet Cream Cold Brew,$6.25,morning
Salted Caramel Cream Cold Brew,$6.95,morning
Chocolate Cream Cold Brew,$6.95,morning
Nondairy Vanilla Sweet Cream Cold Brew,$6.25,morning
Nondairy Salted Caramel Cream Cold Brew,$6.95,morning
Cold Brew with Nondairy Vanilla Sweet Cream Cold Foam,$6.95,morning
Nondairy Chocolate Cream Cold Brew,$6.95,morning
Iced Coffee,$5.15,morning
Iced Shaken Espresso,$5.75,morning
Iced Brown Sugar Oatmilk Shaken Espresso,$7.15,morning
Iced Hazelnut Oatmilk Shaken Espresso,$7.15,morning
Iced Caffè Americano,$4.75,morning
Iced Caffè Latte,$5.95,morning
Iced LavenderOatmilk Latte,$6.55,morning
Iced Starbucks® Blonde Vanilla Latte,$6.75,morning
Iced Cinnamon Dolce Latte,$6.75,morning
Iced Caffè Mocha,$6.55,morning
Iced White Chocolate Mocha,$6.95,morning
Iced Caramel Macchiato,$6.55,morning
Iced Flat White,$6.55,morning
Chai Latte,$5.95,morning
Matcha Latte,$5.95,morning
Iced Chai Latte,$6.25,morning
Iced Matcha Latte,$6.25,morning
Iced Lavender Cream Oatmilk Matcha,$6.55,morning
Iced Cherry Chai Latte,$6.55,morning
Iced Black Tea,$4.55,morning
Iced Black Tea Lemonade,$5.15,morning
Iced Green Tea,$4.55,morning
Iced Green Tea Lemonade,$5.15,morning
Iced Peach Green Tea,$5.15,morning
Iced Peach Green Tea Lemonade,$5.75,morning
Iced Passion Tango® Tea,$4.55,morning
Iced Passion Tango® Tea Lemonade,$5.15,morning
Matcha Crème Frappuccino® Blended Beverage,$6.95,morning
Strawberry Açaí Lemonade Refresher,$6.25,morning
Mango Dragonfruit Lemonade Refresher,$6.25,morning
Blackberry Sage Lemonade Refresher,$6.95,morning
Pink Drink,$6.25,morning
Dragon Drink®,$6.25,morning
Midnight Drink,$6.95,morning
Strawberry Açaí Refresher,$5.95,morning
Mango Dragonfruit Refresher,$5.95,morning
Blackberry Sage Refresher,$6.25,morning
Caramel Frappuccino® Blended Beverage,$6.95,morning
Matcha Crème Frappuccino® Blended Beverage,$6.95,morning
Caramel Ribbon Crunch Frappuccino® Blended Beverage,$7.15,morning
Mocha Frappuccino® Blended Beverage,$6.95,morning
