Item Name,Price,Time of Day
•,$,morning
"425 G Street, Davis, CA 95616",$0 delivery fee,morning
Crunchwrap Supreme®,$8.77,morning
Grilled Cheese Burrito,$7.31,morning
Chicken Quesadilla,$8.77,morning
MTN DEW® Baja Blast®,$3.40,morning
Nacho Cheese Doritos® Locos Tacos,$3.65,morning
Beefy 5-Layer Burrito,$6.33,morning
Nachos BellGrande®,$9.75,morning
MTN DEW® Baja Blast® Freeze,$5.11,morning
Supreme® Luxe Box,$9.75,morning
Bean Burrito,$3.40,morning
Steak Quesadilla,$9.02,morning
Cheesy Gordita Crunch,$7.55,morning
Nacho Cheese Doritos® Locos Tacos Supreme®,$4.87,morning
Chicken Quesadilla Combo,$14.63,morning
Steak Grilled Cheese Burrito Combo,$12.92,morning
Crunchy Taco,$2.67,morning
Doritos® Cheesy Gordita Crunch - Nacho Cheese,$7.80,morning
Chalupa Supreme®,$7.55,morning
Meal for 2,$18.29,morning
Soft Taco,$2.67,morning
Caliente Cantina Chicken Burrito,$9.14,morning
Caliente Cantina Chicken Soft Taco,$4.26,morning
Caliente Cantina Chicken Crispy Taco,$4.26,morning
Caliente Cantina Chicken Quesadilla,$9.14,morning
Caliente Cantina Chicken Bowl,$10.36,morning
Caliente Cantina Chicken Crispy Taco Meal,$12.19,morning
