Item Name,Price,Time of Day
•,$,night
"1745 Cowell Blvd, DAVIS, CA 95618",$0 delivery fee,night
Breakfast Sampler,$21.24,night
Cinnamon Dippers,$9.99,night
World-Famous Pancake Combo,$19.36,night
Sirloin Steak Tips,$24.99,night
House-Made Milkshakes,$8.49,night
Build Your Own Omelette+,$16.24,night
Crepe Combo,$17.49,night
Original Buttermilk Pancakes - (Short Stack),$11.24,night
Split Decision Breakfast,$19.99,night
Sirloin Steak Tips & Eggs,$24.99,night
New Bacon Avocado Eggs Benedict,$19.99,night
Big Steak Omelette,$23.74,night
2 x 2 x 2,$14.99,night
Double Blueberry Pancakes,$16.86,night
Fisherman's Platter,$23.74,night
Cali Roasted Turkey Melt,$19.99,night
Jr. Mac & Cheese,$11.86,night
Waffle Combo,$19.36,night
Original Buttermilk Pancakes - (Full Stack),$13.74,night
Pancake of the Month Combo,$19.36,night
Bananas Foster Pancakes,$13.75,night
Bananas Foster Pancakes- Side,$10.00,night
Ulti-Mint Milkshake,$8.49,night
"New Bacon, Egg & Cheese Anytime Tacos",$18.74,night
New Chicken Fajita Anytime Tacos,$18.74,night
New Spicy Shredded Beef Anytime Tacos,$18.74,night
New Big Breakfast Burrito,$19.99,night
New Bacon Avocado Eggs Benedict,$19.99,night
New Chicken Florentine Crepes,$19.99,night
New Caramel Apple Lemonade,$6.61,night
New Caramel Apple Butter House-Made Milkshake,$8.49,night
New Caramel Apple Butter Hot Chocolate,$6.24,night
Pork Sausage Patties (2),$6.25,night
Breakfast Family Feast with Pancakes,$53.74,night
Breakfast Family Feast with Thick ‘N Fluffy French Toast,$53.74,night
Lunch/Dinner Beverage Bundle,$13.74,night
Pancake Creations Family Feast with Bacon,$48.74,night
Steakburgers Family Feast,$46.24,night
Pancake Creations Family Feast with Sausage,$48.74,night
Breakfast Beverage Bundle,$13.74,night
Buttermilk Crispy Chicken Family Feast,$58.74,night
Breakfast Family Feast with Waffles,$58.74,night
"New Bacon, Egg & Cheese Anytime Tacos",$18.74,night
New Chicken Fajita Anytime Tacos,$18.74,night
New Spicy Shredded Beef Anytime Tacos,$18.74,night
New Big Breakfast Burrito,$19.99,night
Chicken Biscuit Sandwich,$18.74,night
Breakfast Biscuit Sandwich,$16.86,night
Buttermilk Biscuit & Gravy Combo,$19.36,night
Buttermilk Biscuit,$4.99,night
Buttermilk Biscuit & Gravy,$8.74,night
Spicy Poblano Eggs Benedict,$17.49,night
Classic Eggs Benedict,$17.49,night
New Bacon Avocado Eggs Benedict,$19.99,night
Breakfast Sampler,$21.24,night
Country Fried Steak & Eggs,$22.49,night
2 x 2 x 2,$14.99,night
Quick 2-Egg Breakfast,$17.49,night
Chicken & Pancakes,$19.99,night
Sirloin Steak Tips & Eggs,$24.99,night
T-Bone Steak & Eggs,$26.24,night
Smokehouse Combo,$19.36,night
Split Decision Breakfast,$19.99,night
Impossible™ Plant-Based Sausage Power Combo,$18.74,night
Spinach & Mushroom Omelette,$21.24,night
Big Steak Omelette,$23.74,night
Build Your Own Omelette+,$16.24,night
Spicy Poblano Omelette,$22.49,night
Bacon Temptation Omelette,$22.49,night
Chicken Fajita Omelette,$22.49,night
Veggie Egg White Omelette,$21.24,night
Colorado Omelette,$23.74,night
World-Famous Pancake Combo,$19.36,night
Original Buttermilk Pancakes - (Short Stack),$11.24,night
Original Buttermilk Pancakes - (Full Stack),$13.74,night
Chocolate Chocolate Chip Pancakes,$16.86,night
Double Blueberry Pancakes,$16.86,night
Protein Power Pancakes,$17.49,night
Mexican Tres Leches Pancakes,$16.86,night
Cinn-A-Stack® Pancakes,$16.86,night
Buttermilk Chocolate Chip Pancakes,$16.86,night
New York Cheesecake Pancakes,$16.86,night
Strawberry Banana Pancakes,$16.86,night
Bananas Foster Pancakes,$13.75,night
Bananas Foster Pancakes- Side,$10.00,night
Crepe Combo,$17.49,night
Breakfast Crepes,$17.49,night
Fresh Berry Crepes,$17.49,night
Cinnamon Bun Crepes,$17.49,night
New Chicken Florentine Crepes,$19.99,night
Thick ‘N Fluffy Classic French Toast,$16.24,night
Thick ‘N Fluffy French Toast Combo,$18.74,night
Thick ‘N Fluffy Strawberry Banana French Toast,$18.74,night
Oreo® Cookie Crumble Waffle,$16.24,night
Belgian Waffle,$14.36,night
Chicken & Waffles,$21.24,night
Waffle Combo,$19.36,night
Strawberry Cheesecake Waffle,$16.24,night
Hash Browns,$5.74,night
2 Eggs,$3.13,night
Hickory-Smoked Bacon Strips,$6.24,night
French Fries,$4.99,night
Pork Sausage Links,$6.24,night
Buttered Toast,$4.49,night
Crispy Breakfast Potatoes,$6.24,night
Onion Rings,$7.49,night
Slice of Ham,$8.74,night
Seasonal Fresh Fruit,$6.24,night
Turkey Bacon Strips,$6.24,night
Impossible™ Sausage Patties from Plants (2),$6.24,night
Buttered English Muffin,$4.99,night
Pork Sausage Patties (2),$6.25,night
Smoked Sausage Links (2),$9.99,night
Buttermilk Biscuit,$4.99,night
Buttermilk Biscuit & Gravy,$8.74,night
Appetizer Sampler,$19.99,night
Mozza Sticks,$13.74,night
Chicken Quesadilla,$16.24,night
Tomato Basil Soup,$7.49,night
Cinnamon Dippers,$9.99,night
Crispy Shrimp,$14.99,night
Cali Roasted Turkey Melt,$19.99,night
Philly Cheese Steak Stacker,$19.99,night
Buttermilk Crispy Chicken Strips & Fries,$21.24,night
Fisherman's Platter,$23.74,night
Crispy Fish & Fries Platter,$21.24,night
Crispy Shrimp & Fries Platter,$19.99,night
Sirloin Steak Tips,$24.99,night
T-Bone Steak Dinner,$26.24,night
Atlantic Salmon,$23.74,night
Country Fried Steak,$22.49,night
Original Gluten-Friendly Pancakes - (Full Stack),$16.86,night
French Fries,$4.99,night
Hickory-Smoked Bacon Strips,$6.24,night
Slice of Ham,$8.74,night
Hash Browns,$5.74,night
Crispy Breakfast Potatoes,$6.24,night
Pork Sausage Links,$6.24,night
Seasonal Fresh Fruit,$6.24,night
55+ Breakfast Sampler,$14.99,night
55+ Rise 'N Shine,$13.74,night
55+ 2 x 2 x 2,$13.74,night
55+ Thick ‘N Fluffy French Toast,$13.74,night
55+ BLT,$14.49,night
55+ Crispy Shrimp,$13.74,night
55+ Crispy Fish,$14.99,night
Silver 5,$11.86,night
Jr. Cupcake Pancake Combo,$11.86,night
Jr. Mac & Cheese,$11.86,night
Jr. Chicken & Waffles,$11.86,night
Jr. Chicken Strips Dinner,$11.86,night
Happy Face® Pancake Combo,$11.86,night
Jr. Cheeseburger,$11.86,night
French Toast Sticks,$11.86,night
Cinnamon Dippers,$9.99,night
House-Made Milkshakes,$8.49,night
Silverware,$0.00,night
Condiments,$0.00,night
No Condiments,$0.00,night
Fruit Juices,$4.99,night
Coffee & Hot Chocolate,$4.99,night
Tea & Lemonade,$4.36,night
Fountain Drinks,$4.99,night
Splashers,$6.24,night
Milk & Chocolate Milk,$4.99,night
Breakfast Beverage Bundle,$13.74,night
Lunch/Dinner Beverage Bundle,$13.74,night
