Item Name,Price,Time of Day
•,$,night
"212 F St, Davis, CA 95616",$0 delivery fee,night
111. MENAGE A TROIS,$17.85,night
18. MATT CAIN,$17.85,night
98. JAYMEE SIREWICH,$16.25,night
65. JIM ROME,$17.85,night
99. WE'RE JUST FRIENDS,$17.85,night
2. HOLLYWOULD'S SF CHEESESTEAK,$17.85,night
MIX & MATCH COMBO,$5.65,night
219. FALL'ING FOR IKE'S,$17.85,night
61. SOMETIMES I'M A VEGETARIAN,$16.25,night
6262. LOGAN WEBB,$20.65,night
VEGAN Chicken'N NUGGETS,$7.55,night
118. DA VINCI,$17.85,night
6. HOT MOMMA HUDA,$16.25,night
201. ADAM RICHMAN,$20.65,night
840. MILLENIAL FALCONS,$17.85,night
301. VEGAN HANDSOME OWL,$17.85,night
422. BEAST MODE,$19.45,night
34. HUNTER PENCE,$20.65,night
600. VEGAN PERSEPHONE,$19.45,night
957. THE DAMON BRUCE,$20.65,night
1515. THE GULLIVER,$19.45,night
VEGANUARY,$17.85,night
"1999. HEY NOW, YOU'RE AN ALL-STAR",$20.65,night
2929. J MAC,$19.45,night
2802. MITCH THE ROCK RICHMOND,$20.65,night
262. MARSHALL'S CAJUN CLUB,$19.45,night
5577. JEFF GARCIA,$20.65,night
111. MENAGE A TROIS,$17.85,night
98. JAYMEE SIREWICH,$16.25,night
2. HOLLYWOULD'S SF CHEESESTEAK,$17.85,night
240. MADISON BUMGARNER,$19.45,night
422. BEAST MODE,$19.45,night
65. JIM ROME,$17.85,night
201. ADAM RICHMAN,$20.65,night
34. HUNTER PENCE,$20.65,night
99. WE'RE JUST FRIENDS,$17.85,night
118. DA VINCI,$17.85,night
18. MATT CAIN,$17.85,night
6262. LOGAN WEBB,$20.65,night
30. BACKSTABBER,$16.25,night
91.5 IKE'S REUBEN,$19.45,night
957. THE DAMON BRUCE,$20.65,night
1. ELVIS KIETH,$16.25,night
150. DIRTY REUBEN,$19.45,night
13. PAPA SAM,$17.85,night
63. 'HELLA' FAT BASTARD,$19.45,night
43. GIANCARLO MY SON,$19.45,night
23. MJ,$14.95,night
6. HOT MOMMA HUDA,$16.25,night
9. [NAME OF THE GIRL IM DATING],$17.85,night
929. HALSEY,$17.85,night
325. AMUNA'S TUNA,$16.25,night
19. GOING HOME FOR THANKSGIVING,$16.25,night
66. DAMN STRAIGHT,$17.85,night
336. [YOUR SORORITY OR FRAT],$16.25,night
82. NOT TONIGHT I HAVE A HEADACHE,$17.85,night
340. HARRISON PARMES,$16.25,night
840. MILLENIAL FALCONS,$17.85,night
68. CHASE OTTNEY IS HELLA SEXY,$14.95,night
526. HOWIE EAT IT,$17.85,night
405. ERIN COSCARELLI,$17.85,night
596. ROOM 107,$16.25,night
143. I'LL BE YOUR VALENTINE,$17.75,night
916. YOLO (COUNTY),$17.85,night
219. FALL'ING FOR IKE'S,$17.85,night
61. SOMETIMES I'M A VEGETARIAN,$16.25,night
70. MEATLESS MIKE,$17.85,night
301. HANDSOME OWL,$17.85,night
414. LITACANRANA,$17.85,night
291. PEE WEE,$17.85,night
202. GRAMPS,$17.85,night
625. MOMO's NO NO,$14.95,night
173. GLADIATOR *Contains Anchovies*,$17.85,night
36. [YOUR FAVORITE PEANUTS CHARACTER],$16.25,night
432. PICNIC DAY,$14.95,night
632. HELEN KELLER,$20.65,night
298. JAYMEETLESS,$17.85,night
212. THE AGGIE,$17.85,night
172. TOAD,$16.25,night
206. MOBILE MAMA,$17.85,night
895. CLUELESS,$16.25,night
600. PERSEPHONE,$19.45,night
243. I CH-CH-CHOOSE YOU *Contains Anchovies*,$17.75,night
414. VEGAN LITACANRANA,$17.85,night
254B. VEGAN MACK DADDY,$19.45,night
219. VEGAN FALL'ING FOR IKE'S,$17.85,night
170. VEGAN NOT SO SLOPPY IKE,$17.85,night
291. VEGAN PEE WEE,$17.85,night
301. VEGAN HANDSOME OWL,$17.85,night
70. VEGAN MEATLESS MIKE,$17.85,night
202. VEGAN GRAMPS,$17.85,night
892. VEGAN PIRATES OR PILATES,$17.85,night
299. VEGAN MEL-LO KITTY,$17.85,night
233. VEGAN BUD BUNDY,$17.85,night
172. VEGAN TOAD,$16.25,night
275. VEGAN KIRK RUETER,$17.85,night
204. VEGAN SABRINA SMILES,$17.85,night
315. VEGAN BONNIE-JILL,$17.85,night
210. VEGAN TERMINATORS,$17.85,night
361. VEGANSAURUS,$16.25,night
600. VEGAN PERSEPHONE,$19.45,night
750. VEGAN HADES,$19.45,night
982. VEGAN PURPLE GOBLIN,$17.85,night
1122. VEGAN TAILOR'S BOOTY,$17.85,night
2802. VEGAN MITCH THE ROCK RICHMOND,$20.65,night
MIX & MATCH COMBO,$5.65,night
Zapp's Chips,$3.15,night
Fountain Drink,$3.45,night
Tractor Organic Beverages,$3.45,night
Premium Bottled Soda,$5.35,night
