Item Name,Price,Time of Day
•,$,night
"1230 20th St, Sacramento, CA 95811",$0 delivery fee,night
Create Your Own,$15.33,night
Urban Fries,$8.33,night
Oven Roasted Turkey Plate,$22.60,night
Steak Salad,$19.67,night
Spicy Buffalo Salad,$19.93,night
BBQ Tri Tip,$18.00,night
Chargrilled Tri Tip Plate,$23.93,night
Chicken Strips and Fries,$16.67,night
Caesar Salad,$13.27,night
Lemon Thyme Chicken Plate,$22.02,night
Fried Chicken Sandwich,$18.33,night
Blackened Salmon Cobb,$22.33,night
Kids Chicken Strips,$11.33,night
Urban Fries - Family Size,$10.60,night
Turkey Club,$17.27,night
Kids Steak Plate,$11.33,night
Korean BBQ Steak,$19.67,night
Western BBQ Steak,$19.93,night
Sweet Potato Fries - Small,$8.33,night
Spicy Buffalo Sandwich,$18.33,night
Create Your Own,$15.33,night
Steak Salad,$19.67,night
Western BBQ Steak,$19.93,night
Caesar Salad,$13.27,night
Santa Fe Chicken,$19.33,night
Chinese Chicken,$19.33,night
Blackened Salmon Cobb,$22.33,night
Spicy Buffalo Salad,$19.93,night
Greek Chicken Salad,$19.67,night
BBQ Chicken Bowl - New!,$19.93,night
The Flowerchild,$17.98,night
Achiote Chicken,$19.67,night
Korean BBQ Steak,$19.67,night
BBQ Tri Tip,$18.00,night
Spicy Buffalo Sandwich,$18.33,night
Classic Tri Tip,$15.93,night
Fried Chicken Sandwich,$18.33,night
BBQ Chicken,$17.27,night
Turkey Club,$17.27,night
Pesto Chicken,$16.67,night
Chicken Club,$17.27,night
Grilled Halloumi,$17.27,night
Reuben NY Style,$18.60,night
Cajun Chicken,$16.67,night
Classic Turkey,$15.33,night
Classic Chicken,$15.33,night
Chimichurri Steak,$18.33,night
Chargrilled Tri Tip Plate,$23.93,night
Oven Roasted Turkey Plate,$22.60,night
Salmon Plate,$26.60,night
Lemon Thyme Chicken Plate,$22.02,night
Urban Fries,$8.33,night
Urban Fries - Family Size,$10.60,night
Chicken Strips and Fries,$16.67,night
Garlic Fries,$8.33,night
French Fries,$6.60,night
Sweet Potato Fries - Small,$8.33,night
Garlic Fries - Family Size,$10.60,night
Sweet Potato Fries - Family Size,$10.60,night
French Fries - Family Size,$7.93,night
Kids Chicken Strips,$11.33,night
Kids Steak Plate,$11.33,night
Kids Chicken Plate,$11.33,night
Kids Grilled Cheese,$11.33,night
Kids Turkey Plate,$11.33,night
Mac & Cheese,$7.73,night
Baked Cheese Bread,$2.67,night
Fresh Baked Cookie,$2.65,night
Mashed Potatoes,$7.73,night
Sliced Pugliese,$1.00,night
Turkey Corn Chowder,$8.67,night
Roasted Asparagus,$7.73,night
Winter Vegetables,$7.73,night
Coke - 20oz Bottle,$4.50,night
Sprite Bottle 20oz.,$4.50,night
Diet Coke Bottle 20oz.,$4.50,night
Apple Juice,$2.95,night
ADD NAPKINS & UTENSILS,$0.00,night
FOOD ALLERGY WARNING,$0.00,night
