Item Name,Price,Time of Day
•,$,night
"337 G St., Davis, CA 95616",$0 delivery fee,night
Build Your Own Munchie Meal,$10.89,night
8pc Chicken Nuggets,$6.49,night
Jumbo Jack® Cheeseburger,$8.11,night
Bacon Double Smashed Jack™ Combo,$15.61,night
Extreme Sausage® Sandwich,$7.99,night
Curly Fries,$5.74,night
Jack's Spicy Chicken®,$9.99,night
French Fries,$5.24,night
Meat Lovers Breakfast Burrito,$8.74,night
Jumbo Jack®,$7.49,night
Sauced & Loaded Tiny Tacos,$6.25,night
Bacon Ultimate Cheeseburger™,$11.24,night
Jack's Spicy Chicken® w/ Cheese,$10.36,night
Classic Tiny Tacos,$5.00,night
Homestyle Ranch Chicken Club,$11.61,night
Ultimate Cheeseburger™,$10.49,night
Loaded Breakfast Sandwich,$8.74,night
Big Smashed Jack™ Combo,$15.61,night
Bacon Ultimate Cheeseburger™ Combo,$13.74,night
Big Smashed Jack™ Combo,$15.61,night
Big Smashed Jack™,$13.74,night
18pc Classic Crispy Boneless Wings,$21.24,night
12pc Smoke Show Smoky BBQ Crispy Boneless Wings Combo,$15.61,night
12pc Smoke Show Smoky BBQ Crispy Boneless Wings,$14.99,night
12pc Honey Garlic Sriracha Crispy Boneless Wings Combo,$15.61,night
12pc Classic Crispy Boneless Wings Combo,$15.61,night
12pc Classic Crispy Boneless Wings,$14.99,night
6pc Smoke Show Smoky BBQ Crispy Boneless Wings Combo,$9.36,night
6pc Smoke Show Smoky BBQ Crispy Boneless Wings,$8.74,night
6pc Honey Garlic Sriracha Crispy Boneless Wings Combo,$9.36,night
6pc Classic Crispy Boneless Wings Combo,$9.36,night
6pc Classic Crispy Boneless Wings,$8.74,night
6pc Banana French Toast Sticks Combo,$8.88,night
6PC Banana French Toast Sticks,$8.11,night
3PC Banana French Toast Sticks Platter w/ Bacon & Sausage Combo,$10.63,night
3PC Banana French Toast Sticks Platter w/ Bacon & Sausage,$9.49,night
3PC Banana French Toast Sticks Platter w/ Bacon,$8.99,night
3PC Banana French Toast Sticks Platter w/ Sausage Combo,$10.13,night
3PC Banana French Toast Sticks Platter w/ Sausage,$8.99,night
Fish Sandwich Combo,$4.74,night
Fish Sandwich,$4.11,night
Classic Sauced & Loaded Waffle Fries,$5.00,night
Spicy Sauced & Loaded Waffle Fries,$5.00,night
Oreo® Mint Shake,$8.49,night
Oreo® Mint Mocha Sweet Cream Iced Coffee,$5.86,night
Mint Twisted Soda,$5.86,night
Jumbo Meal Deal,$21.24,night
Bacon & Swiss Buttery Smashed Jack™ Combo,$14.99,night
Buttery Smashed Jack™ Combo,$13.74,night
Bacon Double Smashed Jack™ Combo,$15.61,night
Classic Smashed Jack™ Combo,$12.61,night
Bacon Ultimate Cheeseburger™ Combo,$13.74,night
Ultimate Cheeseburger™ Combo,$12.86,night
Double Jack® Combo,$12.86,night
Sourdough Jack® Combo,$12.24,night
Jumbo Jack® Cheeseburger Combo,$10.61,night
Jumbo Jack® Combo,$9.99,night
Homestyle Ranch Chicken Club Combo,$13.61,night
Jack's Spicy Chicken® w/ Cheese Combo,$12.74,night
Jack's Spicy Chicken® Combo,$12.24,night
Cluck Sandwich Combo,$12.24,night
Grilled Chicken Sandwich Combo,$12.86,night
5pc Crispy Chicken Strips Combo,$14.74,night
3pc Crispy Chicken Strips Combo,$12.24,night
8pc Chicken Nuggets Combo,$8.74,night
Chicken Teriyaki Bowl w/ Brown Rice Combo,$11.88,night
6pc Classic French Toast Sticks Combo,$8.88,night
3PC French Toast Sticks Platter w/ Bacon & Sausage Combo,$10.63,night
3PC French Toast Sticks Platter w/ Bacon Combo,$10.13,night
3PC French Toast Sticks Platter w/ Sausage Combo,$10.13,night
Grande Sausage Burrito Combo,$10.25,night
Supreme Croissant Combo,$9.13,night
Sausage Croissant Combo,$9.00,night
Supreme Sourdough Breakfast Sandwich Combo,$8.38,night
Meat Lovers Burrito Combo,$10.25,night
Loaded Breakfast Sandwich Combo,$10.38,night
Extreme Sausage® Sandwich Combo,$9.13,night
Ultimate Breakfast Sandwich Combo,$10.13,night
Sausage Breakfast Jack® Combo,$6.38,night
Breakfast Jack® Combo,$5.88,night
Build Your Own Munchie Meal,$10.89,night
Sauced & Loaded Tiny Tacos,$6.25,night
Classic Tiny Tacos,$5.00,night
(2) Tacos,$2.49,night
Classic Grilled Jack Wrap,$4.11,night
Spicy Grilled Jack Wrap,$4.11,night
Classic Crispy Jack Wrap,$4.11,night
Spicy Crispy Jack Wrap,$4.11,night
Stuffed Jalapenos (7),$8.11,night
Stuffed Jalapenos (3),$5.49,night
Curly Fries,$5.74,night
French Fries,$5.24,night
Onion Rings,$6.24,night
Jumbo Egg Rolls (3),$8.11,night
Jumbo Egg Roll (1),$4.49,night
Mini Churros (5),$4.24,night
Cheesecake,$4.74,night
Chocolate Overload™ Cake,$4.74,night
Strawberry Red Daze Red Bull® Infusion,$6.86,night
Strawberry Red Daze Red Bull® Infusion SugarFree,$6.86,night
Berry Purple Daze Red Bull® Infusion,$6.86,night
Berry Purple Daze Red Bull® Infusion SugarFree,$6.86,night
Red Bull® Energy Can,$4.36,night
Red Bull® Energy SugarFree Can,$4.36,night
High Mountain Arabica Coffee,$3.36,night
Minute Maid® Apple Juice,$2.99,night
Simply Orange®,$4.74,night
Dasani® Bottled Water,$3.74,night
Milk,$3.99,night
Bacon & Swiss Buttery Smashed Jack™,$12.49,night
Buttery Smashed Jack™,$11.24,night
Bacon Double Smashed Jack™,$13.74,night
Classic Smashed Jack™,$11.24,night
Bacon Ultimate Cheeseburger™,$11.24,night
Ultimate Cheeseburger™,$10.49,night
Double Jack®,$10.49,night
Sourdough Jack®,$9.99,night
Jumbo Jack® Cheeseburger,$8.11,night
Jumbo Jack®,$7.49,night
Jr. Jumbo Jack® Cheeseburger,$4.24,night
Homestyle Ranch Chicken Club,$11.61,night
Jack's Spicy Chicken® w/ Cheese,$10.36,night
Jack's Spicy Chicken®,$9.99,night
Cluck Sandwich,$9.86,night
Grilled Chicken Sandwich,$10.36,night
5pc Crispy Chicken Strips,$12.36,night
3pc Crispy Chicken Strips,$9.86,night
8pc Chicken Nuggets,$6.49,night
Chicken Teriyaki Bowl,$10.49,night
Chicken Teriyaki Bowl w/ Brown Rice,$10.49,night
6PC Classic French Toast Sticks,$8.11,night
3PC French Toast Sticks Platter w/ Bacon & Sausage,$9.49,night
3PC French Toast Sticks Platter w/ Bacon,$8.99,night
3PC French Toast Sticks Platter w/ Sausage,$8.99,night
Grande Sausage Burrito,$8.74,night
Supreme Croissant,$7.74,night
Sausage Croissant,$7.49,night
Supreme Sourdough Breakfast Sandwich,$8.11,night
Meat Lovers Breakfast Burrito,$8.74,night
Loaded Breakfast Sandwich,$8.74,night
Extreme Sausage® Sandwich,$7.99,night
Ultimate Breakfast Sandwich,$8.49,night
Breakfast Jack®,$4.36,night
Bacon Breakfast Jack®,$4.86,night
