Item Name,Price,Time of Day
•,$,night
"4444 Chiles Rd, DAVIS, CA 95618",$0 delivery fee,night
10 pc. Chicken McNuggets®,$7.59,night
Medium French Fries,$5.69,night
2 Cheeseburger Meal,$13.79,night
Double Filet-O-Fish® Meal,$11.89,night
Hot 'N Spicy McChicken®,$4.89,night
Filet-O-Fish® Meal,$10.99,night
McChicken®,$4.29,night
20 pc. Chicken McNuggets®,$8.59,night
Big Mac® Meal,$13.79,night
Double Quarter Pounder® with Cheese Meal,$16.19,night
Medium French Fries,$5.69,night
McCrispy™ Meal,$12.79,night
10 pc. Chicken McNuggets® Meal,$12.99,night
