Item Name,Price,Time of Day
•,$,night
"1411 W Covell Blvd Ste 111, Davis, CA 95616",$0 delivery fee,night
Pepperoni,$11.49,night
Create your own,$11.49,night
Pineapple Chicken Luau,$20.69,night
Mountain Fries,$8.49,night
Cheese,$11.49,night
Buffalo Boneless Wings,$12.99,night
Mini Churrs,$10.99,night
BBQ Boneless Wings,$12.99,night
Pikes Peak,$20.69,night
Garlic Bread with Cheese,$7.99,night
Spicy Himalayan Pizza,$18.99,night
Garlic Not-Knots™,$7.99,night
BBQ At The Ranch,$20.69,night
Garlic Sticks with Cheese,$12.63,night
Stingin’ Honey Wings,$11.99,night
The Everest,$20.69,night
Mozzarella Sticks,$12.99,night
BBQ Wings,$11.99,night
Stingin’ Honey Boneless Wings,$12.99,night
Plain Wings,$11.99,night
Create your own,$11.49,night
The Everest,$20.69,night
The McKinley,$20.69,night
Chicken Club,$20.69,night
Pineapple Chicken Luau,$20.69,night
Snowy Alps,$20.69,night
Robbers Roost With White Sauce,$20.69,night
Robbers Roost With Classic Red Sauce,$20.69,night
Mt. Veggiemore,$20.69,night
Pikes Peak,$20.69,night
Garlic Tuscan,$20.69,night
Sizzlin' Bacon Classic,$20.69,night
BBQ At The Ranch,$20.69,night
Pepperoni,$11.49,night
Cheese,$11.49,night
Spicy Himalayan Pizza,$18.99,night
Vegetarian Spicy Himalayan Pizza,$18.99,night
Half Dome,$11.99,night
Cliff Hanger,$11.99,night
Mozzarella Sticks,$12.99,night
Garlic Sticks with Cheese,$12.63,night
Garlic Bread with Cheese,$7.99,night
Mountain Fries,$8.49,night
Loaded Mountain Fries,$11.99,night
Garlic Not-Knots™,$7.99,night
Pesto Sticks with Cheese,$11.99,night
Garden Salad,$8.99,night
Chef's Salad,$7.99,night
Antipasto Salad,$8.99,night
Create Your Own Salad,$8.99,night
Pepsi,$3.32,night
Diet Pepsi,$3.32,night
Mtn Dew,$3.32,night
Orange Crush,$4.93,night
Rootbeer,$3.32,night
Dr Pepper,$3.32,night
Gatorade Fruit Punch,$3.32,night
Pure Leaf Unsweet,$3.32,night
Aquafina,$2.86,night
Mix & Match 4-Pack,$10.34,night
Pure Leaf Sweet Tea,$3.32,night
Dole Lemonade,$3.32,night
Starry,$3.32,night
Starry Zero,$3.32,night
Apple Juice,$2.86,night
Frappuccino Mocha,$4.59,night
Gatorade Orange,$3.32,night
Cinnamon Dessert Pizza,$11.99,night
Mini Churrs,$10.99,night
Pizza Cookie,$10.99,night
Apple of My Pie,$13.99,night
Sweetheart Cherry Pie Dessert Pizza,$16.99,night
Side Creme Anglaise,$0.99,night
Side Ranch,$1.00,night
1000 Island,$1.00,night
Italian,$1.00,night
Side BBQ Sauce,$1.00,night
Side Jalapenos,$1.25,night
Side Blue Cheese,$1.00,night
Side Pizza Sauce,$1.00,night
Side Buffalo Sauce,$1.00,night
Side Marinara,$0.75,night
Side Sweet Thai Chili,$1.00,night
Side Honey Garlic,$1.00,night
Stingin’ Honey Wings,$11.99,night
Buffalo Wings,$11.99,night
Plain Wings,$11.99,night
BBQ Wings,$11.99,night
Plain Boneless Wings,$12.99,night
Buffalo Boneless Wings,$12.99,night
BBQ Boneless Wings,$12.99,night
Stingin’ Honey Boneless Wings,$12.99,night
Zesty Aloha Wings,$11.99,night
Zesty Aloha Boneless Wings,$12.99,night
Sticky Kogi Wings,$11.99,night
Kickin’ Korean BBQ Wings,$11.99,night
Kickin’ Korean BBQ Boneless Wings,$12.99,night
Sticky Kogi Boneless Wings,$12.99,night
