Item Name,Price,Time of Day
•,$,night
"1491 West Covell Blvd., Davis, CA 95616",$0 delivery fee,night
Plate,$12.50,night
Bigger Plate,$14.30,night
Bowl,$10.70,night
Peach Lychee Flavored Refresher,$3.40,night
Watermelon Mango Flavored Refresher,$3.40,night
Sprite,$3.00,night
Pomegranate Pineapple Flavored Lemonade,$3.40,night
Powerade Berry Blast,$3.40,night
Mango Guava Flavored Tea,$3.40,night
Build Your Own Panda Cub Meal™,$8.90,night
Dasani,$2.90,night
Super Greens,$5.55,night
Family Meal,$42.00,night
Chow Mein,$5.55,night
Coke Mexico,$3.75,night
Fried Rice,$5.55,night
Bowl,$10.70,night
Plate,$12.50,night
Bigger Plate,$14.30,night
Orange Chicken Panda Cub Meal™,$8.90,night
Broccoli Beef Panda Cub Meal™,$8.90,night
Grilled Teriyaki Chicken Panda Cub Meal™,$8.90,night
Build Your Own Panda Cub Meal™,$8.90,night
Family Meal,$42.00,night
Chow Mein,$5.55,night
Fried Rice,$5.55,night
Super Greens,$5.55,night
White Steamed Rice,$5.55,night
Coca Cola,$2.65,night
Sprite,$2.65,night
Dr Pepper,$2.65,night
Minute Maid Lemonade,$2.65,night
Fanta Strawberry,$2.65,night
Fanta Orange,$2.65,night
Coke Zero,$3.00,night
Smartwater,$3.75,night
Coca Cola Cherry,$2.65,night
Coke Mexico,$3.75,night
Diet Coke,$2.65,night
Powerade Berry Blast,$3.40,night
Fuze Raspberry Iced Tea,$2.65,night
Barq's Root Beer,$2.65,night
Dasani,$2.90,night
Mango Guava Flavored Tea,$3.40,night
Peach Lychee Flavored Refresher,$3.40,night
Pomegranate Pineapple Flavored Lemonade,$3.40,night
Watermelon Mango Flavored Refresher,$3.40,night
Passion Mango Black Tea,$2.65,night
Minute Maid Apple Juice,$2.90,night
Sprite,$3.00,night
Utensils,$0.00,night
Napkins,$0.00,night
Soy Sauce,$0.00,night
Sweet & Sour Sauce,$0.00,night
Chili Sauce,$0.00,night
Teriyaki Sauce,$0.00,night
Hot Mustard,$0.00,night
