Item Name,Price,Time of Day
•,$,night
"1710 R St, Sacramento, CA 95811",$0 delivery fee,night
SmokeShack,$11.99,night
Black Truffle Burger,$13.89,night
ShackBurger,$10.09,night
Cheese Fries,$7.49,night
Bacon Cheese Fries,$8.79,night
Cookies and Cream Shake,$8.19,night
Black Truffle Parmesan Fries,$7.49,night
Chicken Bites,$7.49,night
Cheeseburger,$10.09,night
Sunset Lemonade,$6.29,night
Strawberry Shake,$8.19,night
Chocolate Shake,$8.19,night
Chicken Shack,$11.99,night
Thai Iced Tea Shake,$8.79,night
Avocado Bacon Burger,$13.89,night
Brownie Batter Hot Cocoa Shake,$8.79,night
Cherry Blossom Shake,$8.79,night
Hot Dog,$6.29,night
Bacon Cheeseburger,$11.99,night
Black Truffle Burger,$13.89,night
Black Truffle Burger,$13.89,night
Black Truffle 'Shroom,$13.89,night
Black Truffle Shack Stack,$18.29,night
ShackBurger,$10.09,night
Avocado Bacon Burger,$13.89,night
SmokeShack,$11.99,night
Bacon Cheeseburger,$11.99,night
Veggie Shack,$11.99,night
'Shroom Burger,$12.59,night
Shack Stack,$17.09,night
Hamburger,$9.49,night
Cheeseburger,$10.09,night
Grilled Cheese,$7.49,night
Avocado Bacon Chicken,$13.89,night
Chicken Shack,$11.99,night
Chicken Bites,$7.49,night
Thai Iced Tea Shake,$8.79,night
Cherry Blossom Shake,$8.79,night
Brownie Batter Hot Cocoa Shake,$8.79,night
Vanilla Shake,$8.19,night
Chocolate Shake,$8.19,night
Cookies and Cream Shake,$8.19,night
Strawberry Shake,$8.19,night
Black & White Shake,$8.19,night
Vanilla & Chocolate Shake,$8.19,night
Black Truffle Parmesan Fries,$7.49,night
Fries,$5.69,night
Cheese Fries,$7.49,night
Bacon Cheese Fries,$8.79,night
Hot Dog,$6.29,night
Sunset Lemonade,$6.29,night
Tropical Kiwi Lemonade,$6.29,night
Shack-made Lemonade,$5.69,night
Fifty/Fifty,$5.69,night
Organic Iced Tea,$4.99,night
Fountain Soda,$4.99,night
Draft Root Beer,$4.99,night
Organic Apple Juice Drink,$4.99,night
Shack2O Water,$4.99,night
Sparkling Shack2O Water,$4.99,night
Bag O' Bones,$10.29,night
ShackBurger Box - 12 servings,$115.09,night
Crinkle Cut Box - 12 Servings,$65.09,night
Chicken Shack Box - 12 servings,$130.99,night
Veggie Shack™ Box - 12 servings,$140.39,night
Smoke Shack Box- 12 Servings,$139.09,night
Cheeseburger Box - 12 servings,$113.79,night
Hamburger Box - 12 servings,$108.69,night
'Shroom Burger Box - 12 servings,$145.39,night
