Item Name,Price,Time of Day
•,$,night
"623 2nd St, Davis, CA 95616",$0 delivery fee,night
Iced Matcha Latte,$6.25,night
Chocolate Croissant,$5.55,night
Strawberry Açaí Refresher,$5.95,night
"Sausage, Cheddar & Egg Sandwich",$6.25,night
Bacon & Gruyère Egg Bites,$6.55,night
Butter Croissant,$5.15,night
"Double-Smoked Bacon, Cheddar & Egg Sandwich",$7.45,night
Iced Caffè Americano,$4.75,night
Iced Brown Sugar Oatmilk Shaken Espresso,$7.15,night
Iced Starbucks® Blonde Vanilla Latte,$6.75,night
Cheese Danish,$4.75,night
Double Chocolate Brownie,$4.55,night
Egg White & Roasted Red Pepper Egg Bites,$6.55,night
Ham & Swiss on Baguette,$9.25,night
Iced Caffè Latte,$5.95,night
Tomato & Mozzarella on Focaccia,$8.95,night
Strawberry Crème Frappuccino® Blended Beverage,$6.95,night
"Bacon, Sausage & Egg Wrap",$7.75,night
Matcha Crème Frappuccino® Blended Beverage,$6.95,night
"Spinach, Feta & Egg White Wrap",$6.25,night
Featured Medium Roast - Pike Place® Roast,$3.75,night
Featured Dark Roast,$3.75,night
Decaf Pike Place® Roast,$3.75,night
Caffè Misto,$4.75,night
Caffè Americano,$4.75,night
Caffè Latte,$5.55,night
Lavender Oatmilk Latte,$6.45,night
Cinnamon Dolce Latte,$6.45,night
Starbucks® Blonde Vanilla Latte,$6.45,night
Cappuccino,$5.55,night
Caffè Mocha,$6.15,night
White Chocolate Mocha,$6.45,night
Espresso Macchiato,$4.15,night
Caramel Macchiato,$6.15,night
Flat White,$6.15,night
Cortado,$5.75,night
Brown Sugar Oatmilk Cortado,$6.25,night
Coffee Traveler - Veranda Blend®,$26.45,night
Coffee Traveler – Pike Place® Roast,$26.45,night
Coffee Traveler – Dark Roast,$26.45,night
Coffee Traveler – Decaf Pike Place® Roast,$26.45,night
Cold Brew,$5.75,night
Vanilla Sweet Cream Cold Brew,$6.25,night
Salted Caramel Cream Cold Brew,$6.95,night
Chocolate Cream Cold Brew,$6.95,night
Nondairy Vanilla Sweet Cream Cold Brew,$6.25,night
Nondairy Salted Caramel Cream Cold Brew,$6.95,night
Cold Brew with Nondairy Vanilla Sweet Cream Cold Foam,$6.95,night
Nondairy Chocolate Cream Cold Brew,$6.95,night
Iced Coffee,$5.15,night
Iced Shaken Espresso,$5.75,night
Iced Brown Sugar Oatmilk Shaken Espresso,$7.15,night
Iced Hazelnut Oatmilk Shaken Espresso,$7.15,night
Iced Caffè Americano,$4.75,night
Iced Caffè Latte,$5.95,night
Iced LavenderOatmilk Latte,$6.55,night
Iced Starbucks® Blonde Vanilla Latte,$6.75,night
Iced Cinnamon Dolce Latte,$6.75,night
Iced Caffè Mocha,$6.55,night
Iced White Chocolate Mocha,$6.95,night
Iced Caramel Macchiato,$6.55,night
Iced Flat White,$6.55,night
Chai Latte,$5.95,night
Matcha Latte,$5.95,night
Iced Chai Latte,$6.25,night
Iced Matcha Latte,$6.25,night
Iced Lavender Cream Oatmilk Matcha,$6.55,night
Iced Cherry Chai Latte,$6.55,night
Iced Black Tea,$4.55,night
Iced Black Tea Lemonade,$5.15,night
Iced Green Tea,$4.55,night
Iced Green Tea Lemonade,$5.15,night
Iced Peach Green Tea,$5.15,night
Iced Peach Green Tea Lemonade,$5.75,night
Iced Passion Tango® Tea,$4.55,night
Iced Passion Tango® Tea Lemonade,$5.15,night
Matcha Crème Frappuccino® Blended Beverage,$6.95,night
Strawberry Açaí Lemonade Refresher,$6.25,night
Mango Dragonfruit Lemonade Refresher,$6.25,night
Blackberry Sage Lemonade Refresher,$6.95,night
Pink Drink,$6.25,night
Dragon Drink®,$6.25,night
Midnight Drink,$6.95,night
Strawberry Açaí Refresher,$5.95,night
Mango Dragonfruit Refresher,$5.95,night
Blackberry Sage Refresher,$6.25,night
Caramel Frappuccino® Blended Beverage,$6.95,night
Matcha Crème Frappuccino® Blended Beverage,$6.95,night
Caramel Ribbon Crunch Frappuccino® Blended Beverage,$7.15,night
Mocha Frappuccino® Blended Beverage,$6.95,night
Coffee Frappuccino® Blended Beverage,$6.55,night
Mocha Cookie Crumble Frappuccino® Blended Beverage,$7.15,night
Vanilla Bean Crème Frappuccino® Blended Crème,$6.55,night
Lavender Crème Frappuccino® Blended Beverage,$6.55,night
Strawberry Crème Frappuccino® Blended Beverage,$6.95,night
Melon Burst Iced Energy,$7.15,night
Tropical Citrus Iced Energy,$7.15,night
Hot Chocolate,$3.55,night
Lemonade,$3.55,night
Blended Strawberry Lemonade,$6.95,night
Cold Milk,$4.15,night
Steamed Milk,$3.25,night
Vanilla Crème,$3.55,night
Steamed Apple Juice,$3.25,night
Caramel Apple Spice,$4.75,night
Spindrift® Lemon Sparkling Water,$3.25,night
Ethos® Water,$3.25,night
Koia® Cacao Bean Protein Shake,$6.55,night
Koia® Vanilla Bean Protein Shake,$6.55,night
Horizon Organic® Lowfat Chocolate Milk,$3.45,night
Horizon Organic® Lowfat Milk,$3.45,night
Evolution Fresh® Pure Orange,$5.75,night
Evolution Fresh® Organic Defense Up®,$6.95,night
