Item Name,Price,Time of Day
•,$,night
"425 G Street, Davis, CA 95616",$0 delivery fee,night
Crunchwrap Supreme®,$8.77,night
Grilled Cheese Burrito,$7.31,night
Chicken Quesadilla,$8.77,night
MTN DEW® Baja Blast®,$3.40,night
Nacho Cheese Doritos® Locos Tacos,$3.65,night
Beefy 5-Layer Burrito,$6.33,night
MTN DEW® Baja Blast® Freeze,$5.11,night
Nachos BellGrande®,$9.75,night
Steak Quesadilla,$9.02,night
Supreme® Luxe Box,$9.75,night
Bean Burrito,$3.40,night
Cheesy Gordita Crunch,$7.55,night
Nacho Cheese Doritos® Locos Tacos Supreme®,$4.87,night
Steak Grilled Cheese Burrito Combo,$12.92,night
Chicken Quesadilla Combo,$14.63,night
Crunchy Taco,$2.67,night
Doritos® Cheesy Gordita Crunch - Nacho Cheese,$7.80,night
Cinnabon Delights® 2 Pack,$3.65,night
Chalupa Supreme®,$7.55,night
Soft Taco,$2.67,night
Caliente Cantina Chicken Burrito,$9.14,night
Caliente Cantina Chicken Soft Taco,$4.26,night
Caliente Cantina Chicken Crispy Taco,$4.26,night
Caliente Cantina Chicken Quesadilla,$9.14,night
Caliente Cantina Chicken Bowl,$10.36,night
Caliente Cantina Chicken Crispy Taco Meal,$12.19,night
